treatment_date,cum_count,cum_count_q
2021-12-20,1,0.1
2021-12-21,1,0.1
2021-12-22,1.8,0.1
2021-12-23,2.9,0.1
2021-12-24,4,0.1
2021-12-25,6,0.1
2021-12-26,6.8999999999999995,0.1
2021-12-27,7.9,0.1
2021-12-28,10.799999999999999,0.1
2021-12-29,13.799999999999999,0.1
2021-12-30,16.7,0.1
2021-12-31,20,0.1
2022-01-01,25.7,0.1
2022-01-02,29.4,0.1
2022-01-03,33.2,0.1
2022-01-04,37.5,0.1
2022-01-05,38.8,0.1
2022-01-06,40,0.1
2022-01-07,42.9,0.1
2022-01-08,46.9,0.1
2022-01-09,55.8,0.1
2022-01-10,58.9,0.1
2022-01-11,64.5,0.1
2022-01-12,70.2,0.1
2022-01-13,75,0.1
2022-01-14,78.1,0.1
2022-01-15,79,0.1
2022-01-16,82.3,0.1
2022-01-17,87.8,0.1
2022-01-18,92.3,0.1
2022-01-19,94.6,0.1
2022-01-20,98.4,0.1
2022-01-21,102.2,0.1
2022-01-22,110.2,0.1
2022-01-23,113.2,0.1
2022-01-24,116.69999999999999,0.1
2022-01-25,119.8,0.1
2022-01-26,125,0.1
2022-01-27,131.79999999999998,0.1
2022-01-28,136.79999999999998,0.1
2022-01-29,140.8,0.1
2022-01-30,144.9,0.1
2022-01-31,150.89999999999998,0.1
2022-02-01,155.6,0.1
2022-02-02,158.9,0.1
2022-02-03,162.8,0.1
2022-02-04,167.7,0.1
2022-02-05,169.79999999999998,0.1
2022-02-06,176.3,0.1
2022-02-07,183.5,0.1
2022-02-08,184.79999999999998,0.1
2022-02-09,184.89999999999998,0.1
2022-02-10,188.8,0.1
2022-02-11,195.29999999999998,0.1
2022-02-12,198.5,0.1
2022-02-13,204.2,0.1
2022-02-14,206.7,0.1
2022-02-15,209.79999999999998,0.1
2022-02-16,213.8,0.1
2022-02-17,218.5,0.1
2022-02-18,221.5,0.1
2022-02-19,225.2,0.1
2022-02-20,228.29999999999998,0.1
2022-02-21,232.10000000000002,0.1
2022-02-22,234.2,0.1
2022-02-23,239.9,0.1
2022-02-24,244.1,0.1
2022-02-25,248.79999999999998,0.1
2022-02-26,253.39999999999998,0.1
2022-02-27,259.4,0.1
2022-02-28,262.59999999999997,0.1
2022-03-01,263.5,0.1
2022-03-02,265.8,0.1
2022-03-03,270.6,0.1
2022-03-04,275.5,0.1
2022-03-05,280.7,0.1
2022-03-06,283.90000000000003,0.1
2022-03-07,285.3,0.1
2022-03-08,290.3,0.1
2021-12-20,1,0.2
2021-12-21,1.4000000000000004,0.2
2021-12-22,2,0.2
2021-12-23,3,0.2
2021-12-24,4.8,0.2
2021-12-25,6,0.2
2021-12-26,7.8,0.2
2021-12-27,10.399999999999999,0.2
2021-12-28,12.600000000000001,0.2
2021-12-29,17.2,0.2
2021-12-30,20.999999999999996,0.2
2021-12-31,23.2,0.2
2022-01-01,26,0.2
2022-01-02,31.6,0.2
2022-01-03,34.8,0.2
2022-01-04,39.6,0.2
2022-01-05,42.99999999999999,0.2
2022-01-06,45.6,0.2
2022-01-07,51,0.2
2022-01-08,55,0.2
2022-01-09,58.4,0.2
2022-01-10,61.4,0.2
2022-01-11,65.8,0.2
2022-01-12,71.8,0.2
2022-01-13,76,0.2
2022-01-14,79.8,0.2
2022-01-15,84.8,0.2
2022-01-16,87.80000000000001,0.2
2022-01-17,93,0.2
2022-01-18,98.6,0.2
2022-01-19,99.8,0.2
2022-01-20,102.19999999999999,0.2
2022-01-21,107,0.2
2022-01-22,113.39999999999999,0.2
2022-01-23,117.19999999999999,0.2
2022-01-24,121.8,0.2
2022-01-25,125.6,0.2
2022-01-26,129,0.2
2022-01-27,132.8,0.2
2022-01-28,137.8,0.2
2022-01-29,143.4,0.2
2022-01-30,146.6,0.2
2022-01-31,152.6,0.2
2022-02-01,156.79999999999998,0.2
2022-02-02,159,0.2
2022-02-03,166.2,0.2
2022-02-04,172,0.2
2022-02-05,174,0.2
2022-02-06,179.4,0.2
2022-02-07,184,0.2
2022-02-08,187.4,0.2
2022-02-09,189,0.2
2022-02-10,193.8,0.2
2022-02-11,200,0.2
2022-02-12,205.4,0.2
2022-02-13,209,0.2
2022-02-14,211,0.2
2022-02-15,214.79999999999998,0.2
2022-02-16,217.2,0.2
2022-02-17,219.8,0.2
2022-02-18,222,0.2
2022-02-19,227.6,0.2
2022-02-20,230.6,0.2
2022-02-21,236.20000000000002,0.2
2022-02-22,238.2,0.2
2022-02-23,241.8,0.2
2022-02-24,245.8,0.2
2022-02-25,250.8,0.2
2022-02-26,256.6,0.2
2022-02-27,261,0.2
2022-02-28,264.8,0.2
2022-03-01,270.6,0.2
2022-03-02,274.2,0.2
2022-03-03,277.6,0.2
2022-03-04,281.8,0.2
2022-03-05,288.4,0.2
2022-03-06,292.2,0.2
2022-03-07,297.2,0.2
2022-03-08,299,0.2
2021-12-20,1,0.30000000000000004
2021-12-21,2,0.30000000000000004
2021-12-22,2,0.30000000000000004
2021-12-23,3,0.30000000000000004
2021-12-24,5,0.30000000000000004
2021-12-25,6.7,0.30000000000000004
2021-12-26,8,0.30000000000000004
2021-12-27,11.7,0.30000000000000004
2021-12-28,13.7,0.30000000000000004
2021-12-29,18,0.30000000000000004
2021-12-30,22.700000000000003,0.30000000000000004
2021-12-31,24,0.30000000000000004
2022-01-01,26.700000000000003,0.30000000000000004
2022-01-02,32,0.30000000000000004
2022-01-03,37.1,0.30000000000000004
2022-01-04,40.7,0.30000000000000004
2022-01-05,44.7,0.30000000000000004
2022-01-06,49.8,0.30000000000000004
2022-01-07,54.4,0.30000000000000004
2022-01-08,57.7,0.30000000000000004
2022-01-09,59.7,0.30000000000000004
2022-01-10,62,0.30000000000000004
2022-01-11,66.7,0.30000000000000004
2022-01-12,72.7,0.30000000000000004
2022-01-13,77.4,0.30000000000000004
2022-01-14,82.8,0.30000000000000004
2022-01-15,86.69999999999999,0.30000000000000004
2022-01-16,89.7,0.30000000000000004
2022-01-17,95.4,0.30000000000000004
2022-01-18,100,0.30000000000000004
2022-01-19,103.1,0.30000000000000004
2022-01-20,105.8,0.30000000000000004
2022-01-21,110.1,0.30000000000000004
2022-01-22,115.4,0.30000000000000004
2022-01-23,122.2,0.30000000000000004
2022-01-24,127.9,0.30000000000000004
2022-01-25,131.2,0.30000000000000004
2022-01-26,133.5,0.30000000000000004
2022-01-27,135.1,0.30000000000000004
2022-01-28,138.7,0.30000000000000004
2022-01-29,145.4,0.30000000000000004
2022-01-30,150.5,0.30000000000000004
2022-01-31,154.4,0.30000000000000004
2022-02-01,157.7,0.30000000000000004
2022-02-02,161.8,0.30000000000000004
2022-02-03,169.1,0.30000000000000004
2022-02-04,173.7,0.30000000000000004
2022-02-05,177.8,0.30000000000000004
2022-02-06,180.7,0.30000000000000004
2022-02-07,184,0.30000000000000004
2022-02-08,189.39999999999998,0.30000000000000004
2022-02-09,192.8,0.30000000000000004
2022-02-10,199.20000000000002,0.30000000000000004
2022-02-11,202.39999999999998,0.30000000000000004
2022-02-12,207.7,0.30000000000000004
2022-02-13,210.70000000000002,0.30000000000000004
2022-02-14,214.1,0.30000000000000004
2022-02-15,218.1,0.30000000000000004
2022-02-16,221.5,0.30000000000000004
2022-02-17,225.60000000000002,0.30000000000000004
2022-02-18,230.4,0.30000000000000004
2022-02-19,237.10000000000002,0.30000000000000004
2022-02-20,241.5,0.30000000000000004
2022-02-21,247.5,0.30000000000000004
2022-02-22,248.8,0.30000000000000004
2022-02-23,253.2,0.30000000000000004
2022-02-24,257.2,0.30000000000000004
2022-02-25,260.1,0.30000000000000004
2022-02-26,264.7,0.30000000000000004
2022-02-27,267.3,0.30000000000000004
2022-02-28,270.6,0.30000000000000004
2022-03-01,273.4,0.30000000000000004
2022-03-02,278.1,0.30000000000000004
2022-03-03,282.5,0.30000000000000004
2022-03-04,287.9,0.30000000000000004
2022-03-05,292.79999999999995,0.30000000000000004
2022-03-06,296.1,0.30000000000000004
2022-03-07,300.7,0.30000000000000004
2022-03-08,305.9,0.30000000000000004
2021-12-20,1,0.4
2021-12-21,2,0.4
2021-12-22,2,0.4
2021-12-23,3,0.4
2021-12-24,5,0.4
2021-12-25,7,0.4
2021-12-26,9.2,0.4
2021-12-27,12,0.4
2021-12-28,14.6,0.4
2021-12-29,18.6,0.4
2021-12-30,23,0.4
2021-12-31,25.2,0.4
2022-01-01,29.4,0.4
2022-01-02,33.8,0.4
2022-01-03,38,0.4
2022-01-04,42.199999999999996,0.4
2022-01-05,46.199999999999996,0.4
2022-01-06,52.2,0.4
2022-01-07,55,0.4
2022-01-08,59.2,0.4
2022-01-09,63,0.4
2022-01-10,64.4,0.4
2022-01-11,68.2,0.4
2022-01-12,74.19999999999999,0.4
2022-01-13,78.6,0.4
2022-01-14,84.6,0.4
2022-01-15,87,0.4
2022-01-16,90.6,0.4
2022-01-17,96.6,0.4
2022-01-18,100.6,0.4
2022-01-19,105.2,0.4
2022-01-20,107.6,0.4
2022-01-21,111,0.4
2022-01-22,119,0.4
2022-01-23,125.19999999999999,0.4
2022-01-24,130.6,0.4
2022-01-25,133,0.4
2022-01-26,136.8,0.4
2022-01-27,139,0.4
2022-01-28,142,0.4
2022-01-29,147.2,0.4
2022-01-30,153.2,0.4
2022-01-31,155.6,0.4
2022-02-01,158.60000000000002,0.4
2022-02-02,164.2,0.4
2022-02-03,170.6,0.4
2022-02-04,174,0.4
2022-02-05,179.60000000000002,0.4
2022-02-06,182.8,0.4
2022-02-07,186.39999999999998,0.4
2022-02-08,193,0.4
2022-02-09,197.6,0.4
2022-02-10,202.2,0.4
2022-02-11,204.2,0.4
2022-02-12,208,0.4
2022-02-13,211,0.4
2022-02-14,217.39999999999998,0.4
2022-02-15,221.4,0.4
2022-02-16,226,0.4
2022-02-17,229.79999999999998,0.4
2022-02-18,234,0.4
2022-02-19,241.6,0.4
2022-02-20,247.2,0.4
2022-02-21,252,0.4
2022-02-22,253.60000000000002,0.4
2022-02-23,258,0.4
2022-02-24,262.6,0.4
2022-02-25,264.6,0.4
2022-02-26,268.6,0.4
2022-02-27,272.4,0.4
2022-02-28,275.4,0.4
2022-03-01,278.2,0.4
2022-03-02,283.2,0.4
2022-03-03,285.8,0.4
