elig_start,cum_count_redacted,cum_count_redacted_q
2021-12-20,0,0.1
2021-12-21,0,0.1
2021-12-22,0,0.1
2021-12-23,0,0.1
2021-12-24,10,0.1
2021-12-25,10,0.1
2021-12-26,10,0.1
2021-12-27,10,0.1
2021-12-28,20,0.1
2021-12-29,20,0.1
2021-12-30,20,0.1
2021-12-31,30,0.1
2022-01-01,30,0.1
2022-01-02,39,0.1
2022-01-03,39,0.1
2022-01-04,40,0.1
2022-01-05,40,0.1
2022-01-06,50,0.1
2022-01-07,50,0.1
2022-01-08,59,0.1
2022-01-09,69,0.1
2022-01-10,70,0.1
2022-01-11,70,0.1
2022-01-12,79,0.1
2022-01-13,79,0.1
2022-01-14,89,0.1
2022-01-15,89,0.1
2022-01-16,89,0.1
2022-01-17,99,0.1
2022-01-18,100,0.1
2022-01-19,109,0.1
2022-01-20,109,0.1
2022-01-21,109,0.1
2022-01-22,119,0.1
2022-01-23,120,0.1
2022-01-24,130,0.1
2022-01-25,130,0.1
2022-01-26,140,0.1
2022-01-27,150,0.1
2022-01-28,150,0.1
2022-01-29,160,0.1
2022-01-30,160,0.1
2022-01-31,170,0.1
2022-02-01,170,0.1
2022-02-02,170,0.1
2022-02-03,180,0.1
2022-02-04,189,0.1
2022-02-05,190,0.1
2022-02-06,200,0.1
2022-02-07,209,0.1
2022-02-08,209,0.1
2022-02-09,209,0.1
2022-02-10,219,0.1
2022-02-11,220,0.1
2022-02-12,229,0.1
2022-02-13,230,0.1
2022-02-14,239,0.1
2022-02-15,240,0.1
2022-02-16,249,0.1
2022-02-17,250,0.1
2022-02-18,259,0.1
2022-02-19,260,0.1
2022-02-20,269,0.1
2022-02-21,270,0.1
2022-02-22,270,0.1
2022-02-23,279,0.1
2022-02-24,280,0.1
2022-02-25,289,0.1
2022-02-26,289,0.1
2022-02-27,299,0.1
2022-02-28,299,0.1
2022-03-01,308,0.1
2022-03-02,309,0.1
2022-03-03,318,0.1
2022-03-04,319,0.1
2022-03-05,320,0.1
2022-03-06,329,0.1
2022-03-07,330,0.1
2022-03-08,339,0.1
2021-12-20,0,0.2
2021-12-21,0,0.2
2021-12-22,0,0.2
2021-12-23,0,0.2
2021-12-24,10,0.2
2021-12-25,10,0.2
2021-12-26,10,0.2
2021-12-27,10,0.2
2021-12-28,20,0.2
2021-12-29,20,0.2
2021-12-30,20,0.2
2021-12-31,30,0.2
2022-01-01,30,0.2
2022-01-02,40,0.2
2022-01-03,40,0.2
2022-01-04,40,0.2
2022-01-05,48,0.2
2022-01-06,50,0.2
2022-01-07,57.99999999999999,0.2
2022-01-08,60,0.2
2022-01-09,70,0.2
2022-01-10,70,0.2
2022-01-11,78,0.2
2022-01-12,80,0.2
2022-01-13,88,0.2
2022-01-14,90,0.2
2022-01-15,98,0.2
2022-01-16,98,0.2
2022-01-17,108,0.2
2022-01-18,108,0.2
2022-01-19,118,0.2
2022-01-20,118,0.2
2022-01-21,118,0.2
2022-01-22,128,0.2
2022-01-23,128,0.2
2022-01-24,138,0.2
2022-01-25,138,0.2
2022-01-26,148,0.2
2022-01-27,150,0.2
2022-01-28,158,0.2
2022-01-29,160,0.2
2022-01-30,160,0.2
2022-01-31,170,0.2
2022-02-01,170,0.2
2022-02-02,178,0.2
2022-02-03,180,0.2
2022-02-04,190,0.2
2022-02-05,190,0.2
2022-02-06,200,0.2
2022-02-07,210,0.2
2022-02-08,210,0.2
2022-02-09,218,0.2
2022-02-10,220,0.2
2022-02-11,220,0.2
2022-02-12,230,0.2
2022-02-13,230,0.2
2022-02-14,240,0.2
2022-02-15,240,0.2
2022-02-16,250,0.2
2022-02-17,250,0.2
2022-02-18,260,0.2
2022-02-19,260,0.2
2022-02-20,270,0.2
2022-02-21,270,0.2
2022-02-22,278,0.2
2022-02-23,280,0.2
2022-02-24,288,0.2
2022-02-25,290,0.2
2022-02-26,290,0.2
2022-02-27,300,0.2
2022-02-28,308,0.2
2022-03-01,310,0.2
2022-03-02,310,0.2
2022-03-03,320,0.2
2022-03-04,320,0.2
2022-03-05,320,0.2
2022-03-06,330,0.2
2022-03-07,338,0.2
2022-03-08,340,0.2
2021-12-20,0,0.30000000000000004
2021-12-21,0,0.30000000000000004
2021-12-22,0,0.30000000000000004
2021-12-23,0,0.30000000000000004
2021-12-24,10,0.30000000000000004
2021-12-25,10,0.30000000000000004
2021-12-26,10,0.30000000000000004
2021-12-27,17,0.30000000000000004
2021-12-28,20,0.30000000000000004
2021-12-29,20,0.30000000000000004
2021-12-30,27.000000000000004,0.30000000000000004
2021-12-31,30,0.30000000000000004
2022-01-01,37,0.30000000000000004
2022-01-02,40,0.30000000000000004
2022-01-03,47,0.30000000000000004
2022-01-04,47,0.30000000000000004
2022-01-05,50,0.30000000000000004
2022-01-06,57.00000000000001,0.30000000000000004
2022-01-07,60,0.30000000000000004
2022-01-08,67,0.30000000000000004
2022-01-09,70,0.30000000000000004
2022-01-10,77,0.30000000000000004
2022-01-11,80,0.30000000000000004
2022-01-12,87,0.30000000000000004
2022-01-13,90,0.30000000000000004
2022-01-14,97,0.30000000000000004
2022-01-15,100,0.30000000000000004
2022-01-16,100,0.30000000000000004
2022-01-17,110,0.30000000000000004
2022-01-18,110,0.30000000000000004
2022-01-19,120,0.30000000000000004
2022-01-20,120,0.30000000000000004
2022-01-21,127,0.30000000000000004
2022-01-22,130,0.30000000000000004
2022-01-23,130,0.30000000000000004
2022-01-24,140,0.30000000000000004
2022-01-25,140,0.30000000000000004
2022-01-26,150,0.30000000000000004
2022-01-27,150,0.30000000000000004
2022-01-28,160,0.30000000000000004
2022-01-29,160,0.30000000000000004
2022-01-30,167,0.30000000000000004
2022-01-31,170,0.30000000000000004
2022-02-01,177,0.30000000000000004
2022-02-02,180,0.30000000000000004
2022-02-03,187,0.30000000000000004
2022-02-04,190,0.30000000000000004
2022-02-05,197,0.30000000000000004
2022-02-06,200,0.30000000000000004
2022-02-07,210,0.30000000000000004
2022-02-08,217,0.30000000000000004
2022-02-09,220,0.30000000000000004
2022-02-10,220,0.30000000000000004
2022-02-11,227,0.30000000000000004
2022-02-12,230,0.30000000000000004
2022-02-13,237,0.30000000000000004
2022-02-14,240,0.30000000000000004
2022-02-15,247,0.30000000000000004
2022-02-16,250,0.30000000000000004
2022-02-17,257,0.30000000000000004
2022-02-18,260,0.30000000000000004
2022-02-19,267,0.30000000000000004
2022-02-20,277,0.30000000000000004
2022-02-21,277,0.30000000000000004
2022-02-22,280,0.30000000000000004
2022-02-23,287,0.30000000000000004
2022-02-24,290,0.30000000000000004
2022-02-25,290,0.30000000000000004
2022-02-26,297,0.30000000000000004
2022-02-27,307,0.30000000000000004
2022-02-28,310,0.30000000000000004
2022-03-01,317,0.30000000000000004
2022-03-02,317,0.30000000000000004
2022-03-03,320,0.30000000000000004
2022-03-04,327,0.30000000000000004
2022-03-05,327,0.30000000000000004
2022-03-06,337,0.30000000000000004
2022-03-07,340,0.30000000000000004
2022-03-08,340,0.30000000000000004
2021-12-20,0,0.4
2021-12-21,0,0.4
2021-12-22,0,0.4
2021-12-23,0,0.4
2021-12-24,10,0.4
2021-12-25,10,0.4
2021-12-26,10,0.4
2021-12-27,20,0.4
2021-12-28,20,0.4
2021-12-29,20,0.4
2021-12-30,30,0.4
2021-12-31,30,0.4
2022-01-01,40,0.4
2022-01-02,40,0.4
2022-01-03,50,0.4
2022-01-04,50,0.4
2022-01-05,56,0.4
2022-01-06,60,0.4
2022-01-07,66,0.4
2022-01-08,70,0.4
2022-01-09,76,0.4
2022-01-10,80,0.4
2022-01-11,80,0.4
2022-01-12,90,0.4
2022-01-13,90,0.4
2022-01-14,100,0.4
2022-01-15,100,0.4
2022-01-16,106,0.4
2022-01-17,110,0.4
2022-01-18,110,0.4
