decile,week,treat,elig,prop
1,2021-12-13,8,11,0.7222222222222222
1,2021-12-20,22,31,0.7072649572649572
1,2022-01-03,18,24,0.75
1,2022-01-31,49,71,0.6883942766295708
1,2022-02-07,52,70,0.7426470588235294
1,2022-02-14,19,26,0.7307692307692307
1,2022-02-28,24,33,0.7272727272727273
1,2022-03-07,6,9,0.6666666666666666
2,2021-12-20,21,26,0.8076923076923077
2,2021-12-27,30,38,0.7894736842105263
2,2022-01-31,55,69,0.7949915110356536
2,2022-02-07,26,32,0.8125
2,2022-02-14,109,141,0.7763805522208883
2,2022-02-21,47,59,0.7970588235294118
2,2022-02-28,24,31,0.7741935483870968
2,2022-03-07,4,5,0.8
3,2021-12-20,43,51,0.8431623931623932
3,2022-01-03,26,31,0.8387096774193549
3,2022-01-10,32,38,0.8421052631578947
3,2022-01-24,22,26,0.8461538461538461
3,2022-01-31,29,34,0.8529411764705882
3,2022-02-07,32,38,0.8421052631578947
3,2022-02-14,91,110,0.827141382868937
3,2022-02-21,36,43,0.8372093023255814
3,2022-02-28,31,38,0.8157894736842105
4,2021-12-20,18,21,0.8571428571428571
4,2022-01-03,20,23,0.8695652173913043
4,2022-01-10,26,30,0.8666666666666667
4,2022-01-17,56,64,0.875
4,2022-01-24,80,92,0.8693455691509084
4,2022-01-31,37,43,0.8604651162790697
4,2022-02-07,65,75,0.8647416413373861
4,2022-02-21,32,37,0.8648648648648649
4,2022-02-28,31,36,0.8611111111111112
5,2021-12-27,23,26,0.8846153846153846
5,2022-01-03,65,73,0.892089093701997
5,2022-01-10,48,54,0.8887362637362637
5,2022-01-17,55,61,0.9016129032258065
5,2022-01-31,31,35,0.8857142857142857
5,2022-02-07,35,39,0.8974358974358975
5,2022-02-14,28,31,0.9032258064516129
5,2022-02-21,31,35,0.8857142857142857
5,2022-02-28,63,71,0.8873015873015873
6,2021-12-27,87,95,0.9154589371980676
6,2022-01-03,66,72,0.9166023166023166
6,2022-01-17,107,117,0.9143011483437016
6,2022-01-24,30,33,0.9090909090909091
6,2022-01-31,39,43,0.9069767441860465
6,2022-02-21,70,77,0.9095238095238095
6,2022-02-28,34,37,0.918918918918919
7,2021-12-20,13,14,0.9285714285714286
7,2021-12-27,27,29,0.9310344827586207
7,2022-01-10,91,98,0.9285106124186584
7,2022-01-24,26,28,0.9285714285714286
7,2022-01-31,28,30,0.9333333333333333
7,2022-02-07,87,94,0.9261749434163228
7,2022-02-21,25,27,0.9259259259259259
7,2022-02-28,75,81,0.9259146341463416
8,2021-12-20,15,16,0.9375
8,2021-12-27,51,54,0.9458333333333333
8,2022-01-03,58,61,0.9520697167755992
8,2022-01-10,64,68,0.9407149084568439
8,2022-01-17,35,37,0.9459459459459459
8,2022-01-24,33,35,0.9428571428571428
8,2022-01-31,42,44,0.9545454545454546
8,2022-02-14,35,37,0.9459459459459459
8,2022-02-21,22,23,0.9565217391304348
8,2022-02-28,17,18,0.9444444444444444
9,2021-12-13,2,2,1
9,2021-12-27,69,71,0.9718253968253968
9,2022-01-03,33,34,0.9705882352941176
9,2022-01-10,26,27,0.9629629629629629
9,2022-01-17,78,80,0.974937343358396
9,2022-01-24,95,98,0.968568299482278
9,2022-02-21,32,33,0.9696969696969697
9,2022-03-07,3,3,1
10,2021-12-13,10,10,1
10,2021-12-20,18,18,1
10,2022-03-07,24,24,1
