criteria,n
c_all,18570
c_no_positive_covid_test,6620
c_positive_covid_test_previous_30_days,20
c_covid_hosp_admission_previous_30_days,360
c_no_high_risk_group_nhsd,13960
c_no_high_risk_group_match,2370
c_hosp_admission_and_not_discharged_on_or_before_pos_test,730
c_primary_covid_hospital_admission_last_30_days,160
c_any_covid_hospital_admission_last_30_days,410
c_all,47650
c_not_symptomatic_covid_test,21970
c_not_treated_within_5_days_paxlovid,1970
c_renal_liver_paxlovid,20
c_aged_under_18_paxlovid,20
c_pregnancy_paxlovid,18800
c_not_treated_within_5_days_sotrovimab,1090
c_aged_under_12_sotrovimab,NA
c_weight_sotrovimab,30
c_not_treated_within_7_days_remdesivir,30
c_age_under_12_remdesivir,NA
c_weight_remdesivir,NA
c_not_treated_within_5_days_molnupiravir,980
c_pregnancy_molnupiravir,10
