treatment_date,cum_count_redacted,high_risk_cohort
2022-03-05,4030,imid
2022-03-12,4600,imid
2022-03-19,5250,imid
2022-03-26,5930,imid
2022-04-02,6580,imid
2022-04-09,7160,imid
2022-04-16,7560,imid
2022-04-23,7780,imid
2022-04-30,7970,imid
2022-05-07,8100,imid
2022-05-14,8230,imid
2022-05-21,8340,imid
2022-05-28,8440,imid
2022-06-04,8630,imid
2022-06-11,8910,imid
2022-06-18,9240,imid
2022-06-25,9660,imid
2022-07-02,10160,imid
2022-07-09,10670,imid
2022-07-16,11000,imid
2022-07-23,11250,imid
2022-07-30,11450,imid
2022-08-06,11600,imid
2022-08-13,11740,imid
2022-08-20,11830,imid
2022-08-27,11950,imid
2022-09-03,12090,imid
2022-09-10,12220,imid
2022-09-17,12400,imid
2022-09-24,12650,imid
2022-10-01,12940,imid
2022-10-08,13210,imid
2022-10-15,13440,imid
2022-10-22,13590,imid
2022-10-29,13720,imid
2022-11-05,13800,imid
2022-11-12,13880,imid
2022-11-19,13970,imid
2022-11-26,14080,imid
2022-12-03,14210,imid
2022-12-10,14390,imid
2022-12-17,14620,imid
2022-12-24,14830,imid
2022-12-31,14980,imid
2023-01-07,15040,imid
2023-01-14,15090,imid
2023-01-21,15160,imid
2023-01-28,15270,imid
2023-02-04,15360,imid
2023-02-11,15490,imid
2023-02-18,15610,imid
2023-02-25,15730,imid
2023-03-04,15870,imid
2023-03-11,16040,imid
2023-03-18,16210,imid
2023-03-25,16340,imid
2023-04-01,16450,imid
2023-04-08,16560,imid
2023-04-15,16650,imid
2023-04-22,16720,imid
2023-04-29,16820,imid
2023-05-06,16880,imid
2023-05-13,16950,imid
2023-05-20,17000,imid
2023-05-27,17040,imid
2023-06-03,17080,imid
2023-06-10,17110,imid
2023-06-17,17130,imid
2023-06-24,17130,imid
2023-07-01,17130,imid
2023-07-08,17130,imid
2023-07-15,17130,imid
2023-07-22,17130,imid
2023-07-29,17130,imid
2023-08-05,17130,imid
2023-08-12,17130,imid
2023-08-19,17130,imid
2023-08-26,17130,imid
2023-09-02,17130,imid
2023-09-09,17130,imid
2023-09-16,17130,imid
2023-09-23,17130,imid
2023-09-30,17130,imid
2023-10-07,17140,imid
2023-10-14,17140,imid
2023-10-21,17140,imid
2023-10-28,17140,imid
2023-11-04,17140,imid
2023-11-11,17140,imid
2023-11-18,17140,imid
2023-11-25,17140,imid
2023-12-02,17140,imid
2023-12-09,17140,imid
2023-12-16,17140,imid
2023-12-23,17140,imid
2023-12-30,17140,imid
2021-12-11,NA,solid_cancer
2021-12-18,80,solid_cancer
2021-12-25,200,solid_cancer
2022-01-01,360,solid_cancer
2022-01-08,500,solid_cancer
2022-01-15,610,solid_cancer
2022-01-22,730,solid_cancer
2022-01-29,850,solid_cancer
2022-02-05,950,solid_cancer
2022-02-12,1040,solid_cancer
2022-02-19,1140,solid_cancer
2022-02-26,1250,solid_cancer
2022-03-05,1410,solid_cancer
2022-03-12,1610,solid_cancer
2022-03-19,1870,solid_cancer
2022-03-26,2150,solid_cancer
2022-04-02,2390,solid_cancer
2022-04-09,2630,solid_cancer
2022-04-16,2790,solid_cancer
2022-04-23,2900,solid_cancer
2022-04-30,2950,solid_cancer
2022-05-07,3020,solid_cancer
2022-05-14,3050,solid_cancer
2022-05-21,3110,solid_cancer
2022-05-28,3160,solid_cancer
2022-06-04,3240,solid_cancer
2022-06-11,3350,solid_cancer
2022-06-18,3470,solid_cancer
2022-06-25,3670,solid_cancer
2022-07-02,3920,solid_cancer
2022-07-09,4160,solid_cancer
2022-07-16,4320,solid_cancer
2022-07-23,4440,solid_cancer
2022-07-30,4550,solid_cancer
2022-08-06,4650,solid_cancer
2022-08-13,4730,solid_cancer
2022-08-20,4790,solid_cancer
2022-08-27,4850,solid_cancer
2022-09-03,4910,solid_cancer
2022-09-10,4980,solid_cancer
2022-09-17,5100,solid_cancer
2022-09-24,5210,solid_cancer
2022-10-01,5360,solid_cancer
2022-10-08,5500,solid_cancer
2022-10-15,5630,solid_cancer
2022-10-22,5720,solid_cancer
2022-10-29,5790,solid_cancer
2022-11-05,5840,solid_cancer
2022-11-12,5870,solid_cancer
2022-11-19,5920,solid_cancer
2022-11-26,5980,solid_cancer
2022-12-03,6040,solid_cancer
2022-12-10,6150,solid_cancer
2022-12-17,6300,solid_cancer
2022-12-24,6380,solid_cancer
2022-12-31,6470,solid_cancer
2023-01-07,6500,solid_cancer
2023-01-14,6540,solid_cancer
2023-01-21,6570,solid_cancer
2023-01-28,6610,solid_cancer
2023-02-04,6670,solid_cancer
2023-02-11,6740,solid_cancer
2023-02-18,6820,solid_cancer
2023-02-25,6900,solid_cancer
2023-03-04,7020,solid_cancer
2023-03-11,7120,solid_cancer
2023-03-18,7250,solid_cancer
2023-03-25,7340,solid_cancer
2023-04-01,7410,solid_cancer
2023-04-08,7470,solid_cancer
2023-04-15,7530,solid_cancer
2023-04-22,7570,solid_cancer
2023-04-29,7620,solid_cancer
2023-05-06,7670,solid_cancer
2023-05-13,7700,solid_cancer
2023-05-20,7730,solid_cancer
2023-05-27,7750,solid_cancer
2023-06-03,7770,solid_cancer
2023-06-10,7790,solid_cancer
2023-06-17,7790,solid_cancer
2023-06-24,7800,solid_cancer
2023-07-01,7800,solid_cancer
2023-07-08,7800,solid_cancer
2023-07-15,7800,solid_cancer
2023-07-22,7800,solid_cancer
2023-07-29,7800,solid_cancer
2023-08-05,7800,solid_cancer
2023-08-12,7800,solid_cancer
2023-08-19,7800,solid_cancer
2023-08-26,7800,solid_cancer
2023-09-02,7800,solid_cancer
2023-09-09,7800,solid_cancer
2023-09-16,7800,solid_cancer
2023-09-23,7800,solid_cancer
2023-09-30,7800,solid_cancer
2023-10-07,7800,solid_cancer
2023-10-14,7800,solid_cancer
2023-10-21,7800,solid_cancer
2023-10-28,7800,solid_cancer
2023-11-04,7800,solid_cancer
2023-11-11,7800,solid_cancer
2023-11-18,7800,solid_cancer
2023-11-25,7800,solid_cancer
2023-12-02,7800,solid_cancer
2023-12-09,7800,solid_cancer
2023-12-16,7800,solid_cancer
2023-12-23,7800,solid_cancer
2023-12-30,7800,solid_cancer
2021-12-11,10,immunosupression
2021-12-18,130,immunosupression
2021-12-25,290,immunosupression
2022-01-01,480,immunosupression
2022-01-08,620,immunosupression
2022-01-15,740,immunosupression
2022-01-22,870,immunosupression
2022-01-29,1000,immunosupression
2022-02-05,1100,immunosupression
2022-02-12,1220,immunosupression
2022-02-19,1310,immunosupression
2022-02-26,1420,immunosupression
2022-03-05,1620,immunosupression
2022-03-12,1860,immunosupression
2022-03-19,2130,immunosupression
2022-03-26,2420,immunosupression
2022-04-02,2680,immunosupression
2022-04-09,2920,immunosupression
2022-04-16,3090,immunosupression
2022-04-23,3200,immunosupression
2022-04-30,3280,immunosupression
2022-05-07,3350,immunosupression
2022-05-14,3400,immunosupression
2022-05-21,3460,immunosupression
2022-05-28,3510,immunosupression
2022-06-04,3620,immunosupression
2022-06-11,3740,immunosupression
2022-06-18,3880,immunosupression
2022-06-25,4070,immunosupression
2022-07-02,4320,immunosupression
2022-07-09,4550,immunosupression
2022-07-16,4730,immunosupression
2022-07-23,4840,immunosupression
2022-07-30,4920,immunosupression
2022-08-06,4990,immunosupression
2022-08-13,5060,immunosupression
2022-08-20,5110,immunosupression
2022-08-27,5160,immunosupression
2022-09-03,5220,immunosupression
2022-09-10,5270,immunosupression
2022-09-17,5340,immunosupression
2022-09-24,5450,immunosupression
2022-10-01,5590,immunosupression
2022-10-08,5720,immunosupression
2022-10-15,5810,immunosupression
2022-10-22,5900,immunosupression
2022-10-29,5960,immunosupression
2022-11-05,5990,immunosupression
2022-11-12,6030,immunosupression
2022-11-19,6060,immunosupression
2022-11-26,6110,immunosupression
2022-12-03,6170,immunosupression
2022-12-10,6240,immunosupression
2022-12-17,6360,immunosupression
2022-12-24,6460,immunosupression
2022-12-31,6530,immunosupression
2023-01-07,6570,immunosupression
2023-01-14,6610,immunosupression
2023-01-21,6640,immunosupression
2023-01-28,6680,immunosupression
2023-02-04,6730,immunosupression
2023-02-11,6790,immunosupression
2023-02-18,6850,immunosupression
2023-02-25,6900,immunosupression
2023-03-04,6950,immunosupression
2023-03-11,7040,immunosupression
2023-03-18,7100,immunosupression
2023-03-25,7150,immunosupression
2023-04-01,7200,immunosupression
2023-04-08,7230,immunosupression
2023-04-15,7250,immunosupression
2023-04-22,7270,immunosupression
2023-04-29,7310,immunosupression
2023-05-06,7340,immunosupression
2023-05-13,7370,immunosupression
2023-05-20,7390,immunosupression
2023-05-27,7400,immunosupression
2023-06-03,7410,immunosupression
2023-06-10,7420,immunosupression
2023-06-17,7430,immunosupression
2023-06-24,7430,immunosupression
2023-07-01,7430,immunosupression
2023-07-08,7430,immunosupression
2023-07-15,7430,immunosupression
2023-07-22,7430,immunosupression
2023-07-29,7430,immunosupression
2023-08-05,7430,immunosupression
2023-08-12,7430,immunosupression
2023-08-19,7430,immunosupression
2023-08-26,7430,immunosupression
2023-09-02,7430,immunosupression
2023-09-09,7430,immunosupression
2023-09-16,7430,immunosupression
2023-09-23,7430,immunosupression
2023-09-30,7430,immunosupression
2023-10-07,7430,immunosupression
2023-10-14,7430,immunosupression
2023-10-21,7430,immunosupression
2023-10-28,7430,immunosupression
2023-11-04,7430,immunosupression
2023-11-11,7430,immunosupression
2023-11-18,7430,immunosupression
2023-11-25,7430,immunosupression
2023-12-02,7430,immunosupression
2023-12-09,7430,immunosupression
2023-12-16,7430,immunosupression
2023-12-23,7430,immunosupression
2023-12-30,7430,immunosupression
2021-12-11,10,haematological_disease
2021-12-18,100,haematological_disease
2021-12-25,210,haematological_disease
2022-01-01,380,haematological_disease
2022-01-08,490,haematological_disease
2022-01-15,580,haematological_disease
2022-01-22,690,haematological_disease
2022-01-29,800,haematological_disease
2022-02-05,890,haematological_disease
2022-02-12,1000,haematological_disease
2022-02-19,1090,haematological_disease
2022-02-26,1200,haematological_disease
2022-03-05,1370,haematological_disease
2022-03-12,1580,haematological_disease
2022-03-19,1840,haematological_disease
2022-03-26,2090,haematological_disease
2022-04-02,2320,haematological_disease
2022-04-09,2530,haematological_disease
2022-04-16,2680,haematological_disease
2022-04-23,2780,haematological_disease
2022-04-30,2840,haematological_disease
2022-05-07,2920,haematological_disease
2022-05-14,2960,haematological_disease
2022-05-21,3020,haematological_disease
2022-05-28,3070,haematological_disease
2022-06-04,3160,haematological_disease
2022-06-11,3260,haematological_disease
2022-06-18,3360,haematological_disease
2022-06-25,3510,haematological_disease
2022-07-02,3730,haematological_disease
2022-07-09,3930,haematological_disease
2022-07-16,4090,haematological_disease
2022-07-23,4190,haematological_disease
2022-07-30,4280,haematological_disease
2022-08-06,4340,haematological_disease
2022-08-13,4410,haematological_disease
2022-08-20,4460,haematological_disease
2022-08-27,4500,haematological_disease
2022-09-03,4560,haematological_disease
2022-09-10,4600,haematological_disease
2022-09-17,4660,haematological_disease
2022-09-24,4770,haematological_disease
2022-10-01,4910,haematological_disease
2022-10-08,5020,haematological_disease
2022-10-15,5120,haematological_disease
2022-10-22,5210,haematological_disease
2022-10-29,5280,haematological_disease
2022-11-05,5310,haematological_disease
2022-11-12,5350,haematological_disease
2022-11-19,5390,haematological_disease
2022-11-26,5450,haematological_disease
2022-12-03,5510,haematological_disease
2022-12-10,5580,haematological_disease
2022-12-17,5700,haematological_disease
2022-12-24,5780,haematological_disease
2022-12-31,5860,haematological_disease
2023-01-07,5890,haematological_disease
2023-01-14,5930,haematological_disease
2023-01-21,5950,haematological_disease
2023-01-28,5980,haematological_disease
2023-02-04,6030,haematological_disease
2023-02-11,6080,haematological_disease
2023-02-18,6120,haematological_disease
2023-02-25,6170,haematological_disease
2023-03-04,6220,haematological_disease
2023-03-11,6300,haematological_disease
2023-03-18,6350,haematological_disease
2023-03-25,6410,haematological_disease
2023-04-01,6440,haematological_disease
2023-04-08,6470,haematological_disease
2023-04-15,6510,haematological_disease
2023-04-22,6530,haematological_disease
2023-04-29,6560,haematological_disease
2023-05-06,6590,haematological_disease
2023-05-13,6620,haematological_disease
2023-05-20,6640,haematological_disease
2023-05-27,6640,haematological_disease
2023-06-03,6660,haematological_disease
2023-06-10,6670,haematological_disease
2023-06-17,6680,haematological_disease
2023-06-24,6680,haematological_disease
2023-07-01,6680,haematological_disease
2023-07-08,6680,haematological_disease
2023-07-15,6680,haematological_disease
2023-07-22,6680,haematological_disease
2023-07-29,6680,haematological_disease
2023-08-05,6680,haematological_disease
2023-08-12,6680,haematological_disease
2023-08-19,6680,haematological_disease
2023-08-26,6680,haematological_disease
2023-09-02,6680,haematological_disease
2023-09-09,6680,haematological_disease
2023-09-16,6680,haematological_disease
2023-09-23,6680,haematological_disease
2023-09-30,6680,haematological_disease
2023-10-07,6680,haematological_disease
2023-10-14,6680,haematological_disease
2023-10-21,6680,haematological_disease
2023-10-28,6680,haematological_disease
2023-11-04,6680,haematological_disease
2023-11-11,6680,haematological_disease
2023-11-18,6680,haematological_disease
2023-11-25,6680,haematological_disease
2023-12-02,6680,haematological_disease
2023-12-09,6680,haematological_disease
2023-12-16,6680,haematological_disease
2023-12-23,6680,haematological_disease
2023-12-30,6680,haematological_disease
2021-12-11,10,rare_neurological_conditions
2021-12-18,80,rare_neurological_conditions
2021-12-25,200,rare_neurological_conditions
2022-01-01,340,rare_neurological_conditions
2022-01-08,440,rare_neurological_conditions
2022-01-15,530,rare_neurological_conditions
2022-01-22,620,rare_neurological_conditions
2022-01-29,740,rare_neurological_conditions
2022-02-05,830,rare_neurological_conditions
2022-02-12,910,rare_neurological_conditions
2022-02-19,1020,rare_neurological_conditions
2022-02-26,1130,rare_neurological_conditions
2022-03-05,1280,rare_neurological_conditions
2022-03-12,1490,rare_neurological_conditions
2022-03-19,1750,rare_neurological_conditions
2022-03-26,2010,rare_neurological_conditions
2022-04-02,2250,rare_neurological_conditions
2022-04-09,2450,rare_neurological_conditions
2022-04-16,2600,rare_neurological_conditions
2022-04-23,2680,rare_neurological_conditions
2022-04-30,2740,rare_neurological_conditions
2022-05-07,2780,rare_neurological_conditions
2022-05-14,2840,rare_neurological_conditions
2022-05-21,2870,rare_neurological_conditions
2022-05-28,2900,rare_neurological_conditions
2022-06-04,2970,rare_neurological_conditions
2022-06-11,3060,rare_neurological_conditions
2022-06-18,3160,rare_neurological_conditions
2022-06-25,3330,rare_neurological_conditions
2022-07-02,3520,rare_neurological_conditions
2022-07-09,3690,rare_neurological_conditions
2022-07-16,3800,rare_neurological_conditions
2022-07-23,3890,rare_neurological_conditions
2022-07-30,3960,rare_neurological_conditions
2022-08-06,4010,rare_neurological_conditions
2022-08-13,4050,rare_neurological_conditions
2022-08-20,4100,rare_neurological_conditions
2022-08-27,4140,rare_neurological_conditions
2022-09-03,4190,rare_neurological_conditions
2022-09-10,4240,rare_neurological_conditions
2022-09-17,4300,rare_neurological_conditions
2022-09-24,4370,rare_neurological_conditions
2022-10-01,4470,rare_neurological_conditions
2022-10-08,4560,rare_neurological_conditions
2022-10-15,4640,rare_neurological_conditions
2022-10-22,4690,rare_neurological_conditions
2022-10-29,4740,rare_neurological_conditions
2022-11-05,4760,rare_neurological_conditions
2022-11-12,4790,rare_neurological_conditions
2022-11-19,4820,rare_neurological_conditions
2022-11-26,4850,rare_neurological_conditions
2022-12-03,4900,rare_neurological_conditions
2022-12-10,4950,rare_neurological_conditions
2022-12-17,5040,rare_neurological_conditions
2022-12-24,5120,rare_neurological_conditions
2022-12-31,5160,rare_neurological_conditions
2023-01-07,5180,rare_neurological_conditions
2023-01-14,5200,rare_neurological_conditions
2023-01-21,5220,rare_neurological_conditions
2023-01-28,5260,rare_neurological_conditions
2023-02-04,5300,rare_neurological_conditions
2023-02-11,5330,rare_neurological_conditions
2023-02-18,5360,rare_neurological_conditions
2023-02-25,5400,rare_neurological_conditions
2023-03-04,5440,rare_neurological_conditions
2023-03-11,5470,rare_neurological_conditions
2023-03-18,5520,rare_neurological_conditions
2023-03-25,5560,rare_neurological_conditions
2023-04-01,5580,rare_neurological_conditions
2023-04-08,5610,rare_neurological_conditions
2023-04-15,5630,rare_neurological_conditions
2023-04-22,5640,rare_neurological_conditions
2023-04-29,5660,rare_neurological_conditions
2023-05-06,5680,rare_neurological_conditions
2023-05-13,5700,rare_neurological_conditions
2023-05-20,5710,rare_neurological_conditions
2023-05-27,5720,rare_neurological_conditions
2023-06-03,5720,rare_neurological_conditions
2023-06-10,5730,rare_neurological_conditions
2023-06-17,5730,rare_neurological_conditions
2023-06-24,5730,rare_neurological_conditions
2023-07-01,5730,rare_neurological_conditions
2023-07-08,5730,rare_neurological_conditions
2023-07-15,5730,rare_neurological_conditions
2023-07-22,5730,rare_neurological_conditions
2023-07-29,5730,rare_neurological_conditions
2023-08-05,5730,rare_neurological_conditions
2023-08-12,5730,rare_neurological_conditions
2023-08-19,5730,rare_neurological_conditions
2023-08-26,5730,rare_neurological_conditions
2023-09-02,5730,rare_neurological_conditions
2023-09-09,5730,rare_neurological_conditions
2023-09-16,5730,rare_neurological_conditions
2023-09-23,5730,rare_neurological_conditions
2023-09-30,5730,rare_neurological_conditions
2023-10-07,5730,rare_neurological_conditions
2023-10-14,5730,rare_neurological_conditions
2023-10-21,5730,rare_neurological_conditions
2023-10-28,5730,rare_neurological_conditions
2023-11-04,5730,rare_neurological_conditions
2023-11-11,5730,rare_neurological_conditions
2023-11-18,5730,rare_neurological_conditions
2023-11-25,5730,rare_neurological_conditions
2023-12-02,5730,rare_neurological_conditions
2023-12-09,5730,rare_neurological_conditions
2023-12-16,5730,rare_neurological_conditions
2023-12-23,5730,rare_neurological_conditions
2023-12-30,5730,rare_neurological_conditions
2021-12-11,NA,renal_disease
2021-12-18,80,renal_disease
2021-12-25,220,renal_disease
2022-01-01,350,renal_disease
2022-01-08,450,renal_disease
2022-01-15,530,renal_disease
2022-01-22,620,renal_disease
2022-01-29,710,renal_disease
2022-02-05,790,renal_disease
2022-02-12,850,renal_disease
2022-02-19,920,renal_disease
2022-02-26,980,renal_disease
2022-03-05,1090,renal_disease
2022-03-12,1240,renal_disease
2022-03-19,1390,renal_disease
2022-03-26,1570,renal_disease
2022-04-02,1750,renal_disease
2022-04-09,1880,renal_disease
2022-04-16,1970,renal_disease
2022-04-23,2020,renal_disease
2022-04-30,2070,renal_disease
2022-05-07,2110,renal_disease
2022-05-14,2130,renal_disease
2022-05-21,2150,renal_disease
2022-05-28,2180,renal_disease
2022-06-04,2230,renal_disease
2022-06-11,2300,renal_disease
2022-06-18,2370,renal_disease
2022-06-25,2470,renal_disease
2022-07-02,2600,renal_disease
2022-07-09,2730,renal_disease
2022-07-16,2830,renal_disease
2022-07-23,2920,renal_disease
2022-07-30,2980,renal_disease
2022-08-06,3030,renal_disease
2022-08-13,3080,renal_disease
2022-08-20,3100,renal_disease
2022-08-27,3130,renal_disease
2022-09-03,3170,renal_disease
2022-09-10,3220,renal_disease
2022-09-17,3260,renal_disease
2022-09-24,3350,renal_disease
2022-10-01,3420,renal_disease
2022-10-08,3520,renal_disease
2022-10-15,3580,renal_disease
2022-10-22,3610,renal_disease
2022-10-29,3640,renal_disease
2022-11-05,3680,renal_disease
2022-11-12,3710,renal_disease
2022-11-19,3740,renal_disease
2022-11-26,3760,renal_disease
2022-12-03,3800,renal_disease
2022-12-10,3850,renal_disease
2022-12-17,3910,renal_disease
2022-12-24,3960,renal_disease
2022-12-31,4000,renal_disease
2023-01-07,4030,renal_disease
2023-01-14,4040,renal_disease
2023-01-21,4050,renal_disease
2023-01-28,4080,renal_disease
2023-02-04,4110,renal_disease
2023-02-11,4120,renal_disease
2023-02-18,4170,renal_disease
2023-02-25,4200,renal_disease
2023-03-04,4240,renal_disease
2023-03-11,4280,renal_disease
2023-03-18,4330,renal_disease
2023-03-25,4350,renal_disease
2023-04-01,4380,renal_disease
2023-04-08,4400,renal_disease
2023-04-15,4420,renal_disease
2023-04-22,4440,renal_disease
2023-04-29,4460,renal_disease
2023-05-06,4460,renal_disease
2023-05-13,4470,renal_disease
2023-05-20,4490,renal_disease
2023-05-27,4500,renal_disease
2023-06-03,4510,renal_disease
2023-06-10,4520,renal_disease
2023-06-17,4520,renal_disease
2023-06-24,4520,renal_disease
2023-07-01,4520,renal_disease
2023-07-08,4520,renal_disease
2023-07-15,4520,renal_disease
2023-07-22,4520,renal_disease
2023-07-29,4520,renal_disease
2023-08-05,4520,renal_disease
2023-08-12,4520,renal_disease
2023-08-19,4520,renal_disease
2023-08-26,4520,renal_disease
2023-09-02,4520,renal_disease
2023-09-09,4520,renal_disease
2023-09-16,4520,renal_disease
2023-09-23,4520,renal_disease
2023-09-30,4520,renal_disease
2023-10-07,4520,renal_disease
2023-10-14,4520,renal_disease
2023-10-21,4520,renal_disease
2023-10-28,4520,renal_disease
2023-11-04,4520,renal_disease
2023-11-11,4520,renal_disease
2023-11-18,4520,renal_disease
2023-11-25,4520,renal_disease
2023-12-02,4520,renal_disease
2023-12-09,4520,renal_disease
2023-12-16,4520,renal_disease
2023-12-23,4520,renal_disease
2023-12-30,4530,renal_disease
2021-12-11,10,solid_organ_transplant
2021-12-18,90,solid_organ_transplant
2021-12-25,210,solid_organ_transplant
2022-01-01,340,solid_organ_transplant
2022-01-08,450,solid_organ_transplant
2022-01-15,540,solid_organ_transplant
2022-01-22,630,solid_organ_transplant
2022-01-29,730,solid_organ_transplant
2022-02-05,820,solid_organ_transplant
2022-02-12,890,solid_organ_transplant
2022-02-19,960,solid_organ_transplant
2022-02-26,1030,solid_organ_transplant
2022-03-05,1130,solid_organ_transplant
2022-03-12,1290,solid_organ_transplant
2022-03-19,1450,solid_organ_transplant
2022-03-26,1620,solid_organ_transplant
2022-04-02,1790,solid_organ_transplant
2022-04-09,1930,solid_organ_transplant
2022-04-16,2020,solid_organ_transplant
2022-04-23,2070,solid_organ_transplant
2022-04-30,2130,solid_organ_transplant
2022-05-07,2160,solid_organ_transplant
2022-05-14,2180,solid_organ_transplant
2022-05-21,2200,solid_organ_transplant
2022-05-28,2240,solid_organ_transplant
2022-06-04,2300,solid_organ_transplant
2022-06-11,2350,solid_organ_transplant
2022-06-18,2430,solid_organ_transplant
2022-06-25,2520,solid_organ_transplant
2022-07-02,2650,solid_organ_transplant
2022-07-09,2770,solid_organ_transplant
2022-07-16,2860,solid_organ_transplant
2022-07-23,2930,solid_organ_transplant
2022-07-30,2970,solid_organ_transplant
2022-08-06,3010,solid_organ_transplant
2022-08-13,3050,solid_organ_transplant
2022-08-20,3060,solid_organ_transplant
2022-08-27,3080,solid_organ_transplant
2022-09-03,3110,solid_organ_transplant
2022-09-10,3140,solid_organ_transplant
2022-09-17,3180,solid_organ_transplant
2022-09-24,3240,solid_organ_transplant
2022-10-01,3300,solid_organ_transplant
2022-10-08,3380,solid_organ_transplant
2022-10-15,3430,solid_organ_transplant
2022-10-22,3460,solid_organ_transplant
2022-10-29,3490,solid_organ_transplant
2022-11-05,3520,solid_organ_transplant
2022-11-12,3540,solid_organ_transplant
2022-11-19,3570,solid_organ_transplant
2022-11-26,3590,solid_organ_transplant
2022-12-03,3620,solid_organ_transplant
2022-12-10,3650,solid_organ_transplant
2022-12-17,3700,solid_organ_transplant
2022-12-24,3740,solid_organ_transplant
2022-12-31,3760,solid_organ_transplant
2023-01-07,3780,solid_organ_transplant
2023-01-14,3800,solid_organ_transplant
2023-01-21,3810,solid_organ_transplant
2023-01-28,3830,solid_organ_transplant
2023-02-04,3850,solid_organ_transplant
2023-02-11,3870,solid_organ_transplant
2023-02-18,3890,solid_organ_transplant
2023-02-25,3920,solid_organ_transplant
2023-03-04,3940,solid_organ_transplant
2023-03-11,3970,solid_organ_transplant
2023-03-18,4010,solid_organ_transplant
2023-03-25,4030,solid_organ_transplant
2023-04-01,4050,solid_organ_transplant
2023-04-08,4060,solid_organ_transplant
2023-04-15,4070,solid_organ_transplant
2023-04-22,4090,solid_organ_transplant
2023-04-29,4110,solid_organ_transplant
2023-05-06,4120,solid_organ_transplant
2023-05-13,4130,solid_organ_transplant
2023-05-20,4140,solid_organ_transplant
2023-05-27,4150,solid_organ_transplant
2023-06-03,4160,solid_organ_transplant
2023-06-10,4160,solid_organ_transplant
2023-06-17,4170,solid_organ_transplant
2023-06-24,4170,solid_organ_transplant
2023-07-01,4170,solid_organ_transplant
2023-07-08,4170,solid_organ_transplant
2023-07-15,4170,solid_organ_transplant
2023-07-22,4170,solid_organ_transplant
2023-07-29,4170,solid_organ_transplant
2023-08-05,4170,solid_organ_transplant
2023-08-12,4170,solid_organ_transplant
2023-08-19,4170,solid_organ_transplant
2023-08-26,4170,solid_organ_transplant
2023-09-02,4170,solid_organ_transplant
2023-09-09,4170,solid_organ_transplant
2023-09-16,4170,solid_organ_transplant
2023-09-23,4170,solid_organ_transplant
2023-09-30,4170,solid_organ_transplant
