treatment_date,cum_count_redacted,high_risk_cohort
2021-12-11,50,All
2021-12-18,570,All
2021-12-25,1370,All
2022-01-01,2350,All
2022-01-08,3130,All
2022-01-15,3780,All
2022-01-22,4490,All
2022-01-29,5300,All
2022-02-05,5940,All
2022-02-12,6650,All
2022-02-19,7310,All
2022-02-26,8000,All
2022-03-05,9110,All
2022-03-12,10600,All
2022-03-19,12340,All
2022-03-26,14130,All
2022-04-02,15790,All
2022-04-09,17280,All
2022-04-16,18310,All
2022-04-23,18950,All
2022-04-30,19430,All
2022-05-07,19830,All
2022-05-14,20160,All
2022-05-21,20470,All
2022-05-28,20760,All
2022-06-04,21340,All
2022-06-11,22070,All
2022-06-18,23000,All
2022-06-25,24200,All
2022-07-02,25780,All
2022-07-09,27240,All
2022-07-16,28240,All
2022-07-23,28980,All
2022-07-30,29570,All
2022-08-06,30070,All
2022-08-13,30480,All
2022-08-20,30790,All
2022-08-27,31120,All
2022-09-03,31510,All
2022-09-10,31900,All
2022-09-17,32440,All
2022-09-24,33160,All
2022-10-01,34040,All
2022-10-08,34830,All
2022-10-15,35510,All
2022-10-22,35980,All
2022-10-29,36360,All
2022-11-05,36610,All
2022-11-12,36850,All
2022-11-19,37130,All
2022-11-26,37460,All
2022-12-03,37850,All
2022-12-10,38380,All
2022-12-17,39120,All
2022-12-24,39720,All
2022-12-31,40220,All
2023-01-07,40440,All
2023-01-14,40600,All
2023-01-21,40810,All
2023-01-28,41090,All
2023-02-04,41420,All
2023-02-11,41820,All
2023-02-18,42250,All
2023-02-25,42680,All
2023-03-04,43200,All
2023-03-11,43790,All
2023-03-18,44430,All
2023-03-25,44930,All
2023-04-01,45330,All
2023-04-08,45680,All
2023-04-15,45990,All
2023-04-22,46240,All
2023-04-29,46560,All
2023-05-06,46840,All
2023-05-13,47030,All
2023-05-20,47210,All
2023-05-27,47340,All
2023-06-03,47480,All
2023-06-10,47580,All
2023-06-17,47640,All
2023-06-24,47650,All
2023-07-01,47660,All
2023-07-08,47660,All
2023-07-15,47660,All
2023-07-22,47660,All
2023-07-29,47660,All
2023-08-05,47660,All
2023-08-12,47660,All
2023-08-19,47660,All
2023-08-26,47660,All
2023-09-02,47660,All
2023-09-09,47660,All
2023-09-16,47660,All
2023-09-23,47660,All
2023-09-30,47660,All
2023-10-07,47660,All
2023-10-14,47660,All
2023-10-21,47660,All
2023-10-28,47660,All
2023-11-04,47660,All
2023-11-11,47660,All
2023-11-18,47660,All
2023-11-25,47660,All
2023-12-02,47660,All
2023-12-09,47660,All
2023-12-16,47660,All
2023-12-23,47660,All
2023-12-30,47660,All
2021-12-11,20,imid
2021-12-18,250,imid
2021-12-25,600,imid
2022-01-01,1060,imid
2022-01-08,1410,imid
2022-01-15,1700,imid
2022-01-22,2050,imid
2022-01-29,2440,imid
2022-02-05,2750,imid
2022-02-12,3060,imid
2022-02-19,3330,imid
2022-02-26,3590,imid
