last_treatment_date,count_redacted,last_treatment_type
2023-01-28,110,Molnupiravir
2023-02-04,130,Molnupiravir
2023-02-11,130,Molnupiravir
2023-02-18,150,Molnupiravir
2023-02-25,150,Molnupiravir
2023-03-04,200,Molnupiravir
2023-03-11,240,Molnupiravir
2023-03-18,230,Molnupiravir
2023-03-25,160,Molnupiravir
2023-04-01,120,Molnupiravir
2023-04-08,110,Molnupiravir
2023-04-15,100,Molnupiravir
2023-04-22,80,Molnupiravir
2023-04-29,90,Molnupiravir
2023-05-06,70,Molnupiravir
2023-05-13,50,Molnupiravir
2023-05-20,50,Molnupiravir
2023-05-27,40,Molnupiravir
2023-06-03,50,Molnupiravir
2023-06-10,30,Molnupiravir
2023-06-17,10,Molnupiravir
2023-06-24,NA,Molnupiravir
2023-07-01,NA,Molnupiravir
2023-07-08,NA,Molnupiravir
2023-07-15,NA,Molnupiravir
2023-07-22,NA,Molnupiravir
2023-07-29,NA,Molnupiravir
2023-08-05,NA,Molnupiravir
2023-08-12,NA,Molnupiravir
2023-08-19,NA,Molnupiravir
2023-08-26,NA,Molnupiravir
2023-09-02,NA,Molnupiravir
2023-09-09,NA,Molnupiravir
2023-09-16,NA,Molnupiravir
2023-09-23,NA,Molnupiravir
2023-09-30,NA,Molnupiravir
2023-10-07,NA,Molnupiravir
2023-10-14,NA,Molnupiravir
2023-10-21,NA,Molnupiravir
2023-10-28,NA,Molnupiravir
2023-11-04,NA,Molnupiravir
2023-11-11,NA,Molnupiravir
2023-11-18,NA,Molnupiravir
2023-11-25,NA,Molnupiravir
2023-12-02,NA,Molnupiravir
2023-12-09,NA,Molnupiravir
2023-12-16,NA,Molnupiravir
2023-12-23,NA,Molnupiravir
2023-12-30,NA,Molnupiravir
2022-01-01,NA,Paxlovid
2022-01-08,NA,Paxlovid
2022-01-15,NA,Paxlovid
2022-01-22,NA,Paxlovid
2022-01-29,NA,Paxlovid
2022-02-05,30,Paxlovid
2022-02-12,150,Paxlovid
2022-02-19,140,Paxlovid
2022-02-26,180,Paxlovid
2022-03-05,320,Paxlovid
2022-03-12,450,Paxlovid
2022-03-19,620,Paxlovid
2022-03-26,620,Paxlovid
2022-04-02,580,Paxlovid
2022-04-09,530,Paxlovid
2022-04-16,360,Paxlovid
2022-04-23,230,Paxlovid
2022-04-30,180,Paxlovid
2022-05-07,140,Paxlovid
2022-05-14,140,Paxlovid
2022-05-21,140,Paxlovid
2022-05-28,120,Paxlovid
2022-06-04,250,Paxlovid
2022-06-11,330,Paxlovid
2022-06-18,440,Paxlovid
2022-06-25,570,Paxlovid
2022-07-02,730,Paxlovid
2022-07-09,670,Paxlovid
2022-07-16,460,Paxlovid
2022-07-23,330,Paxlovid
2022-07-30,260,Paxlovid
2022-08-06,220,Paxlovid
2022-08-13,170,Paxlovid
2022-08-20,130,Paxlovid
2022-08-27,140,Paxlovid
2022-09-03,180,Paxlovid
2022-09-10,170,Paxlovid
2022-09-17,250,Paxlovid
2022-09-24,330,Paxlovid
2022-10-01,380,Paxlovid
2022-10-08,370,Paxlovid
2022-10-15,320,Paxlovid
2022-10-22,220,Paxlovid
2022-10-29,170,Paxlovid
2022-11-05,110,Paxlovid
2022-11-12,110,Paxlovid
2022-11-19,130,Paxlovid
2022-11-26,180,Paxlovid
2022-12-03,210,Paxlovid
2022-12-10,290,Paxlovid
2022-12-17,420,Paxlovid
2022-12-24,340,Paxlovid
2022-12-31,280,Paxlovid
2023-01-07,120,Paxlovid
2023-01-14,100,Paxlovid
2023-01-21,120,Paxlovid
2023-01-28,170,Paxlovid
2023-02-04,190,Paxlovid
2023-02-11,240,Paxlovid
2023-02-18,280,Paxlovid
2023-02-25,280,Paxlovid
2023-03-04,320,Paxlovid
2023-03-11,350,Paxlovid
2023-03-18,430,Paxlovid
2023-03-25,320,Paxlovid
2023-04-01,260,Paxlovid
2023-04-08,210,Paxlovid
2023-04-15,210,Paxlovid
2023-04-22,160,Paxlovid
2023-04-29,220,Paxlovid
2023-05-06,180,Paxlovid
2023-05-13,120,Paxlovid
2023-05-20,130,Paxlovid
2023-05-27,80,Paxlovid
2023-06-03,90,Paxlovid
2023-06-10,60,Paxlovid
2023-06-17,40,Paxlovid
2023-06-24,10,Paxlovid
2023-07-01,NA,Paxlovid
2023-07-08,NA,Paxlovid
2023-07-15,NA,Paxlovid
2023-07-22,NA,Paxlovid
2023-07-29,NA,Paxlovid
2023-08-05,NA,Paxlovid
2023-08-12,NA,Paxlovid
2023-08-19,NA,Paxlovid
2023-08-26,NA,Paxlovid
2023-09-02,NA,Paxlovid
2023-09-09,NA,Paxlovid
2023-09-16,NA,Paxlovid
2023-09-23,NA,Paxlovid
2023-09-30,NA,Paxlovid
2023-10-07,NA,Paxlovid
2023-10-14,NA,Paxlovid
2023-10-21,NA,Paxlovid
2023-10-28,NA,Paxlovid
2023-11-04,NA,Paxlovid
2023-11-11,NA,Paxlovid
2023-11-18,NA,Paxlovid
2023-11-25,NA,Paxlovid
2023-12-02,NA,Paxlovid
2023-12-09,NA,Paxlovid
2023-12-16,NA,Paxlovid
2023-12-23,NA,Paxlovid
2023-12-30,NA,Paxlovid
2024-01-06,NA,Paxlovid
2024-01-13,NA,Paxlovid
2024-01-20,NA,Paxlovid
2024-01-27,NA,Paxlovid
2024-02-03,NA,Paxlovid
2024-02-10,NA,Paxlovid
2024-02-17,NA,Paxlovid
2024-02-24,NA,Paxlovid
2024-03-02,NA,Paxlovid
2024-03-09,NA,Paxlovid
2024-03-16,NA,Paxlovid
2024-03-23,NA,Paxlovid
2024-03-30,NA,Paxlovid
2024-04-06,NA,Paxlovid
2024-04-13,NA,Paxlovid
2024-04-20,NA,Paxlovid
2024-04-27,NA,Paxlovid
2024-05-04,NA,Paxlovid
2024-05-11,NA,Paxlovid
2024-05-18,NA,Paxlovid
2024-05-25,NA,Paxlovid
2024-06-01,NA,Paxlovid
2024-06-08,NA,Paxlovid
2024-06-15,NA,Paxlovid
2024-06-22,NA,Paxlovid
2024-06-29,NA,Paxlovid
2024-07-06,NA,Paxlovid
2024-07-13,NA,Paxlovid
2024-07-20,NA,Paxlovid
2024-07-27,NA,Paxlovid
2024-08-03,NA,Paxlovid
2024-08-10,NA,Paxlovid
2024-08-17,NA,Paxlovid
2024-08-24,NA,Paxlovid
2024-08-31,NA,Paxlovid
2024-09-07,NA,Paxlovid
2024-09-14,NA,Paxlovid
2024-09-21,NA,Paxlovid
2024-09-28,NA,Paxlovid
2024-10-05,NA,Paxlovid
2024-10-12,NA,Paxlovid
2024-10-19,NA,Paxlovid
2024-10-26,NA,Paxlovid
2024-11-02,NA,Paxlovid
2024-11-09,NA,Paxlovid
2024-11-16,NA,Paxlovid
2024-11-23,NA,Paxlovid
2024-11-30,NA,Paxlovid
2024-12-07,NA,Paxlovid
2024-12-14,NA,Paxlovid
2024-12-21,NA,Paxlovid
2024-12-28,NA,Paxlovid
2025-01-04,NA,Paxlovid
2025-01-11,NA,Paxlovid
2025-01-18,NA,Paxlovid
2025-01-25,NA,Paxlovid
2025-02-01,NA,Paxlovid
2025-02-08,NA,Paxlovid
2025-02-15,NA,Paxlovid
2025-02-22,NA,Paxlovid
2025-03-01,NA,Paxlovid
2025-03-08,NA,Paxlovid
2025-03-15,NA,Paxlovid
2025-03-22,NA,Paxlovid
2025-03-29,NA,Paxlovid
2025-04-05,NA,Paxlovid
2025-04-12,NA,Paxlovid
2025-04-19,NA,Paxlovid
2025-04-26,NA,Paxlovid
2025-05-03,NA,Paxlovid
2025-05-10,NA,Paxlovid
2025-05-17,NA,Paxlovid
2025-05-24,NA,Paxlovid
2025-05-31,NA,Paxlovid
2025-06-07,NA,Paxlovid
2025-06-14,NA,Paxlovid
2025-06-21,NA,Paxlovid
2025-06-28,NA,Paxlovid
2025-07-05,NA,Paxlovid
2025-07-12,NA,Paxlovid
2025-07-19,NA,Paxlovid
2025-07-26,NA,Paxlovid
2025-08-02,NA,Paxlovid
2025-08-09,NA,Paxlovid
2025-08-16,NA,Paxlovid
2025-08-23,NA,Paxlovid
2025-08-30,NA,Paxlovid
2025-09-06,NA,Paxlovid
2025-09-13,NA,Paxlovid
2025-09-20,NA,Paxlovid
2025-09-27,NA,Paxlovid
2025-10-04,NA,Paxlovid
2025-10-11,NA,Paxlovid
2025-10-18,NA,Paxlovid
2025-10-25,NA,Paxlovid
2025-11-01,NA,Paxlovid
2025-11-08,NA,Paxlovid
2025-11-15,NA,Paxlovid
2025-11-22,NA,Paxlovid
2025-11-29,NA,Paxlovid
2025-12-06,NA,Paxlovid
2025-12-13,NA,Paxlovid
2025-12-20,NA,Paxlovid
2025-12-27,NA,Paxlovid
2026-01-03,NA,Paxlovid
2026-01-10,NA,Paxlovid
2026-01-17,NA,Paxlovid
2026-01-24,NA,Paxlovid
2026-01-31,NA,Paxlovid
2026-02-07,NA,Paxlovid
2026-02-14,NA,Paxlovid
2026-02-21,NA,Paxlovid
2026-02-28,NA,Paxlovid
2026-03-07,NA,Paxlovid
2026-03-14,NA,Paxlovid
2026-03-21,NA,Paxlovid
2026-03-28,NA,Paxlovid
2026-04-04,NA,Paxlovid
2026-04-11,NA,Paxlovid
2026-04-18,NA,Paxlovid
2026-04-25,NA,Paxlovid
2026-05-02,NA,Paxlovid
2026-05-09,NA,Paxlovid
2026-05-16,NA,Paxlovid
2026-05-23,NA,Paxlovid
2026-05-30,NA,Paxlovid
2026-06-06,NA,Paxlovid
2026-06-13,NA,Paxlovid
2026-06-20,NA,Paxlovid
2026-06-27,NA,Paxlovid
2021-12-11,10,Casirivimab
2021-12-18,30,Casirivimab
2021-12-25,NA,Casirivimab
2022-02-05,NA,NA
2022-02-12,NA,NA
2022-02-19,NA,NA
2022-02-26,NA,NA
2022-03-05,NA,NA
2022-03-12,NA,NA
2022-03-19,NA,NA
2022-03-26,NA,NA
2022-04-02,NA,NA
2022-04-09,NA,NA
2022-04-16,NA,NA
2022-04-23,NA,NA
2022-04-30,NA,NA
2022-05-07,NA,NA
2022-05-14,NA,NA
2022-05-21,NA,NA
2022-05-28,NA,NA
2022-06-04,NA,NA
2022-06-11,NA,NA
2022-06-18,NA,NA
2022-06-25,NA,NA
2022-07-02,NA,NA
2022-07-09,NA,NA
2022-07-16,NA,NA
2022-07-23,NA,NA
2022-07-30,NA,NA
2022-08-06,NA,NA
2022-08-13,NA,NA
2022-08-20,NA,NA
2022-08-27,NA,NA
2022-09-03,NA,NA
2022-09-10,NA,NA
2022-09-17,NA,NA
2022-09-24,NA,NA
2022-10-01,NA,NA
2022-10-08,NA,NA
2022-10-15,NA,NA
2022-10-22,NA,NA
2022-10-29,NA,NA
2022-11-05,NA,NA
2022-11-12,NA,NA
2022-11-19,NA,NA
2022-11-26,NA,NA
2022-12-03,NA,NA
2022-12-10,NA,NA
2022-12-17,NA,NA
2022-12-24,10,NA
2022-12-31,10,NA
2023-01-07,10,NA
2023-01-14,NA,NA
2023-01-21,NA,NA
2023-01-28,NA,NA
2023-02-04,20,NA
2023-02-11,20,NA
2023-02-18,10,NA
2023-02-25,20,NA
2023-03-04,10,NA
2023-03-11,NA,NA
2023-03-18,NA,NA
2023-03-25,NA,NA
2023-04-01,NA,NA
2023-04-08,NA,NA
2023-04-15,NA,NA
2023-04-22,NA,NA
2023-04-29,NA,NA
2023-05-06,NA,NA
2023-05-13,NA,NA
2023-05-20,NA,NA
