last_treatment_date,count_redacted,last_treatment_type
2021-12-11,50,All
2021-12-18,500,All
2021-12-25,760,All
2022-01-01,950,All
2022-01-08,750,All
2022-01-15,620,All
2022-01-22,670,All
2022-01-29,770,All
2022-02-05,620,All
2022-02-12,660,All
2022-02-19,630,All
2022-02-26,660,All
2022-03-05,1050,All
2022-03-12,1390,All
2022-03-19,1660,All
2022-03-26,1690,All
2022-04-02,1590,All
2022-04-09,1430,All
2022-04-16,990,All
2022-04-23,610,All
2022-04-30,460,All
2022-05-07,390,All
2022-05-14,310,All
2022-05-21,310,All
2022-05-28,270,All
2022-06-04,560,All
2022-06-11,720,All
2022-06-18,910,All
2022-06-25,1200,All
2022-07-02,1550,All
2022-07-09,1420,All
2022-07-16,1000,All
2022-07-23,730,All
2022-07-30,590,All
2022-08-06,500,All
2022-08-13,420,All
2022-08-20,310,All
2022-08-27,330,All
2022-09-03,400,All
2022-09-10,400,All
2022-09-17,550,All
2022-09-24,740,All
2022-10-01,880,All
2022-10-08,820,All
2022-10-15,690,All
2022-10-22,480,All
2022-10-29,390,All
2022-11-05,260,All
2022-11-12,260,All
2022-11-19,290,All
2022-11-26,350,All
2022-12-03,410,All
2022-12-10,560,All
2022-12-17,770,All
2022-12-24,630,All
2022-12-31,540,All
2023-01-07,240,All
2023-01-14,170,All
2023-01-21,240,All
2023-01-28,300,All
2023-02-04,360,All
2023-02-11,420,All
2023-02-18,470,All
2023-02-25,480,All
2023-03-04,570,All
2023-03-11,640,All
2023-03-18,710,All
2023-03-25,550,All
2023-04-01,440,All
2023-04-08,380,All
2023-04-15,350,All
2023-04-22,290,All
2023-04-29,360,All
2023-05-06,300,All
2023-05-13,210,All
2023-05-20,200,All
2023-05-27,140,All
2023-06-03,160,All
2023-06-10,110,All
2023-06-17,70,All
2023-06-24,20,All
2023-07-01,NA,All
2023-07-08,NA,All
2023-07-15,NA,All
2023-07-22,NA,All
2023-07-29,NA,All
2023-08-05,NA,All
2023-08-12,NA,All
2023-08-19,NA,All
2023-08-26,NA,All
2023-09-02,NA,All
2023-09-09,NA,All
2023-09-16,NA,All
2023-09-23,NA,All
2023-09-30,NA,All
2023-10-07,NA,All
2023-10-14,NA,All
2023-10-21,NA,All
2023-10-28,NA,All
2023-11-04,NA,All
2023-11-11,NA,All
2023-11-18,NA,All
2023-11-25,NA,All
2023-12-02,NA,All
2023-12-09,NA,All
2023-12-16,NA,All
2023-12-23,NA,All
2023-12-30,NA,All
2024-01-06,NA,All
2024-01-13,NA,All
2024-01-20,NA,All
2024-01-27,NA,All
2024-02-03,NA,All
2024-02-10,NA,All
2024-02-17,NA,All
2024-02-24,NA,All
2024-03-02,NA,All
2024-03-09,NA,All
2024-03-16,NA,All
2024-03-23,NA,All
2024-03-30,NA,All
2024-04-06,NA,All
2024-04-13,NA,All
2024-04-20,NA,All
2024-04-27,NA,All
2024-05-04,NA,All
2024-05-11,NA,All
2024-05-18,NA,All
2024-05-25,NA,All
2024-06-01,NA,All
2024-06-08,NA,All
2024-06-15,NA,All
2024-06-22,NA,All
2024-06-29,NA,All
2024-07-06,NA,All
2024-07-13,NA,All
2024-07-20,NA,All
2024-07-27,NA,All
2024-08-03,NA,All
2024-08-10,NA,All
2024-08-17,NA,All
2024-08-24,NA,All
2024-08-31,NA,All
2024-09-07,NA,All
2024-09-14,NA,All
2024-09-21,NA,All
2024-09-28,NA,All
2024-10-05,NA,All
2024-10-12,NA,All
2024-10-19,NA,All
2024-10-26,NA,All
2024-11-02,NA,All
2024-11-09,NA,All
2024-11-16,NA,All
2024-11-23,NA,All
2024-11-30,NA,All
2024-12-07,NA,All
2024-12-14,NA,All
2024-12-21,NA,All
2024-12-28,NA,All
2025-01-04,NA,All
2025-01-11,NA,All
2025-01-18,NA,All
2025-01-25,NA,All
2025-02-01,NA,All
2025-02-08,NA,All
2025-02-15,NA,All
2025-02-22,NA,All
2025-03-01,NA,All
2025-03-08,NA,All
2025-03-15,NA,All
2025-03-22,NA,All
2025-03-29,NA,All
2025-04-05,NA,All
2025-04-12,NA,All
2025-04-19,NA,All
2025-04-26,NA,All
2025-05-03,NA,All
2025-05-10,NA,All
2025-05-17,NA,All
2025-05-24,NA,All
2025-05-31,NA,All
2025-06-07,NA,All
2025-06-14,NA,All
2025-06-21,NA,All
2025-06-28,NA,All
2025-07-05,NA,All
2025-07-12,NA,All
2025-07-19,NA,All
2025-07-26,NA,All
2025-08-02,NA,All
2025-08-09,NA,All
2025-08-16,NA,All
2025-08-23,NA,All
2025-08-30,NA,All
2025-09-06,NA,All
2025-09-13,NA,All
2025-09-20,NA,All
2025-09-27,NA,All
2025-10-04,NA,All
2025-10-11,NA,All
2025-10-18,NA,All
2025-10-25,NA,All
2025-11-01,NA,All
2025-11-08,NA,All
2025-11-15,NA,All
2025-11-22,NA,All
2025-11-29,NA,All
2025-12-06,NA,All
2025-12-13,NA,All
2025-12-20,NA,All
2025-12-27,NA,All
2026-01-03,NA,All
2026-01-10,NA,All
2026-01-17,NA,All
2026-01-24,NA,All
2026-01-31,NA,All
2026-02-07,NA,All
2026-02-14,NA,All
2026-02-21,NA,All
2026-02-28,NA,All
2026-03-07,NA,All
2026-03-14,NA,All
2026-03-21,NA,All
2026-03-28,NA,All
2026-04-04,NA,All
2026-04-11,NA,All
2026-04-18,NA,All
2026-04-25,NA,All
2026-05-02,NA,All
2026-05-09,NA,All
2026-05-16,NA,All
2026-05-23,NA,All
2026-05-30,NA,All
2026-06-06,NA,All
2026-06-13,NA,All
2026-06-20,NA,All
2026-06-27,NA,All
2021-12-18,150,Sotrovimab
2021-12-25,320,Sotrovimab
2022-01-01,480,Sotrovimab
2022-01-08,430,Sotrovimab
2022-01-15,360,Sotrovimab
2022-01-22,440,Sotrovimab
2022-01-29,500,Sotrovimab
2022-02-05,450,Sotrovimab
2022-02-12,400,Sotrovimab
2022-02-19,400,Sotrovimab
2022-02-26,370,Sotrovimab
2022-03-05,600,Sotrovimab
2022-03-12,720,Sotrovimab
2022-03-19,750,Sotrovimab
2022-03-26,800,Sotrovimab
2022-04-02,750,Sotrovimab
2022-04-09,630,Sotrovimab
2022-04-16,480,Sotrovimab
2022-04-23,290,Sotrovimab
2022-04-30,220,Sotrovimab
2022-05-07,200,Sotrovimab
2022-05-14,140,Sotrovimab
2022-05-21,140,Sotrovimab
2022-05-28,110,Sotrovimab
2022-06-04,230,Sotrovimab
2022-06-11,270,Sotrovimab
2022-06-18,360,Sotrovimab
2022-06-25,450,Sotrovimab
2022-07-02,560,Sotrovimab
2022-07-09,540,Sotrovimab
2022-07-16,380,Sotrovimab
2022-07-23,290,Sotrovimab
2022-07-30,250,Sotrovimab
2022-08-06,210,Sotrovimab
2022-08-13,180,Sotrovimab
2022-08-20,140,Sotrovimab
2022-08-27,120,Sotrovimab
2022-09-03,160,Sotrovimab
2022-09-10,180,Sotrovimab
2022-09-17,190,Sotrovimab
2022-09-24,240,Sotrovimab
2022-10-01,300,Sotrovimab
2022-10-08,260,Sotrovimab
2022-10-15,230,Sotrovimab
2022-10-22,140,Sotrovimab
2022-10-29,150,Sotrovimab
2022-11-05,90,Sotrovimab
2022-11-12,90,Sotrovimab
2022-11-19,80,Sotrovimab
2022-11-26,70,Sotrovimab
2022-12-03,50,Sotrovimab
2022-12-10,50,Sotrovimab
2022-12-17,70,Sotrovimab
2022-12-24,50,Sotrovimab
2022-12-31,40,Sotrovimab
2023-01-07,10,Sotrovimab
2023-01-14,20,Sotrovimab
2023-01-21,20,Sotrovimab
2023-01-28,20,Sotrovimab
2023-02-04,20,Sotrovimab
2023-02-11,30,Sotrovimab
2023-02-18,20,Sotrovimab
2023-02-25,30,Sotrovimab
2023-03-04,40,Sotrovimab
2023-03-11,50,Sotrovimab
2023-03-18,50,Sotrovimab
2023-03-25,60,Sotrovimab
2023-04-01,60,Sotrovimab
2023-04-08,60,Sotrovimab
2023-04-15,40,Sotrovimab
2023-04-22,50,Sotrovimab
2023-04-29,40,Sotrovimab
2023-05-06,40,Sotrovimab
2023-05-13,40,Sotrovimab
2023-05-20,20,Sotrovimab
2023-05-27,20,Sotrovimab
2023-06-03,20,Sotrovimab
2023-06-10,20,Sotrovimab
2023-06-17,10,Sotrovimab
2023-06-24,NA,Sotrovimab
2023-07-01,NA,Sotrovimab
2023-07-08,NA,Sotrovimab
2023-07-15,NA,Sotrovimab
2023-07-22,NA,Sotrovimab
2023-07-29,NA,Sotrovimab
2023-08-05,NA,Sotrovimab
2023-08-12,NA,Sotrovimab
2023-08-19,NA,Sotrovimab
2023-08-26,NA,Sotrovimab
2023-09-02,NA,Sotrovimab
2023-09-09,NA,Sotrovimab
2023-09-16,NA,Sotrovimab
2023-09-23,NA,Sotrovimab
2023-09-30,NA,Sotrovimab
2023-10-07,NA,Sotrovimab
2023-10-14,NA,Sotrovimab
2021-12-11,30,Molnupiravir
2021-12-18,320,Molnupiravir
2021-12-25,430,Molnupiravir
2022-01-01,470,Molnupiravir
2022-01-08,330,Molnupiravir
2022-01-15,260,Molnupiravir
2022-01-22,230,Molnupiravir
2022-01-29,260,Molnupiravir
2022-02-05,140,Molnupiravir
2022-02-12,100,Molnupiravir
2022-02-19,80,Molnupiravir
2022-02-26,100,Molnupiravir
2022-03-05,140,Molnupiravir
2022-03-12,220,Molnupiravir
2022-03-19,280,Molnupiravir
2022-03-26,270,Molnupiravir
2022-04-02,240,Molnupiravir
2022-04-09,260,Molnupiravir
2022-04-16,160,Molnupiravir
2022-04-23,80,Molnupiravir
2022-04-30,50,Molnupiravir
2022-05-07,50,Molnupiravir
2022-05-14,30,Molnupiravir
2022-05-21,30,Molnupiravir
2022-05-28,40,Molnupiravir
2022-06-04,80,Molnupiravir
2022-06-11,130,Molnupiravir
2022-06-18,120,Molnupiravir
2022-06-25,170,Molnupiravir
2022-07-02,250,Molnupiravir
2022-07-09,210,Molnupiravir
2022-07-16,150,Molnupiravir
2022-07-23,110,Molnupiravir
2022-07-30,70,Molnupiravir
2022-08-06,60,Molnupiravir
2022-08-13,60,Molnupiravir
2022-08-20,40,Molnupiravir
2022-08-27,60,Molnupiravir
2022-09-03,50,Molnupiravir
2022-09-10,50,Molnupiravir
2022-09-17,110,Molnupiravir
2022-09-24,160,Molnupiravir
2022-10-01,200,Molnupiravir
2022-10-08,190,Molnupiravir
2022-10-15,140,Molnupiravir
2022-10-22,120,Molnupiravir
2022-10-29,80,Molnupiravir
2022-11-05,60,Molnupiravir
2022-11-12,60,Molnupiravir
2022-11-19,80,Molnupiravir
2022-11-26,110,Molnupiravir
2022-12-03,140,Molnupiravir
2022-12-10,210,Molnupiravir
2022-12-17,270,Molnupiravir
2022-12-24,240,Molnupiravir
2022-12-31,210,Molnupiravir
2023-01-07,110,Molnupiravir
2023-01-14,60,Molnupiravir
2023-01-21,100,Molnupiravir
