tb,group,n,variable
-2,imd,60,1 most deprived
-1,imd,20,1 most deprived
0,imd,360,1 most deprived
1,imd,1280,1 most deprived
2,imd,1190,1 most deprived
3,imd,700,1 most deprived
4,imd,310,1 most deprived
5,imd,120,1 most deprived
6,imd,500,1 most deprived
-2,ageband,20,12-29
0,ageband,160,12-29
1,ageband,580,12-29
2,ageband,640,12-29
3,ageband,370,12-29
4,ageband,150,12-29
5,ageband,50,12-29
6,ageband,220,12-29
-2,imd,100,2
-1,imd,30,2
0,imd,560,2
1,imd,1950,2
2,imd,1870,2
3,imd,1030,2
4,imd,440,2
5,imd,130,2
6,imd,580,2
-2,imd,140,3
-1,imd,40,3
0,imd,920,3
1,imd,2850,3
2,imd,2530,3
3,imd,1380,3
4,imd,560,3
5,imd,220,3
6,imd,680,3
-2,ageband,20,30-39
-1,ageband,20,30-39
0,ageband,330,30-39
1,ageband,1190,30-39
2,ageband,1130,30-39
3,ageband,600,30-39
4,ageband,290,30-39
5,ageband,90,30-39
6,ageband,470,30-39
-2,imd,160,4
-1,imd,50,4
0,imd,870,4
1,imd,2980,4
2,imd,2570,4
3,imd,1370,4
4,imd,570,4
5,imd,180,4
6,imd,700,4
-2,ageband,50,40-49
-1,ageband,30,40-49
0,ageband,550,40-49
1,ageband,1890,40-49
2,ageband,1700,40-49
3,ageband,1020,40-49
4,ageband,410,40-49
5,ageband,120,40-49
6,ageband,670,40-49
-2,imd,130,5 least deprived
-1,imd,40,5 least deprived
0,imd,980,5 least deprived
1,imd,3170,5 least deprived
2,imd,2620,5 least deprived
3,imd,1410,5 least deprived
4,imd,600,5 least deprived
5,imd,200,5 least deprived
6,imd,710,5 least deprived
-2,ageband,130,50-59
-1,ageband,30,50-59
0,ageband,850,50-59
1,ageband,2750,50-59
2,ageband,2490,50-59
3,ageband,1360,50-59
4,ageband,540,50-59
5,ageband,210,50-59
6,ageband,770,50-59
-2,ageband,130,60-69
-1,ageband,40,60-69
0,ageband,920,60-69
1,ageband,2790,60-69
2,ageband,2430,60-69
3,ageband,1240,60-69
