treatment_date,cum_count_redacted,treatment_type
2022-08-26,30790,All
2022-08-27,30820,All
2022-08-28,30850,All
2022-08-29,30880,All
2022-08-30,30930,All
2022-08-31,30990,All
2022-09-01,31060,All
2022-09-02,31120,All
2022-09-03,31150,All
2022-09-04,31180,All
2022-09-05,31250,All
2022-09-06,31300,All
2022-09-07,31380,All
2022-09-08,31440,All
2022-09-09,31510,All
2022-09-10,31540,All
2022-09-11,31550,All
2022-09-12,31630,All
2022-09-13,31690,All
2022-09-14,31760,All
2022-09-15,31830,All
2022-09-16,31900,All
2022-09-17,31940,All
2022-09-18,31980,All
2022-09-19,32040,All
2022-09-20,32110,All
2022-09-21,32210,All
2022-09-22,32330,All
2022-09-23,32440,All
2022-09-24,32490,All
2022-09-25,32530,All
2022-09-26,32660,All
2022-09-27,32780,All
2022-09-28,32900,All
2022-09-29,33020,All
2022-09-30,33160,All
2022-10-01,33220,All
2022-10-02,33280,All
2022-10-03,33430,All
2022-10-04,33590,All
2022-10-05,33750,All
2022-10-06,33870,All
2022-10-07,34040,All
2022-10-08,34120,All
2022-10-09,34200,All
2022-10-10,34360,All
2022-10-11,34460,All
2022-10-12,34600,All
2022-10-13,34700,All
2022-10-14,34830,All
2022-10-15,34920,All
2022-10-16,34960,All
2022-10-17,35090,All
2022-10-18,35170,All
2022-10-19,35300,All
2022-10-20,35420,All
2022-10-21,35510,All
2022-10-22,35550,All
2022-10-23,35590,All
2022-10-24,35690,All
2022-10-25,35770,All
2022-10-26,35850,All
2022-10-27,35920,All
2022-10-28,35980,All
2022-10-29,36040,All
2022-10-30,36060,All
2022-10-31,36130,All
2022-11-01,36190,All
2022-11-02,36240,All
2022-11-03,36290,All
2022-11-04,36360,All
2022-11-05,36390,All
2022-11-06,36400,All
2022-11-07,36450,All
2022-11-08,36500,All
2022-11-09,36530,All
2022-11-10,36560,All
2022-11-11,36610,All
2022-11-12,36630,All
2022-11-13,36650,All
2022-11-14,36700,All
2022-11-15,36730,All
2022-11-16,36770,All
2022-11-17,36810,All
2022-11-18,36850,All
2022-11-19,36880,All
2022-11-20,36900,All
2022-11-21,36960,All
2022-11-22,36990,All
2022-11-23,37040,All
2022-11-24,37080,All
2022-11-25,37130,All
2022-11-26,37150,All
2022-11-27,37180,All
2022-11-28,37240,All
2022-11-29,37310,All
2022-11-30,37360,All
2022-12-01,37420,All
2022-12-02,37460,All
2022-12-03,37490,All
2022-12-04,37510,All
2022-12-05,37580,All
2022-12-06,37640,All
2022-12-07,37720,All
2022-12-08,37790,All
2022-12-09,37850,All
2022-12-10,37890,All
2022-12-11,37920,All
2022-12-12,38000,All
2022-12-13,38070,All
2022-12-14,38170,All
2022-12-15,38260,All
2022-12-16,38380,All
2022-12-17,38430,All
2022-12-18,38480,All
2022-12-19,38610,All
2022-12-20,38750,All
2022-12-21,38860,All
2022-12-22,38980,All
2022-12-23,39120,All
2022-12-24,39220,All
2022-12-25,39230,All
2022-12-26,39310,All
2022-12-27,39380,All
2022-12-28,39480,All
2022-12-29,39600,All
2022-12-30,39720,All
2022-12-31,39810,All
2023-01-01,39840,All
2023-01-02,39920,All
2023-01-03,40010,All
2023-01-04,40090,All
2023-01-05,40170,All
2023-01-06,40220,All
2023-01-07,40250,All
2023-01-08,40280,All
2023-01-09,40320,All
2023-01-10,40360,All
2023-01-11,40390,All
2023-01-12,40420,All
2023-01-13,40440,All
2023-01-14,40460,All
2023-01-15,40470,All
2023-01-16,40500,All
2023-01-17,40530,All
2023-01-18,40540,All
2023-01-19,40580,All
2023-01-20,40600,All
2023-01-21,40620,All
2023-01-22,40630,All
2023-01-23,40660,All
2023-01-24,40690,All
2023-01-25,40740,All
2023-01-26,40770,All
2023-01-27,40810,All
2023-01-28,40830,All
2023-01-29,40850,All
2023-01-30,40900,All
2023-01-31,40950,All
2023-02-01,41000,All
2023-02-02,41050,All
2023-02-03,41090,All
2023-02-04,41130,All
2023-02-05,41150,All
2023-02-06,41200,All
2023-02-07,41240,All
2023-02-08,41280,All
2023-02-09,41350,All
2023-02-10,41420,All
2023-02-11,41460,All
2023-02-12,41490,All
2023-02-13,41540,All
2023-02-14,41600,All
2023-02-15,41680,All
2023-02-16,41750,All
2023-02-17,41820,All
2023-02-18,41860,All
2023-02-19,41900,All
2023-02-20,42000,All
2023-02-21,42070,All
2023-02-22,42130,All
2023-02-23,42190,All
2023-02-24,42250,All
2023-02-25,42300,All
2023-02-26,42320,All
2023-02-27,42400,All
2023-02-28,42460,All
2023-03-01,42520,All
2023-03-02,42600,All
2023-03-03,42680,All
2023-03-04,42720,All
2023-03-05,42750,All
2023-03-06,42860,All
2023-03-07,42950,All
2023-03-08,43040,All
2023-03-09,43120,All
2023-03-10,43200,All
2023-03-11,43260,All
2023-03-12,43300,All
2023-03-13,43410,All
2023-03-14,43520,All
2023-03-15,43610,All
2023-03-16,43700,All
2023-03-17,43790,All
2023-03-18,43860,All
2023-03-19,43900,All
2023-03-20,44000,All
2023-03-21,44090,All
2023-03-22,44210,All
2023-03-23,44310,All
2023-03-24,44430,All
2023-03-25,44490,All
2023-03-26,44530,All
2023-03-27,44620,All
2023-03-28,44700,All
2023-03-29,44790,All
2023-03-30,44850,All
2023-03-31,44930,All
2023-04-01,44980,All
2023-04-02,45020,All
2023-04-03,45100,All
2023-04-04,45160,All
2023-04-05,45220,All
2023-04-06,45290,All
2023-04-07,45330,All
2023-04-08,45370,All
2023-04-09,45400,All
2023-04-10,45450,All
2023-04-11,45500,All
2023-04-12,45550,All
2023-04-13,45620,All
2023-04-14,45680,All
2023-04-15,45710,All
2023-04-16,45740,All
2023-04-17,45790,All
2023-04-18,45840,All
2023-04-19,45880,All
2023-04-20,45940,All
2023-04-21,45990,All
2023-04-22,46010,All
2023-04-23,46030,All
2023-04-24,46070,All
2023-04-25,46110,All
2023-04-26,46150,All
2023-04-27,46180,All
2023-04-28,46240,All
2023-04-29,46260,All
2023-04-30,46290,All
2023-05-01,46330,All
2023-05-02,46390,All
2023-05-03,46450,All
2023-05-04,46510,All
2023-05-05,46560,All
2023-05-06,46610,All
2023-05-07,46630,All
2023-05-08,46660,All
2023-05-09,46730,All
2023-05-10,46770,All
2023-05-11,46810,All
2023-05-12,46840,All
2023-05-13,46860,All
2023-05-14,46870,All
2023-05-15,46900,All
2023-05-16,46930,All
2023-05-17,46960,All
2023-05-18,46990,All
2023-05-19,47030,All
2023-05-20,47050,All
2023-05-21,47060,All
2023-05-22,47090,All
2023-05-23,47120,All
2023-05-24,47150,All
2023-05-25,47180,All
2023-05-26,47210,All
2023-05-27,47230,All
2023-05-28,47240,All
2023-05-29,47250,All
2023-05-30,47270,All
2023-05-31,47290,All
2023-06-01,47310,All
2023-06-02,47340,All
2023-06-03,47350,All
2023-06-04,47360,All
2023-06-05,47390,All
2023-06-06,47410,All
2023-06-07,47430,All
2023-06-08,47470,All
2023-06-09,47480,All
2023-06-10,47500,All
2023-06-11,47500,All
2023-06-12,47520,All
2023-06-13,47540,All
2023-06-14,47560,All
2023-06-15,47570,All
2023-06-16,47580,All
2023-06-17,47590,All
2023-06-18,47590,All
2023-06-19,47600,All
2023-06-20,47600,All
2023-06-21,47620,All
2023-06-22,47630,All
2023-06-23,47640,All
2023-06-24,47640,All
2023-06-25,47640,All
2023-06-26,47650,All
2023-06-27,47650,All
2023-06-28,47650,All
2023-06-29,47650,All
2023-06-30,47650,All
2023-07-01,47660,All
2023-07-02,47660,All
2023-07-03,47660,All
2023-07-04,47660,All
2023-07-05,47660,All
2023-07-06,47660,All
2023-07-07,47660,All
2023-07-08,47660,All
2023-07-09,47660,All
2023-07-10,47660,All
2023-07-11,47660,All
2023-07-12,47660,All
2023-07-13,47660,All
2023-07-14,47660,All
2023-07-15,47660,All
2023-07-16,47660,All
2023-07-17,47660,All
2023-07-18,47660,All
2023-07-19,47660,All
2023-07-20,47660,All
2023-07-21,47660,All
2023-07-22,47660,All
2023-07-23,47660,All
2023-07-24,47660,All
2023-07-25,47660,All
2023-07-26,47660,All
2023-07-27,47660,All
2023-07-28,47660,All
2023-07-29,47660,All
2023-07-30,47660,All
2023-07-31,47660,All
2023-08-01,47660,All
2023-08-02,47660,All
2023-08-03,47660,All
2023-08-04,47660,All
2023-08-05,47660,All
2023-08-06,47660,All
2023-08-07,47660,All
2023-08-08,47660,All
2023-08-09,47660,All
2023-08-10,47660,All
2023-08-11,47660,All
2023-08-12,47660,All
2023-08-13,47660,All
2023-08-14,47660,All
2023-08-15,47660,All
2023-08-16,47660,All
2023-08-17,47660,All
2023-08-18,47660,All
2023-08-19,47660,All
2023-08-20,47660,All
2023-08-21,47660,All
2023-08-22,47660,All
2023-08-23,47660,All
2023-08-24,47660,All
2023-08-25,47660,All
2023-08-26,47660,All
2023-08-27,47660,All
2023-08-28,47660,All
2023-08-29,47660,All
2023-08-30,47660,All
2023-08-31,47660,All
2023-09-01,47660,All
2023-09-02,47660,All
2023-09-03,47660,All
2023-09-04,47660,All
2023-09-05,47660,All
2023-09-06,47660,All
2023-09-07,47660,All
2023-09-08,47660,All
2023-09-09,47660,All
2023-09-10,47660,All
2023-09-11,47660,All
2023-09-12,47660,All
2023-09-13,47660,All
2023-09-14,47660,All
2023-09-15,47660,All
2023-09-16,47660,All
2023-09-17,47660,All
2023-09-18,47660,All
2023-09-19,47660,All
2023-09-20,47660,All
2023-09-21,47660,All
2023-09-22,47660,All
2023-09-23,47660,All
2023-09-24,47660,All
2023-09-25,47660,All
2023-09-26,47660,All
2023-09-27,47660,All
2023-09-28,47660,All
2023-09-29,47660,All
2023-09-30,47660,All
2023-10-01,47660,All
2023-10-02,47660,All
2023-10-03,47660,All
2023-10-04,47660,All
2023-10-05,47660,All
2023-10-06,47660,All
2023-10-07,47660,All
2023-10-08,47660,All
2023-10-09,47660,All
2023-10-10,47660,All
2023-10-11,47660,All
2023-10-12,47660,All
2023-10-13,47660,All
2023-10-14,47660,All
2023-10-15,47660,All
2023-10-16,47660,All
2023-10-17,47660,All
2023-10-18,47660,All
2023-10-19,47660,All
2023-10-20,47660,All
2023-10-21,47660,All
2023-10-22,47660,All
2023-10-23,47660,All
2023-10-24,47660,All
2023-10-25,47660,All
2023-10-26,47660,All
2023-10-27,47660,All
2023-10-28,47660,All
2023-10-29,47660,All
2023-10-30,47660,All
2023-10-31,47660,All
2023-11-01,47660,All
2023-11-02,47660,All
2023-11-03,47660,All
2023-11-04,47660,All
2023-11-05,47660,All
2023-11-06,47660,All
2023-11-07,47660,All
2023-11-08,47660,All
2023-11-09,47660,All
2023-11-10,47660,All
2023-11-11,47660,All
2023-11-12,47660,All
2023-11-13,47660,All
2023-11-14,47660,All
2023-11-15,47660,All
2023-11-16,47660,All
2023-11-17,47660,All
2023-11-18,47660,All
2023-11-19,47660,All
2023-11-20,47660,All
2023-11-21,47660,All
2023-11-22,47660,All
2023-11-23,47660,All
2023-11-24,47660,All
2023-11-25,47660,All
2023-11-26,47660,All
2023-11-27,47660,All
2023-11-28,47660,All
2023-11-29,47660,All
2023-11-30,47660,All
2023-12-01,47660,All
2023-12-02,47660,All
2023-12-03,47660,All
2023-12-04,47660,All
2023-12-05,47660,All
2023-12-06,47660,All
2023-12-07,47660,All
2023-12-08,47660,All
2023-12-09,47660,All
2023-12-10,47660,All
2023-12-11,47660,All
2023-12-12,47660,All
2023-12-13,47660,All
2023-12-14,47660,All
2023-12-15,47660,All
2023-12-16,47660,All
2023-12-17,47660,All
2023-12-18,47660,All
2023-12-19,47660,All
2023-12-20,47660,All
2023-12-21,47660,All
2023-12-22,47660,All
2023-12-23,47660,All
2023-12-24,47660,All
2023-12-25,47660,All
2023-12-26,47660,All
2023-12-27,47660,All
2023-12-28,47660,All
2023-12-29,47660,All
2023-12-30,47660,All
2023-12-31,47660,All
2021-12-16,NA,Casirivimab
2021-12-17,10,Casirivimab
2021-12-18,30,Casirivimab
2021-12-19,30,Casirivimab
2021-12-20,40,Casirivimab
2021-12-21,40,Casirivimab
2021-12-22,40,Casirivimab
2021-12-23,40,Casirivimab
2021-12-24,40,Casirivimab
2021-12-25,50,Casirivimab
2021-12-26,50,Casirivimab
2021-12-27,50,Casirivimab
2021-12-28,50,Casirivimab
2021-12-29,50,Casirivimab
2021-12-16,10,Molnupiravir
2021-12-17,40,Molnupiravir
2021-12-18,70,Molnupiravir
2021-12-19,100,Molnupiravir
2021-12-20,140,Molnupiravir
2021-12-21,180,Molnupiravir
2021-12-22,220,Molnupiravir
2021-12-23,280,Molnupiravir
2021-12-24,370,Molnupiravir
2021-12-25,380,Molnupiravir
2021-12-26,420,Molnupiravir
2021-12-27,470,Molnupiravir
2021-12-28,510,Molnupiravir
2021-12-29,600,Molnupiravir
2021-12-30,670,Molnupiravir
2021-12-31,820,Molnupiravir
2022-01-01,880,Molnupiravir
2022-01-02,940,Molnupiravir
2022-01-03,1010,Molnupiravir
2022-01-04,1070,Molnupiravir
2022-01-05,1140,Molnupiravir
2022-01-06,1220,Molnupiravir
2022-01-07,1300,Molnupiravir
2022-01-08,1370,Molnupiravir
2022-01-09,1390,Molnupiravir
2022-01-10,1450,Molnupiravir
2022-01-11,1500,Molnupiravir
2022-01-12,1550,Molnupiravir
2022-01-13,1600,Molnupiravir
2022-01-14,1640,Molnupiravir
2022-01-15,1660,Molnupiravir
2022-01-16,1700,Molnupiravir
2022-01-17,1740,Molnupiravir
2022-01-18,1770,Molnupiravir
2022-01-19,1810,Molnupiravir
2022-01-20,1850,Molnupiravir
2022-01-21,1910,Molnupiravir
2022-01-22,1940,Molnupiravir
2022-01-23,1950,Molnupiravir
2022-01-24,2000,Molnupiravir
2022-01-25,2030,Molnupiravir
2022-01-26,2070,Molnupiravir
2022-01-27,2110,Molnupiravir
2022-01-28,2150,Molnupiravir
2022-01-29,2190,Molnupiravir
2022-01-30,2210,Molnupiravir
2022-01-31,2270,Molnupiravir
2022-02-01,2300,Molnupiravir
2022-02-02,2340,Molnupiravir
2022-02-03,2380,Molnupiravir
2022-02-04,2420,Molnupiravir
2022-02-05,2460,Molnupiravir
2022-02-06,2470,Molnupiravir
2022-02-07,2500,Molnupiravir
2022-02-08,2520,Molnupiravir
2022-02-09,2540,Molnupiravir
2022-02-10,2560,Molnupiravir
2022-02-11,2570,Molnupiravir
2022-02-12,2590,Molnupiravir
2022-02-13,2600,Molnupiravir
2022-02-14,2610,Molnupiravir
2022-02-15,2620,Molnupiravir
2022-02-16,2640,Molnupiravir
2022-02-17,2660,Molnupiravir
2022-02-18,2680,Molnupiravir
2022-02-19,2700,Molnupiravir
2022-02-20,2700,Molnupiravir
2022-02-21,2710,Molnupiravir
2022-02-22,2730,Molnupiravir
2022-02-23,2740,Molnupiravir
2022-02-24,2750,Molnupiravir
2022-02-25,2760,Molnupiravir
2022-02-26,2760,Molnupiravir
2022-02-27,2770,Molnupiravir
2022-02-28,2780,Molnupiravir
2022-03-01,2800,Molnupiravir
2022-03-02,2810,Molnupiravir
2022-03-03,2830,Molnupiravir
2022-03-04,2860,Molnupiravir
2022-03-05,2880,Molnupiravir
2022-03-06,2890,Molnupiravir
2022-03-07,2900,Molnupiravir
2022-03-08,2920,Molnupiravir
2022-03-09,2940,Molnupiravir
2022-03-10,2970,Molnupiravir
2022-03-11,3000,Molnupiravir
2022-03-12,3040,Molnupiravir
2022-03-13,3050,Molnupiravir
2022-03-14,3080,Molnupiravir
2022-03-15,3110,Molnupiravir
2022-03-16,3150,Molnupiravir
2022-03-17,3180,Molnupiravir
2022-03-18,3240,Molnupiravir
2022-03-19,3270,Molnupiravir
2022-03-20,3300,Molnupiravir
2022-03-21,3330,Molnupiravir
2022-03-22,3370,Molnupiravir
2022-03-23,3410,Molnupiravir
2022-03-24,3460,Molnupiravir
2022-03-25,3530,Molnupiravir
2022-03-26,3560,Molnupiravir
2022-03-27,3580,Molnupiravir
2022-03-28,3620,Molnupiravir
2022-03-29,3650,Molnupiravir
2022-03-30,3700,Molnupiravir
2022-03-31,3760,Molnupiravir
2022-04-01,3810,Molnupiravir
2022-04-02,3830,Molnupiravir
2022-04-03,3850,Molnupiravir
2022-04-04,3890,Molnupiravir
2022-04-05,3940,Molnupiravir
2022-04-06,3980,Molnupiravir
2022-04-07,4010,Molnupiravir
2022-04-08,4060,Molnupiravir
2022-04-09,4090,Molnupiravir
2022-04-10,4120,Molnupiravir
2022-04-11,4160,Molnupiravir
2022-04-12,4200,Molnupiravir
2022-04-13,4250,Molnupiravir
2022-04-14,4290,Molnupiravir
2022-04-15,4330,Molnupiravir
2022-04-16,4350,Molnupiravir
2022-04-17,4360,Molnupiravir
2022-04-18,4380,Molnupiravir
2022-04-19,4410,Molnupiravir
2022-04-20,4440,Molnupiravir
2022-04-21,4470,Molnupiravir
2022-04-22,4490,Molnupiravir
2022-04-23,4500,Molnupiravir
2022-04-24,4510,Molnupiravir
2022-04-25,4520,Molnupiravir
2022-04-26,4530,Molnupiravir
2022-04-27,4540,Molnupiravir
2022-04-28,4550,Molnupiravir
2022-04-29,4570,Molnupiravir
2022-04-30,4580,Molnupiravir
2022-05-01,4590,Molnupiravir
2022-05-02,4590,Molnupiravir
2022-05-03,4590,Molnupiravir
2022-05-04,4600,Molnupiravir
2022-05-05,4610,Molnupiravir
2022-05-06,4620,Molnupiravir
2022-05-07,4630,Molnupiravir
2022-05-08,4640,Molnupiravir
2022-05-09,4640,Molnupiravir
2022-05-10,4650,Molnupiravir
2022-05-11,4660,Molnupiravir
2022-05-12,4660,Molnupiravir
2022-05-13,4670,Molnupiravir
2022-05-14,4670,Molnupiravir
2022-05-15,4680,Molnupiravir
2022-05-16,4680,Molnupiravir
2022-05-17,4690,Molnupiravir
2022-05-18,4690,Molnupiravir
2022-05-19,4700,Molnupiravir
2022-05-20,4700,Molnupiravir
2022-05-21,4710,Molnupiravir
2022-05-22,4710,Molnupiravir
2022-05-23,4710,Molnupiravir
2022-05-24,4720,Molnupiravir
2022-05-25,4720,Molnupiravir
2022-05-26,4720,Molnupiravir
2022-05-27,4730,Molnupiravir
2022-05-28,4730,Molnupiravir
2022-05-29,4730,Molnupiravir
2022-05-30,4740,Molnupiravir
2022-05-31,4740,Molnupiravir
2022-06-01,4750,Molnupiravir
2022-06-02,4760,Molnupiravir
2022-06-03,4770,Molnupiravir
2022-06-04,4770,Molnupiravir
2022-06-05,4780,Molnupiravir
2022-06-06,4780,Molnupiravir
2022-06-07,4800,Molnupiravir
2022-06-08,4810,Molnupiravir
2022-06-09,4820,Molnupiravir
2022-06-10,4840,Molnupiravir
2022-06-11,4860,Molnupiravir
2022-06-12,4860,Molnupiravir
2022-06-13,4880,Molnupiravir
2022-06-14,4900,Molnupiravir
2022-06-15,4920,Molnupiravir
2022-06-16,4950,Molnupiravir
2022-06-17,4970,Molnupiravir
2022-06-18,4990,Molnupiravir
2022-06-19,5000,Molnupiravir
2022-06-20,5010,Molnupiravir
2022-06-21,5030,Molnupiravir
2022-06-22,5050,Molnupiravir
2022-06-23,5060,Molnupiravir
2022-06-24,5090,Molnupiravir
2022-06-25,5100,Molnupiravir
2022-06-26,5120,Molnupiravir
2022-06-27,5140,Molnupiravir
2022-06-28,5170,Molnupiravir
2022-06-29,5200,Molnupiravir
2022-06-30,5220,Molnupiravir
2022-07-01,5260,Molnupiravir
2022-07-02,5290,Molnupiravir
2022-07-03,5320,Molnupiravir
2022-07-04,5350,Molnupiravir
2022-07-05,5380,Molnupiravir
2022-07-06,5420,Molnupiravir
2022-07-07,5450,Molnupiravir
2022-07-08,5510,Molnupiravir
2022-07-09,5540,Molnupiravir
2022-07-10,5560,Molnupiravir
2022-07-11,5590,Molnupiravir
2022-07-12,5630,Molnupiravir
2022-07-13,5670,Molnupiravir
2022-07-14,5700,Molnupiravir
2022-07-15,5730,Molnupiravir
2022-07-16,5760,Molnupiravir
2022-07-17,5770,Molnupiravir
2022-07-18,5810,Molnupiravir
2022-07-19,5830,Molnupiravir
2022-07-20,5850,Molnupiravir
2022-07-21,5870,Molnupiravir
2022-07-22,5890,Molnupiravir
2022-07-23,5900,Molnupiravir
2022-07-24,5900,Molnupiravir
2022-07-25,5930,Molnupiravir
2022-07-26,5950,Molnupiravir
2022-07-27,5960,Molnupiravir
2022-07-28,5980,Molnupiravir
2022-07-29,6000,Molnupiravir
2022-07-30,6000,Molnupiravir
2022-07-31,6010,Molnupiravir
2022-08-01,6030,Molnupiravir
2022-08-02,6040,Molnupiravir
2022-08-03,6050,Molnupiravir
2022-08-04,6060,Molnupiravir
2022-08-05,6070,Molnupiravir
2022-08-06,6080,Molnupiravir
2022-08-07,6080,Molnupiravir
2022-08-08,6100,Molnupiravir
2022-08-09,6110,Molnupiravir
2022-08-10,6120,Molnupiravir
2022-08-11,6120,Molnupiravir
2022-08-12,6140,Molnupiravir
2022-08-13,6140,Molnupiravir
2022-08-14,6140,Molnupiravir
2022-08-15,6150,Molnupiravir
2022-08-16,6160,Molnupiravir
2022-08-17,6180,Molnupiravir
2022-08-18,6180,Molnupiravir
2022-08-19,6200,Molnupiravir
2022-08-20,6200,Molnupiravir
2022-08-21,6200,Molnupiravir
2022-08-22,6210,Molnupiravir
2022-08-23,6220,Molnupiravir
2022-08-24,6220,Molnupiravir
2022-08-25,6230,Molnupiravir
2022-08-26,6240,Molnupiravir
2022-08-27,6240,Molnupiravir
2022-08-28,6250,Molnupiravir
2022-08-29,6260,Molnupiravir
2022-08-30,6260,Molnupiravir
2022-08-31,6280,Molnupiravir
2022-09-01,6290,Molnupiravir
2022-09-02,6300,Molnupiravir
2022-09-03,6300,Molnupiravir
2022-09-04,6300,Molnupiravir
2022-09-05,6310,Molnupiravir
2022-09-06,6320,Molnupiravir
2022-09-07,6340,Molnupiravir
2022-09-08,6350,Molnupiravir
