treatment_date,cum_count_redacted,treatment_type
2021-12-16,10,All
2021-12-17,50,All
2021-12-18,100,All
2021-12-19,130,All
2021-12-20,190,All
2021-12-21,260,All
2021-12-22,330,All
2021-12-23,420,All
2021-12-24,570,All
2021-12-25,600,All
2021-12-26,660,All
2021-12-27,740,All
2021-12-28,830,All
2021-12-29,970,All
2021-12-30,1120,All
2021-12-31,1370,All
2022-01-01,1460,All
2022-01-02,1580,All
2022-01-03,1710,All
2022-01-04,1870,All
2022-01-05,2020,All
2022-01-06,2180,All
2022-01-07,2350,All
2022-01-08,2470,All
2022-01-09,2530,All
2022-01-10,2660,All
2022-01-11,2770,All
2022-01-12,2880,All
2022-01-13,3020,All
2022-01-14,3130,All
2022-01-15,3200,All
2022-01-16,3260,All
2022-01-17,3350,All
2022-01-18,3440,All
2022-01-19,3540,All
2022-01-20,3650,All
2022-01-21,3780,All
2022-01-22,3880,All
2022-01-23,3940,All
2022-01-24,4040,All
2022-01-25,4140,All
2022-01-26,4270,All
2022-01-27,4380,All
2022-01-28,4490,All
2022-01-29,4600,All
2022-01-30,4650,All
2022-01-31,4800,All
2022-02-01,4900,All
2022-02-02,5020,All
2022-02-03,5150,All
2022-02-04,5300,All
2022-02-05,5390,All
2022-02-06,5450,All
2022-02-07,5550,All
2022-02-08,5640,All
2022-02-09,5750,All
2022-02-10,5840,All
2022-02-11,5940,All
2022-02-12,6020,All
2022-02-13,6070,All
2022-02-14,6160,All
2022-02-15,6260,All
2022-02-16,6370,All
2022-02-17,6500,All
2022-02-18,6650,All
2022-02-19,6720,All
2022-02-20,6760,All
2022-02-21,6880,All
2022-02-22,6990,All
2022-02-23,7100,All
2022-02-24,7190,All
2022-02-25,7310,All
2022-02-26,7380,All
2022-02-27,7410,All
2022-02-28,7510,All
2022-03-01,7620,All
2022-03-02,7740,All
2022-03-03,7840,All
2022-03-04,8000,All
2022-03-05,8080,All
2022-03-06,8150,All
2022-03-07,8300,All
2022-03-08,8470,All
2022-03-09,8650,All
2022-03-10,8860,All
2022-03-11,9110,All
2022-03-12,9270,All
2022-03-13,9380,All
2022-03-14,9590,All
2022-03-15,9810,All
2022-03-16,10070,All
2022-03-17,10300,All
2022-03-18,10600,All
2022-03-19,10750,All
2022-03-20,10870,All
2022-03-21,11130,All
2022-03-22,11420,All
2022-03-23,11690,All
2022-03-24,12030,All
2022-03-25,12340,All
2022-03-26,12510,All
2022-03-27,12640,All
2022-03-28,12960,All
2022-03-29,13240,All
2022-03-30,13530,All
2022-03-31,13820,All
2022-04-01,14130,All
2022-04-02,14320,All
2022-04-03,14430,All
2022-04-04,14690,All
2022-04-05,14980,All
2022-04-06,15240,All
2022-04-07,15490,All
2022-04-08,15790,All
2022-04-09,15950,All
2022-04-10,16070,All
2022-04-11,16330,All
2022-04-12,16600,All
2022-04-13,16860,All
2022-04-14,17090,All
2022-04-15,17280,All
2022-04-16,17390,All
2022-04-17,17480,All
2022-04-18,17630,All
2022-04-19,17840,All
2022-04-20,18000,All
2022-04-21,18160,All
2022-04-22,18310,All
2022-04-23,18390,All
2022-04-24,18450,All
2022-04-25,18580,All
2022-04-26,18680,All
2022-04-27,18770,All
2022-04-28,18840,All
2022-04-29,18950,All
2022-04-30,19010,All
2022-05-01,19040,All
2022-05-02,19100,All
2022-05-03,19180,All
2022-05-04,19250,All
2022-05-05,19330,All
2022-05-06,19430,All
2022-05-07,19470,All
2022-05-08,19500,All
2022-05-09,19590,All
2022-05-10,19650,All
2022-05-11,19700,All
2022-05-12,19770,All
2022-05-13,19830,All
2022-05-14,19860,All
2022-05-15,19890,All
2022-05-16,19940,All
2022-05-17,20000,All
2022-05-18,20060,All
2022-05-19,20100,All
2022-05-20,20160,All
2022-05-21,20190,All
2022-05-22,20210,All
2022-05-23,20270,All
2022-05-24,20320,All
2022-05-25,20370,All
2022-05-26,20420,All
2022-05-27,20470,All
2022-05-28,20490,All
2022-05-29,20510,All
2022-05-30,20580,All
2022-05-31,20620,All
2022-06-01,20680,All
2022-06-02,20720,All
2022-06-03,20760,All
2022-06-04,20800,All
2022-06-05,20840,All
2022-06-06,20900,All
2022-06-07,21000,All
2022-06-08,21110,All
2022-06-09,21220,All
2022-06-10,21340,All
2022-06-11,21410,All
2022-06-12,21450,All
2022-06-13,21540,All
2022-06-14,21670,All
2022-06-15,21790,All
2022-06-16,21920,All
2022-06-17,22070,All
2022-06-18,22180,All
2022-06-19,22240,All
2022-06-20,22360,All
2022-06-21,22480,All
2022-06-22,22650,All
2022-06-23,22800,All
2022-06-24,23000,All
2022-06-25,23110,All
2022-06-26,23190,All
2022-06-27,23370,All
2022-06-28,23550,All
2022-06-29,23770,All
2022-06-30,23980,All
2022-07-01,24200,All
2022-07-02,24370,All
2022-07-03,24480,All
2022-07-04,24740,All
2022-07-05,24980,All
2022-07-06,25250,All
2022-07-07,25500,All
2022-07-08,25780,All
2022-07-09,25970,All
2022-07-10,26100,All
2022-07-11,26310,All
2022-07-12,26560,All
2022-07-13,26780,All
2022-07-14,27000,All
2022-07-15,27240,All
2022-07-16,27380,All
2022-07-17,27440,All
2022-07-18,27650,All
2022-07-19,27810,All
2022-07-20,27950,All
2022-07-21,28090,All
2022-07-22,28240,All
2022-07-23,28330,All
2022-07-24,28380,All
2022-07-25,28510,All
2022-07-26,28640,All
2022-07-27,28760,All
2022-07-28,28870,All
2022-07-29,28980,All
2022-07-30,29030,All
2022-07-31,29070,All
2022-08-01,29180,All
2022-08-02,29300,All
2022-08-03,29380,All
2022-08-04,29470,All
2022-08-05,29570,All
2022-08-06,29620,All
2022-08-07,29660,All
2022-08-08,29760,All
2022-08-09,29840,All
2022-08-10,29910,All
2022-08-11,29980,All
2022-08-12,30070,All
2022-08-13,30100,All
2022-08-14,30130,All
2022-08-15,30200,All
2022-08-16,30270,All
2022-08-17,30340,All
2022-08-18,30400,All
2022-08-19,30480,All
2022-08-20,30500,All
2022-08-21,30520,All
2022-08-22,30580,All
2022-08-23,30630,All
2022-08-24,30680,All
2022-08-25,30720,All
