tb,treatment_type,n,high_risk_cohort
-2,Molnupiravir,170,All
-2,Paxlovid,210,All
-2,Sotrovimab,200,All
-1,Molnupiravir,50,All
-1,Paxlovid,70,All
-1,Sotrovimab,70,All
0,Molnupiravir,840,All
0,Paxlovid,2000,All
0,Remdesivir,10,All
0,Sotrovimab,950,All
1,Molnupiravir,2980,All
1,Paxlovid,5850,All
1,Remdesivir,50,All
1,Sotrovimab,3720,All
2,Casirivimab,20,All
2,Molnupiravir,2650,All
2,Paxlovid,3760,All
2,Remdesivir,40,All
2,Sotrovimab,4640,All
3,Casirivimab,20,All
3,Molnupiravir,1330,All
3,Paxlovid,1520,All
3,Remdesivir,20,All
3,Sotrovimab,3170,All
4,Molnupiravir,580,All
4,Paxlovid,490,All
4,Remdesivir,10,All
4,Sotrovimab,1460,All
5,Molnupiravir,170,All
5,Paxlovid,170,All
5,Remdesivir,10,All
5,Sotrovimab,520,All
6,Molnupiravir,750,All
6,Paxlovid,1680,All
6,Remdesivir,30,All
6,Sotrovimab,820,All
-2,NA,10,downs_syndrome
-2,NA,160,haematological_disease
-2,NA,160,imid
-2,NA,130,immunosupression
-2,NA,20,liver_disease
-2,NA,20,rare_neurological_conditions
-2,NA,70,renal_disease
-2,NA,200,solid_cancer
-2,NA,60,solid_organ_transplant
-1,NA,20,haematological_disease
-1,NA,60,imid
-1,NA,20,immunosupression
-1,NA,20,rare_neurological_conditions
-1,NA,30,renal_disease
-1,NA,50,solid_cancer
-1,NA,20,solid_organ_transplant
0,NA,60,downs_syndrome
0,NA,570,haematological_disease
0,NA,30,hiv_aids
0,NA,1280,imid
0,NA,640,immunosupression
0,NA,120,liver_disease
0,NA,460,rare_neurological_conditions
0,NA,290,renal_disease
0,NA,660,solid_cancer
0,NA,290,solid_organ_transplant
1,NA,230,downs_syndrome
1,NA,1660,haematological_disease
1,NA,160,hiv_aids
1,NA,4640,imid
1,NA,2070,immunosupression
1,NA,480,liver_disease
1,NA,1730,rare_neurological_conditions
1,NA,1070,renal_disease
1,NA,1940,solid_cancer
1,NA,1070,solid_organ_transplant
2,NA,250,downs_syndrome
2,NA,1510,haematological_disease
2,NA,170,hiv_aids
2,NA,4230,imid
2,NA,1780,immunosupression
2,NA,510,liver_disease
2,NA,1520,rare_neurological_conditions
2,NA,1150,renal_disease
2,NA,1570,solid_cancer
2,NA,1080,solid_organ_transplant
3,NA,140,downs_syndrome
3,NA,830,haematological_disease
3,NA,100,hiv_aids
3,NA,2480,imid
3,NA,950,immunosupression
3,NA,240,liver_disease
3,NA,810,rare_neurological_conditions
3,NA,670,renal_disease
3,NA,890,solid_cancer
3,NA,600,solid_organ_transplant
4,NA,50,downs_syndrome
4,NA,350,haematological_disease
4,NA,50,hiv_aids
4,NA,1030,imid
4,NA,410,immunosupression
4,NA,120,liver_disease
4,NA,340,rare_neurological_conditions
4,NA,300,renal_disease
4,NA,380,solid_cancer
4,NA,260,solid_organ_transplant
5,NA,20,downs_syndrome
5,NA,120,haematological_disease
5,NA,10,hiv_aids
5,NA,370,imid
5,NA,120,immunosupression
5,NA,40,liver_disease
5,NA,100,rare_neurological_conditions
5,NA,110,renal_disease
5,NA,140,solid_cancer
5,NA,80,solid_organ_transplant
6,NA,40,downs_syndrome
6,NA,370,haematological_disease
6,NA,30,hiv_aids
6,NA,980,imid
6,NA,360,immunosupression
6,NA,100,liver_disease
6,NA,280,rare_neurological_conditions
6,NA,260,renal_disease
6,NA,460,solid_cancer
6,NA,210,solid_organ_transplant
