high_risk_cohort,elig_start,prop_redacted,elig_redacted,treat_redacted
downs_syndrome,2023-01-07,NA,10,NA
downs_syndrome,2023-01-14,NA,NA,NA
downs_syndrome,2023-01-21,NA,NA,NA
downs_syndrome,2023-01-28,NA,20,NA
downs_syndrome,2023-02-04,0.5,20,10
downs_syndrome,2023-02-11,NA,10,NA
downs_syndrome,2023-02-18,NA,20,NA
downs_syndrome,2023-02-25,NA,NA,NA
downs_syndrome,2023-03-04,NA,10,NA
downs_syndrome,2023-03-11,NA,20,NA
downs_syndrome,2023-03-18,NA,10,NA
downs_syndrome,2023-03-25,NA,10,NA
downs_syndrome,2023-04-01,NA,NA,NA
downs_syndrome,2023-04-08,NA,NA,NA
downs_syndrome,2023-04-15,NA,NA,NA
downs_syndrome,2023-04-22,NA,NA,NA
downs_syndrome,2023-04-29,NA,NA,NA
downs_syndrome,2023-05-06,NA,NA,NA
downs_syndrome,2023-05-13,NA,NA,NA
downs_syndrome,2023-05-20,NA,NA,NA
downs_syndrome,2023-05-27,NA,NA,NA
downs_syndrome,2023-06-17,NA,NA,NA
downs_syndrome,2023-06-24,NA,NA,NA
downs_syndrome,2023-07-08,NA,NA,NA
downs_syndrome,2023-07-15,NA,NA,NA
downs_syndrome,2023-07-22,NA,NA,NA
downs_syndrome,2023-07-29,NA,NA,NA
downs_syndrome,2023-08-05,NA,NA,NA
downs_syndrome,2023-08-12,NA,NA,NA
downs_syndrome,2023-08-19,NA,NA,NA
downs_syndrome,2023-08-26,NA,NA,NA
downs_syndrome,2023-09-02,NA,NA,NA
downs_syndrome,2023-09-09,NA,NA,NA
downs_syndrome,2023-09-16,NA,NA,NA
downs_syndrome,2023-09-23,NA,NA,NA
downs_syndrome,2023-09-30,NA,NA,NA
downs_syndrome,2023-10-07,NA,NA,NA
downs_syndrome,2023-10-14,NA,NA,NA
downs_syndrome,2023-10-21,NA,NA,NA
downs_syndrome,2023-11-04,NA,NA,NA
downs_syndrome,2023-11-11,NA,NA,NA
downs_syndrome,2023-11-25,NA,NA,NA
downs_syndrome,2023-12-09,NA,NA,NA
downs_syndrome,2023-12-16,NA,NA,NA
downs_syndrome,2023-12-23,NA,NA,NA
downs_syndrome,2023-12-30,NA,NA,NA
downs_syndrome,2024-01-13,NA,NA,NA
downs_syndrome,2024-01-20,NA,NA,NA
downs_syndrome,2024-01-27,NA,NA,NA
downs_syndrome,2024-02-03,NA,NA,NA
downs_syndrome,2024-04-06,NA,NA,NA
downs_syndrome,2024-04-20,NA,NA,NA
downs_syndrome,2024-04-27,NA,NA,NA
solid_cancer,2021-12-11,0.0789,380,30
solid_cancer,2021-12-18,0.1351,740,100
solid_cancer,2021-12-25,0.1133,1500,170
solid_cancer,2022-01-01,0.1026,1560,160
solid_cancer,2022-01-08,0.1556,900,140
solid_cancer,2022-01-15,0.1528,720,110
solid_cancer,2022-01-22,0.1579,760,120
solid_cancer,2022-01-29,0.1831,710,130
solid_cancer,2022-02-05,0.1406,640,90
solid_cancer,2022-02-12,0.1961,510,100
solid_cancer,2022-02-19,0.2222,450,100
solid_cancer,2022-02-26,0.2353,510,120
solid_cancer,2022-03-05,0.2195,820,180
solid_cancer,2022-03-12,0.1818,1210,220
solid_cancer,2022-03-19,0.1931,1450,280
solid_cancer,2022-03-26,0.2222,1260,280
solid_cancer,2022-04-02,0.2264,1060,240
solid_cancer,2022-04-09,0.2857,840,240
solid_cancer,2022-04-16,0.2712,590,160
solid_cancer,2022-04-23,0.2703,370,100
solid_cancer,2022-04-30,0.25,240,60
solid_cancer,2022-05-07,0.2857,210,60
solid_cancer,2022-05-14,0.2222,180,40
solid_cancer,2022-05-21,0.3333,150,50
solid_cancer,2022-05-28,0.2857,140,40
solid_cancer,2022-06-04,0.3333,270,90
solid_cancer,2022-06-11,0.3235,340,110
solid_cancer,2022-06-18,0.2667,450,120
solid_cancer,2022-06-25,0.3175,630,200
solid_cancer,2022-07-02,0.321,810,260
solid_cancer,2022-07-09,0.3529,680,240
solid_cancer,2022-07-16,0.3333,450,150
solid_cancer,2022-07-23,0.3243,370,120
solid_cancer,2022-07-30,0.303,330,100
solid_cancer,2022-08-06,0.4167,240,100
solid_cancer,2022-08-13,0.3684,190,70
solid_cancer,2022-08-20,0.3333,150,50
solid_cancer,2022-08-27,0.375,160,60
solid_cancer,2022-09-03,0.4118,170,70
solid_cancer,2022-09-10,0.4375,160,70
solid_cancer,2022-09-17,0.4231,260,110
solid_cancer,2022-09-24,0.3143,350,110
solid_cancer,2022-10-01,0.3571,420,150
solid_cancer,2022-10-08,0.3714,350,130
solid_cancer,2022-10-15,0.3529,340,120
solid_cancer,2022-10-22,0.36,250,90
solid_cancer,2022-10-29,0.3889,180,70
solid_cancer,2022-11-05,0.3333,150,50
solid_cancer,2022-11-12,0.2,100,20
solid_cancer,2022-11-19,0.3846,130,50
solid_cancer,2022-11-26,0.3125,160,50
solid_cancer,2022-12-03,0.375,160,60
solid_cancer,2022-12-10,0.4,250,100
solid_cancer,2022-12-17,0.3784,370,140
solid_cancer,2022-12-24,0.2759,290,80
solid_cancer,2022-12-31,0.28,250,70
solid_cancer,2023-01-07,0.4,100,40
solid_cancer,2023-01-14,0.3333,90,30
solid_cancer,2023-01-21,0.4444,90,40
solid_cancer,2023-01-28,0.3077,130,40
solid_cancer,2023-02-04,0.3571,140,50
solid_cancer,2023-02-11,0.4211,190,80
solid_cancer,2023-02-18,0.4211,190,80
solid_cancer,2023-02-25,0.381,210,80
solid_cancer,2023-03-04,0.4231,260,110
solid_cancer,2023-03-11,0.3226,310,100
solid_cancer,2023-03-18,0.3793,290,110
solid_cancer,2023-03-25,0.375,240,90
solid_cancer,2023-04-01,0.4667,150,70
solid_cancer,2023-04-08,0.4286,140,60
solid_cancer,2023-04-15,0.4545,110,50
solid_cancer,2023-04-22,0.4,100,40
solid_cancer,2023-04-29,0.4545,110,50
solid_cancer,2023-05-06,0.5,100,50
solid_cancer,2023-05-13,0.4286,70,30
solid_cancer,2023-05-20,0.3333,60,20
solid_cancer,2023-05-27,0.4,50,20
solid_cancer,2023-06-03,0.4,50,20
solid_cancer,2023-06-10,0.5,40,20
solid_cancer,2023-06-17,NA,20,NA
solid_cancer,2023-06-24,NA,20,NA
solid_cancer,2023-07-01,NA,20,NA
solid_cancer,2023-07-08,NA,20,NA
solid_cancer,2023-07-15,NA,20,NA
solid_cancer,2023-07-22,NA,30,NA
solid_cancer,2023-07-29,NA,50,NA
solid_cancer,2023-08-05,NA,50,NA
solid_cancer,2023-08-12,NA,40,NA
solid_cancer,2023-08-19,NA,40,NA
solid_cancer,2023-08-26,NA,50,NA
solid_cancer,2023-09-02,NA,60,NA
solid_cancer,2023-09-09,NA,60,NA
solid_cancer,2023-09-16,NA,70,NA
solid_cancer,2023-09-23,NA,80,NA
solid_cancer,2023-09-30,NA,90,NA
solid_cancer,2023-10-07,NA,90,NA
solid_cancer,2023-10-14,NA,60,NA
solid_cancer,2023-10-21,NA,50,NA
solid_cancer,2023-10-28,NA,40,NA
solid_cancer,2023-11-04,NA,30,NA
solid_cancer,2023-11-11,NA,20,NA
solid_cancer,2023-11-18,NA,20,NA
solid_cancer,2023-11-25,NA,20,NA
solid_cancer,2023-12-02,NA,40,NA
solid_cancer,2023-12-09,NA,40,NA
solid_cancer,2023-12-16,NA,50,NA
solid_cancer,2023-12-23,NA,60,NA
solid_cancer,2023-12-30,NA,50,NA
solid_cancer,2024-01-06,NA,30,NA
solid_cancer,2024-01-13,NA,20,NA
solid_cancer,2024-01-20,NA,30,NA
solid_cancer,2024-01-27,NA,30,NA
solid_cancer,2024-02-03,NA,30,NA
solid_cancer,2024-02-10,NA,20,NA
solid_cancer,2024-02-17,NA,10,NA
solid_cancer,2024-02-24,NA,10,NA
solid_cancer,2024-03-02,NA,10,NA
solid_cancer,2024-03-09,NA,10,NA
solid_cancer,2024-03-16,NA,NA,NA
solid_cancer,2024-03-23,NA,NA,NA
solid_cancer,2024-03-30,NA,20,NA
solid_cancer,2024-04-06,NA,20,NA
solid_cancer,2024-04-13,NA,30,NA
solid_cancer,2024-04-20,NA,30,NA
solid_cancer,2024-04-27,NA,10,NA
haematological_disease,2021-12-11,0.1667,240,40
haematological_disease,2021-12-18,0.275,400,110
haematological_disease,2021-12-25,0.2338,770,180
haematological_disease,2022-01-01,0.2,800,160
haematological_disease,2022-01-08,0.2449,490,120
haematological_disease,2022-01-15,0.2683,410,110
haematological_disease,2022-01-22,0.2895,380,110
haematological_disease,2022-01-29,0.2973,370,110
haematological_disease,2022-02-05,0.2581,310,80
haematological_disease,2022-02-12,0.4231,260,110
haematological_disease,2022-02-19,0.4,250,100
haematological_disease,2022-02-26,0.44,250,110
haematological_disease,2022-03-05,0.4872,390,190
haematological_disease,2022-03-12,0.3667,600,220
haematological_disease,2022-03-19,0.4179,670,280
haematological_disease,2022-03-26,0.4032,620,250
haematological_disease,2022-04-02,0.4259,540,230
haematological_disease,2022-04-09,0.4082,490,200
haematological_disease,2022-04-16,0.4118,340,140
haematological_disease,2022-04-23,0.4286,210,90
haematological_disease,2022-04-30,0.4375,160,70
haematological_disease,2022-05-07,0.5833,120,70
haematological_disease,2022-05-14,0.4444,90,40
haematological_disease,2022-05-21,0.6,100,60
haematological_disease,2022-05-28,0.5,100,50
haematological_disease,2022-06-04,0.5882,170,100
haematological_disease,2022-06-11,0.45,200,90
haematological_disease,2022-06-18,0.48,250,120
haematological_disease,2022-06-25,0.4688,320,150
haematological_disease,2022-07-02,0.4884,430,210
haematological_disease,2022-07-09,0.4878,410,200
haematological_disease,2022-07-16,0.5,280,140
haematological_disease,2022-07-23,0.4762,210,100
haematological_disease,2022-07-30,0.4706,170,80
haematological_disease,2022-08-06,0.5833,120,70
haematological_disease,2022-08-13,0.5556,90,50
haematological_disease,2022-08-20,0.5556,90,50
haematological_disease,2022-08-27,0.5,80,40
haematological_disease,2022-09-03,0.6,100,60
haematological_disease,2022-09-10,0.5,80,40
haematological_disease,2022-09-17,0.3571,140,50
haematological_disease,2022-09-24,0.5,220,110
haematological_disease,2022-10-01,0.5,260,130
haematological_disease,2022-10-08,0.4762,210,100
haematological_disease,2022-10-15,0.5263,190,100
haematological_disease,2022-10-22,0.5714,140,80
haematological_disease,2022-10-29,0.5833,120,70
haematological_disease,2022-11-05,0.4286,70,30
haematological_disease,2022-11-12,0.5,80,40
haematological_disease,2022-11-19,0.625,80,50
haematological_disease,2022-11-26,0.4444,90,40
haematological_disease,2022-12-03,0.5455,110,60
haematological_disease,2022-12-10,0.5,140,70
haematological_disease,2022-12-17,0.4762,210,100
haematological_disease,2022-12-24,0.4444,180,80
haematological_disease,2022-12-31,0.5,140,70
haematological_disease,2023-01-07,0.4286,70,30
haematological_disease,2023-01-14,0.5,60,30
haematological_disease,2023-01-21,0.3333,60,20
haematological_disease,2023-01-28,0.4286,70,30
haematological_disease,2023-02-04,0.5,80,40
haematological_disease,2023-02-11,0.5,100,50
haematological_disease,2023-02-18,0.4444,90,40
haematological_disease,2023-02-25,0.5556,90,50
haematological_disease,2023-03-04,0.5,100,50
haematological_disease,2023-03-11,0.5,140,70
haematological_disease,2023-03-18,0.4545,110,50
haematological_disease,2023-03-25,0.5556,90,50
haematological_disease,2023-04-01,0.4286,70,30
haematological_disease,2023-04-08,0.6,50,30
haematological_disease,2023-04-15,0.6,50,30
haematological_disease,2023-04-22,0.4,50,20
haematological_disease,2023-04-29,0.6,50,30
haematological_disease,2023-05-06,0.6,50,30
haematological_disease,2023-05-13,0.5,40,20
haematological_disease,2023-05-20,0.6667,30,20
haematological_disease,2023-05-27,NA,20,NA
haematological_disease,2023-06-03,0.5,20,10
haematological_disease,2023-06-10,0.5,20,10
haematological_disease,2023-06-17,NA,10,NA
haematological_disease,2023-06-24,NA,10,NA
haematological_disease,2023-07-01,NA,NA,NA
haematological_disease,2023-07-08,NA,NA,NA
haematological_disease,2023-07-15,NA,NA,NA
haematological_disease,2023-07-22,NA,10,NA
haematological_disease,2023-07-29,NA,10,NA
haematological_disease,2023-08-05,NA,20,NA
haematological_disease,2023-08-12,NA,30,NA
haematological_disease,2023-08-19,NA,20,NA
haematological_disease,2023-08-26,NA,20,NA
haematological_disease,2023-09-02,NA,40,NA
haematological_disease,2023-09-09,NA,30,NA
haematological_disease,2023-09-16,NA,30,NA
haematological_disease,2023-09-23,NA,40,NA
haematological_disease,2023-09-30,NA,50,NA
haematological_disease,2023-10-07,NA,40,NA
haematological_disease,2023-10-14,NA,30,NA
haematological_disease,2023-10-21,NA,30,NA
haematological_disease,2023-10-28,NA,20,NA
haematological_disease,2023-11-04,NA,10,NA
haematological_disease,2023-11-11,NA,10,NA
haematological_disease,2023-11-18,NA,20,NA
haematological_disease,2023-11-25,NA,10,NA
haematological_disease,2023-12-02,NA,20,NA
haematological_disease,2023-12-09,NA,20,NA
haematological_disease,2023-12-16,NA,40,NA
haematological_disease,2023-12-23,NA,30,NA
haematological_disease,2023-12-30,NA,30,NA
haematological_disease,2024-01-06,NA,20,NA
haematological_disease,2024-01-13,NA,10,NA
haematological_disease,2024-01-20,NA,20,NA
haematological_disease,2024-01-27,NA,20,NA
haematological_disease,2024-02-03,NA,20,NA
haematological_disease,2024-02-10,NA,10,NA
haematological_disease,2024-02-17,NA,NA,NA
haematological_disease,2024-02-24,NA,NA,NA
haematological_disease,2024-03-02,NA,10,NA
haematological_disease,2024-03-09,NA,NA,NA
haematological_disease,2024-03-16,NA,NA,NA
haematological_disease,2024-03-23,NA,NA,NA
haematological_disease,2024-03-30,NA,10,NA
haematological_disease,2024-04-06,NA,10,NA
haematological_disease,2024-04-13,NA,20,NA
haematological_disease,2024-04-20,NA,20,NA
haematological_disease,2024-04-27,NA,10,NA
renal_disease,2021-12-11,0.25,120,30
renal_disease,2021-12-18,0.3704,270,100
renal_disease,2021-12-25,0.3103,580,180
renal_disease,2022-01-01,0.25,520,130
renal_disease,2022-01-08,0.2647,340,90
renal_disease,2022-01-15,0.3,300,90
renal_disease,2022-01-22,0.3214,280,90
renal_disease,2022-01-29,0.3704,270,100
renal_disease,2022-02-05,0.3636,220,80
renal_disease,2022-02-12,0.3158,190,60
renal_disease,2022-02-19,0.4118,170,70
renal_disease,2022-02-26,0.375,160,60
renal_disease,2022-03-05,0.5,280,140
renal_disease,2022-03-12,0.3947,380,150
renal_disease,2022-03-19,0.3556,450,160
renal_disease,2022-03-26,0.4348,460,200
renal_disease,2022-04-02,0.3902,410,160
renal_disease,2022-04-09,0.4615,260,120
renal_disease,2022-04-16,0.4286,210,90
renal_disease,2022-04-23,0.3571,140,50
renal_disease,2022-04-30,0.5,100,50
renal_disease,2022-05-07,0.4,100,40
renal_disease,2022-05-14,0.3333,60,20
renal_disease,2022-05-21,0.4,50,20
renal_disease,2022-05-28,0.5,60,30
renal_disease,2022-06-04,0.4545,110,50
renal_disease,2022-06-11,0.4375,160,70
renal_disease,2022-06-18,0.35,200,70
renal_disease,2022-06-25,0.4286,280,120
renal_disease,2022-07-02,0.4,350,140
renal_disease,2022-07-09,0.4,300,120
renal_disease,2022-07-16,0.4091,220,90
renal_disease,2022-07-23,0.4444,180,80
renal_disease,2022-07-30,0.4286,140,60
renal_disease,2022-08-06,0.4444,90,40
renal_disease,2022-08-13,0.4,100,40
renal_disease,2022-08-20,0.4,50,20
renal_disease,2022-08-27,0.5,80,40
renal_disease,2022-09-03,0.6667,60,40
renal_disease,2022-09-10,0.5,80,40
renal_disease,2022-09-17,0.4545,110,50
renal_disease,2022-09-24,0.5,160,80
renal_disease,2022-10-01,0.4706,170,80
renal_disease,2022-10-08,0.4737,190,90
renal_disease,2022-10-15,0.4286,140,60
renal_disease,2022-10-22,0.3,100,30
renal_disease,2022-10-29,0.3333,60,20
renal_disease,2022-11-05,0.5,60,30
renal_disease,2022-11-12,0.5,60,30
renal_disease,2022-11-19,0.4,50,20
renal_disease,2022-11-26,0.3333,60,20
renal_disease,2022-12-03,0.5714,70,40
renal_disease,2022-12-10,0.4167,120,50
renal_disease,2022-12-17,0.4615,130,60
renal_disease,2022-12-24,0.3571,140,50
renal_disease,2022-12-31,0.4,100,40
renal_disease,2023-01-07,0.3333,60,20
renal_disease,2023-01-14,0.3333,30,10
renal_disease,2023-01-21,0.3333,30,10
renal_disease,2023-01-28,0.5,60,30
renal_disease,2023-02-04,0.4,50,20
renal_disease,2023-02-11,0.3333,60,20
renal_disease,2023-02-18,0.5,80,40
renal_disease,2023-02-25,0.4286,70,30
renal_disease,2023-03-04,0.4286,70,30
renal_disease,2023-03-11,0.4444,90,40
renal_disease,2023-03-18,0.5,80,40
renal_disease,2023-03-25,0.3333,60,20
renal_disease,2023-04-01,0.4,50,20
renal_disease,2023-04-08,0.5,40,20
renal_disease,2023-04-15,0.5,40,20
renal_disease,2023-04-22,0.6667,30,20
renal_disease,2023-04-29,0.6667,30,20
renal_disease,2023-05-06,0.5,20,10
renal_disease,2023-05-13,0.5,20,10
renal_disease,2023-05-20,0.6667,30,20
renal_disease,2023-05-27,0.5,20,10
renal_disease,2023-06-03,0.5,20,10
renal_disease,2023-06-10,NA,10,NA
renal_disease,2023-06-17,NA,NA,NA
renal_disease,2023-06-24,NA,NA,NA
renal_disease,2023-07-01,NA,NA,NA
renal_disease,2023-07-08,NA,NA,NA
renal_disease,2023-07-15,NA,NA,NA
renal_disease,2023-07-22,NA,NA,NA
renal_disease,2023-07-29,NA,10,NA
renal_disease,2023-08-05,NA,20,NA
renal_disease,2023-08-12,NA,10,NA
renal_disease,2023-08-19,NA,10,NA
renal_disease,2023-08-26,NA,20,NA
renal_disease,2023-09-02,NA,20,NA
renal_disease,2023-09-09,NA,10,NA
renal_disease,2023-09-16,NA,20,NA
renal_disease,2023-09-23,NA,20,NA
renal_disease,2023-09-30,NA,30,NA
renal_disease,2023-10-07,NA,20,NA
renal_disease,2023-10-14,NA,20,NA
renal_disease,2023-10-21,NA,10,NA
renal_disease,2023-10-28,NA,10,NA
renal_disease,2023-11-04,NA,NA,NA
renal_disease,2023-11-11,NA,NA,NA
renal_disease,2023-11-18,NA,NA,NA
renal_disease,2023-11-25,NA,NA,NA
renal_disease,2023-12-02,NA,NA,NA
renal_disease,2023-12-09,NA,10,NA
renal_disease,2023-12-16,NA,20,NA
renal_disease,2023-12-23,NA,10,NA
renal_disease,2023-12-30,NA,20,NA
renal_disease,2024-01-06,NA,NA,NA
renal_disease,2024-01-13,NA,NA,NA
renal_disease,2024-01-20,NA,10,NA
renal_disease,2024-01-27,NA,10,NA
renal_disease,2024-02-03,NA,10,NA
renal_disease,2024-02-10,NA,10,NA
renal_disease,2024-02-17,NA,NA,NA
renal_disease,2024-02-24,NA,NA,NA
renal_disease,2024-03-02,NA,NA,NA
renal_disease,2024-03-09,NA,NA,NA
renal_disease,2024-03-16,NA,NA,NA
renal_disease,2024-03-23,NA,NA,NA
renal_disease,2024-03-30,NA,NA,NA
renal_disease,2024-04-06,NA,NA,NA
renal_disease,2024-04-13,NA,10,NA
renal_disease,2024-04-20,NA,10,NA
renal_disease,2024-04-27,NA,NA,NA
liver_disease,2021-12-11,0.0769,130,10
liver_disease,2021-12-18,0.125,240,30
liver_disease,2021-12-25,0.1111,540,60
liver_disease,2022-01-01,0.0962,520,50
liver_disease,2022-01-08,0.129,310,40
liver_disease,2022-01-15,0.1429,280,40
liver_disease,2022-01-22,0.1538,260,40
liver_disease,2022-01-29,0.1923,260,50
liver_disease,2022-02-05,0.1176,170,20
liver_disease,2022-02-12,0.1875,160,30
liver_disease,2022-02-19,0.1818,110,20
liver_disease,2022-02-26,0.1538,130,20
liver_disease,2022-03-05,0.2174,230,50
liver_disease,2022-03-12,0.1212,330,40
liver_disease,2022-03-19,0.1579,380,60
liver_disease,2022-03-26,0.2105,380,80
liver_disease,2022-04-02,0.2424,330,80
liver_disease,2022-04-09,0.2727,220,60
liver_disease,2022-04-16,0.2381,210,50
liver_disease,2022-04-23,0.3,100,30
liver_disease,2022-04-30,0.2857,70,20
liver_disease,2022-05-07,0.2857,70,20
liver_disease,2022-05-14,0.1667,60,10
liver_disease,2022-05-21,0.25,40,10
liver_disease,2022-05-28,0.2,50,10
liver_disease,2022-06-04,0.25,80,20
liver_disease,2022-06-11,0.3333,90,30
liver_disease,2022-06-18,0.2308,130,30
liver_disease,2022-06-25,0.2353,170,40
liver_disease,2022-07-02,0.25,200,50
liver_disease,2022-07-09,0.2727,220,60
liver_disease,2022-07-16,0.25,120,30
liver_disease,2022-07-23,0.3,100,30
liver_disease,2022-07-30,0.3333,90,30
liver_disease,2022-08-06,0.3333,60,20
liver_disease,2022-08-13,0.2857,70,20
