high_risk_cohort,elig_start,prop_redacted,elig_redacted,treat_redacted
all,2021-12-11,0.0991,2320,230
all,2021-12-18,0.1445,4430,640
all,2021-12-25,0.1207,9200,1110
all,2022-01-01,0.1111,9180,1020
all,2022-01-08,0.1407,5330,750
all,2022-01-15,0.1582,4550,720
all,2022-01-22,0.168,4820,810
all,2022-01-29,0.1874,4430,830
all,2022-02-05,0.184,3370,620
all,2022-02-12,0.2483,2900,720
all,2022-02-19,0.2577,2600,670
all,2022-02-26,0.2671,2770,740
all,2022-03-05,0.28,4500,1260
all,2022-03-12,0.242,6530,1580
all,2022-03-19,0.2418,7610,1840
all,2022-03-26,0.2531,7150,1810
all,2022-04-02,0.2672,6100,1630
all,2022-04-09,0.3023,4730,1430
all,2022-04-16,0.2919,3460,1010
all,2022-04-23,0.3005,1930,580
all,2022-04-30,0.3221,1490,480
all,2022-05-07,0.3171,1230,390
all,2022-05-14,0.3333,990,330
all,2022-05-21,0.375,800,300
all,2022-05-28,0.3333,900,300
all,2022-06-04,0.3665,1610,590
all,2022-06-11,0.3619,2100,760
all,2022-06-18,0.343,2770,950
all,2022-06-25,0.3501,3570,1250
all,2022-07-02,0.3514,4440,1560
all,2022-07-09,0.3414,4130,1410
all,2022-07-16,0.3321,2710,900
all,2022-07-23,0.3483,2010,700
all,2022-07-30,0.3476,1640,570
all,2022-08-06,0.381,1260,480
all,2022-08-13,0.38,1000,380
all,2022-08-20,0.3827,810,310
all,2022-08-27,0.3951,810,320
all,2022-09-03,0.4353,850,370
all,2022-09-10,0.4062,960,390
all,2022-09-17,0.403,1340,540
all,2022-09-24,0.3825,1830,700
all,2022-10-01,0.3894,2260,880
all,2022-10-08,0.3854,1920,740
all,2022-10-15,0.3621,1740,630
all,2022-10-22,0.3852,1220,470
all,2022-10-29,0.4,850,340
all,2022-11-05,0.3768,690,260
all,2022-11-12,0.4035,570,230
all,2022-11-19,0.4179,670,280
all,2022-11-26,0.3947,760,300
all,2022-12-03,0.4176,910,380
all,2022-12-10,0.4,1300,520
all,2022-12-17,0.3988,1730,690
all,2022-12-24,0.3537,1640,580
all,2022-12-31,0.352,1250,440
all,2023-01-07,0.3704,540,200
all,2023-01-14,0.375,400,150
all,2023-01-21,0.3958,480,190
all,2023-01-28,0.3611,720,260
all,2023-02-04,0.3947,760,300
all,2023-02-11,0.4043,940,380
all,2023-02-18,0.4167,960,400
all,2023-02-25,0.4457,920,410
all,2023-03-04,0.4571,1050,480
all,2023-03-11,0.4264,1290,550
all,2023-03-18,0.4651,1290,600
all,2023-03-25,0.4545,990,450
all,2023-04-01,0.5135,740,380
all,2023-04-08,0.5,640,320
all,2023-04-15,0.5273,550,290
all,2023-04-22,0.5208,480,250
all,2023-04-29,0.5741,540,310
all,2023-05-06,0.5909,440,260
all,2023-05-13,0.5312,320,170
all,2023-05-20,0.5152,330,170
all,2023-05-27,0.4615,260,120
all,2023-06-03,0.4643,280,130
all,2023-06-10,0.5294,170,90
all,2023-06-17,0.4167,120,50
all,2023-06-24,0.125,80,10
all,2023-07-01,NA,50,NA
all,2023-07-08,NA,70,NA
all,2023-07-15,NA,80,NA
all,2023-07-22,NA,120,NA
all,2023-07-29,NA,150,NA
all,2023-08-05,NA,200,NA
all,2023-08-12,NA,200,NA
all,2023-08-19,NA,190,NA
all,2023-08-26,NA,220,NA
all,2023-09-02,NA,290,NA
all,2023-09-09,NA,240,NA
all,2023-09-16,NA,260,NA
all,2023-09-23,NA,400,NA
all,2023-09-30,NA,390,NA
all,2023-10-07,NA,410,NA
all,2023-10-14,NA,280,NA
all,2023-10-21,NA,200,NA
all,2023-10-28,NA,180,NA
all,2023-11-04,NA,130,NA
all,2023-11-11,NA,90,NA
all,2023-11-18,NA,90,NA
all,2023-11-25,NA,100,NA
all,2023-12-02,NA,120,NA
all,2023-12-09,NA,170,NA
all,2023-12-16,NA,230,NA
all,2023-12-23,NA,210,NA
all,2023-12-30,NA,200,NA
all,2024-01-06,NA,120,NA
all,2024-01-13,NA,80,NA
all,2024-01-20,NA,120,NA
all,2024-01-27,NA,110,NA
all,2024-02-03,NA,90,NA
all,2024-02-10,NA,60,NA
all,2024-02-17,NA,40,NA
all,2024-02-24,NA,30,NA
all,2024-03-02,NA,40,NA
all,2024-03-09,NA,30,NA
all,2024-03-16,NA,30,NA
all,2024-03-23,NA,30,NA
all,2024-03-30,NA,60,NA
all,2024-04-06,NA,60,NA
all,2024-04-13,NA,90,NA
all,2024-04-20,NA,100,NA
all,2024-04-27,NA,50,NA
downs_syndrome,2021-12-11,NA,40,NA
downs_syndrome,2021-12-18,0.1429,70,10
downs_syndrome,2021-12-25,0.1429,140,20
downs_syndrome,2022-01-01,0.125,160,20
downs_syndrome,2022-01-08,0.1538,130,20
downs_syndrome,2022-01-15,0.125,160,20
downs_syndrome,2022-01-22,0.1875,160,30
downs_syndrome,2022-01-29,0.1818,110,20
downs_syndrome,2022-02-05,0.2222,90,20
downs_syndrome,2022-02-12,0.2857,70,20
downs_syndrome,2022-02-19,0.2222,90,20
downs_syndrome,2022-02-26,0.25,80,20
downs_syndrome,2022-03-05,0.2857,140,40
downs_syndrome,2022-03-12,0.2941,170,50
downs_syndrome,2022-03-19,0.1818,220,40
downs_syndrome,2022-03-26,0.2,150,30
downs_syndrome,2022-04-02,0.2353,170,40
downs_syndrome,2022-04-09,0.4,100,40
downs_syndrome,2022-04-16,0.2222,90,20
downs_syndrome,2022-04-23,0.5,40,20
downs_syndrome,2022-04-30,0.3333,30,10
downs_syndrome,2022-05-07,NA,30,NA
downs_syndrome,2022-05-14,NA,20,NA
downs_syndrome,2022-05-21,NA,10,NA
downs_syndrome,2022-05-28,NA,10,NA
downs_syndrome,2022-06-04,0.25,40,10
downs_syndrome,2022-06-11,NA,50,NA
downs_syndrome,2022-06-18,0.3333,60,20
downs_syndrome,2022-06-25,0.25,80,20
downs_syndrome,2022-07-02,0.4,100,40
downs_syndrome,2022-07-09,0.25,80,20
downs_syndrome,2022-07-16,0.1667,60,10
downs_syndrome,2022-07-23,0.3333,30,10
downs_syndrome,2022-07-30,NA,20,NA
downs_syndrome,2022-08-06,0.3333,30,10
downs_syndrome,2022-08-13,NA,20,NA
downs_syndrome,2022-08-20,0.5,20,10
downs_syndrome,2022-08-27,NA,20,NA
downs_syndrome,2022-09-03,NA,10,NA
downs_syndrome,2022-09-10,NA,20,NA
downs_syndrome,2022-09-17,NA,20,NA
downs_syndrome,2022-09-24,0.3333,30,10
downs_syndrome,2022-10-01,0.4,50,20
downs_syndrome,2022-10-08,0.25,40,10
downs_syndrome,2022-10-15,0.25,40,10
downs_syndrome,2022-10-22,NA,20,NA
downs_syndrome,2022-10-29,NA,20,NA
downs_syndrome,2022-11-05,NA,10,NA
downs_syndrome,2022-11-12,NA,10,NA
downs_syndrome,2022-11-19,NA,10,NA
downs_syndrome,2022-11-26,NA,10,NA
downs_syndrome,2022-12-03,NA,10,NA
downs_syndrome,2022-12-10,NA,10,NA
downs_syndrome,2022-12-17,0.5,20,10
downs_syndrome,2022-12-24,0.5,20,10
downs_syndrome,2022-12-31,NA,NA,NA
