elig_start,cum_count_redacted,high_risk_cohort
2023-11-11,174130,All
2023-11-18,174220,All
2023-11-25,174320,All
2023-12-02,174440,All
2023-12-09,174610,All
2023-12-16,174840,All
2023-12-23,175060,All
2023-12-30,175260,All
2024-01-06,175380,All
2024-01-13,175460,All
2024-01-20,175580,All
2024-01-27,175700,All
2024-02-03,175790,All
2024-02-10,175850,All
2024-02-17,175880,All
2024-02-24,175910,All
2024-03-02,175950,All
2024-03-09,175980,All
2024-03-16,176010,All
2024-03-23,176040,All
2024-03-30,176100,All
2024-04-06,176160,All
2024-04-13,176250,All
2024-04-20,176350,All
2024-04-27,176400,All
2021-12-11,840,imid
2021-12-18,2520,imid
2021-12-25,6290,imid
2022-01-01,10000,imid
2022-01-08,12160,imid
2022-01-15,13990,imid
2022-01-22,15990,imid
2022-01-29,17870,imid
2022-02-05,19200,imid
2022-02-12,20360,imid
2022-02-19,21340,imid
2022-02-26,22400,imid
2022-03-05,24150,imid
2022-03-12,26630,imid
2022-03-19,29550,imid
2022-03-26,32360,imid
2022-04-02,34840,imid
2022-04-09,36760,imid
2022-04-16,38150,imid
2022-04-23,38860,imid
2022-04-30,39440,imid
2022-05-07,39910,imid
2022-05-14,40310,imid
2022-05-21,40590,imid
2022-05-28,40950,imid
2022-06-04,41570,imid
2022-06-11,42400,imid
2022-06-18,43470,imid
2022-06-25,44800,imid
2022-07-02,46440,imid
2022-07-09,48050,imid
2022-07-16,49050,imid
2022-07-23,49860,imid
2022-07-30,50470,imid
2022-08-06,50960,imid
2022-08-13,51340,imid
2022-08-20,51610,imid
2022-08-27,51920,imid
2022-09-03,52240,imid
2022-09-10,52620,imid
2022-09-17,53140,imid
2022-09-24,53860,imid
2022-10-01,54720,imid
2022-10-08,55450,imid
2022-10-15,56110,imid
2022-10-22,56560,imid
2022-10-29,56860,imid
2022-11-05,57120,imid
2022-11-12,57350,imid
2022-11-19,57600,imid
2022-11-26,57880,imid
2022-12-03,58220,imid
2022-12-10,58690,imid
2022-12-17,59330,imid
2022-12-24,59970,imid
2022-12-31,60460,imid
2023-01-07,60660,imid
2023-01-14,60830,imid
2023-01-21,61010,imid
2023-01-28,61290,imid
2023-02-04,61580,imid
2023-02-11,61950,imid
2023-02-18,62320,imid
2023-02-25,62640,imid
2023-03-04,62990,imid
2023-03-11,63420,imid
2023-03-18,63860,imid
2023-03-25,64180,imid
2023-04-01,64440,imid
2023-04-08,64660,imid
2023-04-15,64840,imid
2023-04-22,65000,imid
2023-04-29,65170,imid
2023-05-06,65300,imid
2023-05-13,65400,imid
2023-05-20,65520,imid
2023-05-27,65610,imid
2023-06-03,65700,imid
2023-06-10,65750,imid
2023-06-17,65790,imid
2023-06-24,65820,imid
2023-07-01,65840,imid
2023-07-08,65870,imid
2023-07-15,65900,imid
2023-07-22,65950,imid
2023-07-29,65990,imid
2023-08-05,66060,imid
2023-08-12,66120,imid
2023-08-19,66190,imid
2023-08-26,66270,imid
2023-09-02,66380,imid
2023-09-09,66460,imid
2023-09-16,66540,imid
2023-09-23,66710,imid
2023-09-30,66850,imid
2023-10-07,67000,imid
2023-10-14,67120,imid
2023-10-21,67200,imid
2023-10-28,67270,imid
2023-11-04,67330,imid
2023-11-11,67360,imid
2023-11-18,67400,imid
2023-11-25,67440,imid
2023-12-02,67480,imid
2023-12-09,67540,imid
2023-12-16,67640,imid
2023-12-23,67720,imid
2023-12-30,67810,imid
2024-01-06,67850,imid
2024-01-13,67880,imid
2024-01-20,67920,imid
2024-01-27,67960,imid
2024-02-03,68000,imid
2024-02-10,68020,imid
2024-02-17,68030,imid
2024-02-24,68040,imid
2024-03-02,68060,imid
2024-03-09,68070,imid
2024-03-16,68090,imid
2024-03-23,68100,imid
2024-03-30,68120,imid
2024-04-06,68140,imid
2024-04-13,68170,imid
2024-04-20,68210,imid
2024-04-27,68230,imid
2021-12-11,380,solid_cancer
2021-12-18,1120,solid_cancer
2021-12-25,2630,solid_cancer
2022-01-01,4190,solid_cancer
2022-01-08,5090,solid_cancer
2022-01-15,5810,solid_cancer
2022-01-22,6570,solid_cancer
2022-01-29,7280,solid_cancer
2022-02-05,7920,solid_cancer
2022-02-12,8430,solid_cancer
2022-02-19,8880,solid_cancer
2022-02-26,9400,solid_cancer
2022-03-05,10220,solid_cancer
2022-03-12,11430,solid_cancer
2022-03-19,12880,solid_cancer
2022-03-26,14140,solid_cancer
2022-04-02,15210,solid_cancer
2022-04-09,16050,solid_cancer
2022-04-16,16640,solid_cancer
2022-04-23,17010,solid_cancer
2022-04-30,17250,solid_cancer
2022-05-07,17470,solid_cancer
2022-05-14,17640,solid_cancer
2022-05-21,17790,solid_cancer
2022-05-28,17930,solid_cancer
2022-06-04,18200,solid_cancer
2022-06-11,18540,solid_cancer
2022-06-18,18990,solid_cancer
2022-06-25,19620,solid_cancer
2022-07-02,20430,solid_cancer
2022-07-09,21100,solid_cancer
2022-07-16,21550,solid_cancer
2022-07-23,21920,solid_cancer
2022-07-30,22260,solid_cancer
2022-08-06,22500,solid_cancer
2022-08-13,22690,solid_cancer
2022-08-20,22840,solid_cancer
2022-08-27,23000,solid_cancer
2022-09-03,23170,solid_cancer
2022-09-10,23330,solid_cancer
2022-09-17,23590,solid_cancer
2022-09-24,23940,solid_cancer
2022-10-01,24360,solid_cancer
2022-10-08,24720,solid_cancer
2022-10-15,25050,solid_cancer
2022-10-22,25300,solid_cancer
2022-10-29,25480,solid_cancer
2022-11-05,25640,solid_cancer
2022-11-12,25730,solid_cancer
2022-11-19,25860,solid_cancer
2022-11-26,26020,solid_cancer
2022-12-03,26180,solid_cancer
2022-12-10,26430,solid_cancer
2022-12-17,26800,solid_cancer
2022-12-24,27090,solid_cancer
2022-12-31,27340,solid_cancer
2023-01-07,27440,solid_cancer
2023-01-14,27520,solid_cancer
2023-01-21,27620,solid_cancer
2023-01-28,27750,solid_cancer
2023-02-04,27890,solid_cancer
2023-02-11,28080,solid_cancer
2023-02-18,28260,solid_cancer
2023-02-25,28470,solid_cancer
2023-03-04,28730,solid_cancer
2023-03-11,29040,solid_cancer
2023-03-18,29330,solid_cancer
2023-03-25,29570,solid_cancer
2023-04-01,29710,solid_cancer
2023-04-08,29860,solid_cancer
2023-04-15,29970,solid_cancer
2023-04-22,30070,solid_cancer
2023-04-29,30180,solid_cancer
2023-05-06,30270,solid_cancer
2023-05-13,30340,solid_cancer
2023-05-20,30410,solid_cancer
2023-05-27,30460,solid_cancer
2023-06-03,30500,solid_cancer
2023-06-10,30540,solid_cancer
2023-06-17,30550,solid_cancer
2023-06-24,30570,solid_cancer
2023-07-01,30580,solid_cancer
2023-07-08,30600,solid_cancer
2023-07-15,30620,solid_cancer
2023-07-22,30650,solid_cancer
2023-07-29,30700,solid_cancer
2023-08-05,30740,solid_cancer
2023-08-12,30790,solid_cancer
2023-08-19,30830,solid_cancer
2023-08-26,30870,solid_cancer
2023-09-02,30930,solid_cancer
2023-09-09,30990,solid_cancer
2023-09-16,31060,solid_cancer
2023-09-23,31140,solid_cancer
2023-09-30,31230,solid_cancer
2023-10-07,31320,solid_cancer
2023-10-14,31380,solid_cancer
2023-10-21,31430,solid_cancer
2023-10-28,31470,solid_cancer
2023-11-04,31490,solid_cancer
2023-11-11,31510,solid_cancer
2023-11-18,31530,solid_cancer
2023-11-25,31550,solid_cancer
2023-12-02,31590,solid_cancer
2023-12-09,31630,solid_cancer
2023-12-16,31680,solid_cancer
2023-12-23,31740,solid_cancer
2023-12-30,31790,solid_cancer
2024-01-06,31820,solid_cancer
2024-01-13,31840,solid_cancer
2024-01-20,31870,solid_cancer
2024-01-27,31900,solid_cancer
2024-02-03,31920,solid_cancer
2024-02-10,31940,solid_cancer
2024-02-17,31950,solid_cancer
2024-02-24,31960,solid_cancer
2024-03-02,31970,solid_cancer
2024-03-09,31980,solid_cancer
2024-03-16,31980,solid_cancer
2024-03-23,31990,solid_cancer
2024-03-30,32000,solid_cancer
2024-04-06,32030,solid_cancer
2024-04-13,32050,solid_cancer
2024-04-20,32090,solid_cancer
2024-04-27,32100,solid_cancer
2021-12-11,520,immunosupression
2021-12-18,1520,immunosupression
2021-12-25,3400,immunosupression
2022-01-01,5200,immunosupression
2022-01-08,6220,immunosupression
2022-01-15,7060,immunosupression
2022-01-22,7950,immunosupression
2022-01-29,8810,immunosupression
2022-02-05,9470,immunosupression
2022-02-12,9990,immunosupression
2022-02-19,10500,immunosupression
2022-02-26,11020,immunosupression
2022-03-05,11840,immunosupression
2022-03-12,13090,immunosupression
2022-03-19,14430,immunosupression
2022-03-26,15740,immunosupression
2022-04-02,16810,immunosupression
2022-04-09,17680,immunosupression
2022-04-16,18300,immunosupression
2022-04-23,18650,immunosupression
2022-04-30,18960,immunosupression
2022-05-07,19180,immunosupression
2022-05-14,19350,immunosupression
2022-05-21,19520,immunosupression
2022-05-28,19700,immunosupression
2022-06-04,20030,immunosupression
2022-06-11,20400,immunosupression
2022-06-18,20880,immunosupression
2022-06-25,21520,immunosupression
2022-07-02,22300,immunosupression
2022-07-09,23020,immunosupression
2022-07-16,23510,immunosupression
2022-07-23,23850,immunosupression
2022-07-30,24110,immunosupression
2022-08-06,24300,immunosupression
2022-08-13,24460,immunosupression
2022-08-20,24610,immunosupression
2022-08-27,24730,immunosupression
2022-09-03,24860,immunosupression
2022-09-10,25010,immunosupression
2022-09-17,25210,immunosupression
2022-09-24,25510,immunosupression
2022-10-01,25920,immunosupression
2022-10-08,26230,immunosupression
2022-10-15,26500,immunosupression
2022-10-22,26720,immunosupression
2022-10-29,26870,immunosupression
2022-11-05,26970,immunosupression
2022-11-12,27070,immunosupression
2022-11-19,27170,immunosupression
2022-11-26,27290,immunosupression
2022-12-03,27430,immunosupression
2022-12-10,27650,immunosupression
2022-12-17,27940,immunosupression
2022-12-24,28220,immunosupression
2022-12-31,28400,immunosupression
2023-01-07,28500,immunosupression
2023-01-14,28570,immunosupression
2023-01-21,28640,immunosupression
2023-01-28,28740,immunosupression
2023-02-04,28860,immunosupression
2023-02-11,29010,immunosupression
2023-02-18,29130,immunosupression
2023-02-25,29260,immunosupression
2023-03-04,29380,immunosupression
2023-03-11,29560,immunosupression
2023-03-18,29710,immunosupression
2023-03-25,29820,immunosupression
2023-04-01,29920,immunosupression
2023-04-08,29990,immunosupression
2023-04-15,30040,immunosupression
2023-04-22,30110,immunosupression
2023-04-29,30190,immunosupression
2023-05-06,30260,immunosupression
2023-05-13,30300,immunosupression
2023-05-20,30350,immunosupression
2023-05-27,30380,immunosupression
2023-06-03,30420,immunosupression
2023-06-10,30440,immunosupression
2023-06-17,30460,immunosupression
2023-06-24,30470,immunosupression
2023-07-01,30480,immunosupression
2023-07-08,30490,immunosupression
2023-07-15,30500,immunosupression
2023-07-22,30510,immunosupression
2023-07-29,30530,immunosupression
2023-08-05,30570,immunosupression
2023-08-12,30620,immunosupression
2023-08-19,30650,immunosupression
2023-08-26,30690,immunosupression
2023-09-02,30740,immunosupression
2023-09-09,30780,immunosupression
2023-09-16,30820,immunosupression
2023-09-23,30890,immunosupression
2023-09-30,30950,immunosupression
2023-10-07,31020,immunosupression
2023-10-14,31080,immunosupression
2023-10-21,31110,immunosupression
2023-10-28,31130,immunosupression
2023-11-04,31150,immunosupression
2023-11-11,31170,immunosupression
2023-11-18,31200,immunosupression
2023-11-25,31220,immunosupression
2023-12-02,31240,immunosupression
2023-12-09,31270,immunosupression
2023-12-16,31310,immunosupression
2023-12-23,31350,immunosupression
2023-12-30,31380,immunosupression
2024-01-06,31410,immunosupression
2024-01-13,31420,immunosupression
2024-01-20,31450,immunosupression
2024-01-27,31470,immunosupression
2024-02-03,31480,immunosupression
2024-02-10,31490,immunosupression
2024-02-17,31500,immunosupression
2024-02-24,31510,immunosupression
2024-03-02,31510,immunosupression
2024-03-09,31520,immunosupression
2024-03-16,31520,immunosupression
2024-03-23,31520,immunosupression
2024-03-30,31530,immunosupression
2024-04-06,31540,immunosupression
2024-04-13,31560,immunosupression
2024-04-20,31580,immunosupression
2024-04-27,31590,immunosupression
2021-12-11,280,rare_neurological_conditions
2021-12-18,740,rare_neurological_conditions
2021-12-25,1750,rare_neurological_conditions
2022-01-01,2780,rare_neurological_conditions
2022-01-08,3370,rare_neurological_conditions
2022-01-15,3920,rare_neurological_conditions
2022-01-22,4520,rare_neurological_conditions
2022-01-29,5020,rare_neurological_conditions
2022-02-05,5360,rare_neurological_conditions
2022-02-12,5680,rare_neurological_conditions
2022-02-19,6030,rare_neurological_conditions
2022-02-26,6360,rare_neurological_conditions
2022-03-05,6890,rare_neurological_conditions
2022-03-12,7670,rare_neurological_conditions
2022-03-19,8590,rare_neurological_conditions
2022-03-26,9480,rare_neurological_conditions
2022-04-02,10200,rare_neurological_conditions
2022-04-09,10750,rare_neurological_conditions
2022-04-16,11150,rare_neurological_conditions
2022-04-23,11370,rare_neurological_conditions
2022-04-30,11520,rare_neurological_conditions
2022-05-07,11660,rare_neurological_conditions
2022-05-14,11780,rare_neurological_conditions
2022-05-21,11860,rare_neurological_conditions
2022-05-28,11950,rare_neurological_conditions
2022-06-04,12110,rare_neurological_conditions
2022-06-11,12340,rare_neurological_conditions
2022-06-18,12660,rare_neurological_conditions
2022-06-25,13050,rare_neurological_conditions
2022-07-02,13550,rare_neurological_conditions
2022-07-09,14020,rare_neurological_conditions
2022-07-16,14320,rare_neurological_conditions
2022-07-23,14530,rare_neurological_conditions
2022-07-30,14680,rare_neurological_conditions
2022-08-06,14820,rare_neurological_conditions
2022-08-13,14920,rare_neurological_conditions
2022-08-20,15020,rare_neurological_conditions
2022-08-27,15100,rare_neurological_conditions
2022-09-03,15200,rare_neurological_conditions
2022-09-10,15300,rare_neurological_conditions
2022-09-17,15430,rare_neurological_conditions
2022-09-24,15610,rare_neurological_conditions
2022-10-01,15850,rare_neurological_conditions
2022-10-08,16060,rare_neurological_conditions
2022-10-15,16240,rare_neurological_conditions
2022-10-22,16360,rare_neurological_conditions
2022-10-29,16450,rare_neurological_conditions
2022-11-05,16530,rare_neurological_conditions
2022-11-12,16580,rare_neurological_conditions
2022-11-19,16650,rare_neurological_conditions
2022-11-26,16730,rare_neurological_conditions
2022-12-03,16840,rare_neurological_conditions
2022-12-10,16980,rare_neurological_conditions
2022-12-17,17160,rare_neurological_conditions
2022-12-24,17360,rare_neurological_conditions
2022-12-31,17480,rare_neurological_conditions
2023-01-07,17530,rare_neurological_conditions
2023-01-14,17570,rare_neurological_conditions
2023-01-21,17630,rare_neurological_conditions
2023-01-28,17700,rare_neurological_conditions
2023-02-04,17780,rare_neurological_conditions
2023-02-11,17860,rare_neurological_conditions
2023-02-18,17930,rare_neurological_conditions
2023-02-25,18000,rare_neurological_conditions
2023-03-04,18090,rare_neurological_conditions
2023-03-11,18180,rare_neurological_conditions
2023-03-18,18290,rare_neurological_conditions
2023-03-25,18350,rare_neurological_conditions
2023-04-01,18420,rare_neurological_conditions
2023-04-08,18470,rare_neurological_conditions
2023-04-15,18520,rare_neurological_conditions
2023-04-22,18550,rare_neurological_conditions
2023-04-29,18590,rare_neurological_conditions
2023-05-06,18630,rare_neurological_conditions
2023-05-13,18650,rare_neurological_conditions
2023-05-20,18680,rare_neurological_conditions
2023-05-27,18700,rare_neurological_conditions
2023-06-03,18720,rare_neurological_conditions
2023-06-10,18740,rare_neurological_conditions
2023-06-17,18750,rare_neurological_conditions
2023-06-24,18760,rare_neurological_conditions
2023-07-01,18770,rare_neurological_conditions
2023-07-08,18780,rare_neurological_conditions
2023-07-15,18790,rare_neurological_conditions
2023-07-22,18800,rare_neurological_conditions
2023-07-29,18810,rare_neurological_conditions
2023-08-05,18840,rare_neurological_conditions
2023-08-12,18850,rare_neurological_conditions
2023-08-19,18880,rare_neurological_conditions
2023-08-26,18910,rare_neurological_conditions
2023-09-02,18930,rare_neurological_conditions
2023-09-09,18960,rare_neurological_conditions
2023-09-16,18990,rare_neurological_conditions
2023-09-23,19040,rare_neurological_conditions
2023-09-30,19090,rare_neurological_conditions
2023-10-07,19140,rare_neurological_conditions
2023-10-14,19160,rare_neurological_conditions
2023-10-21,19190,rare_neurological_conditions
2023-10-28,19210,rare_neurological_conditions
2023-11-04,19220,rare_neurological_conditions
2023-11-11,19230,rare_neurological_conditions
2023-11-18,19240,rare_neurological_conditions
2023-11-25,19240,rare_neurological_conditions
2023-12-02,19260,rare_neurological_conditions
2023-12-09,19270,rare_neurological_conditions
2023-12-16,19300,rare_neurological_conditions
2023-12-23,19320,rare_neurological_conditions
2023-12-30,19330,rare_neurological_conditions
2024-01-06,19350,rare_neurological_conditions
2024-01-13,19360,rare_neurological_conditions
2024-01-20,19380,rare_neurological_conditions
2024-01-27,19390,rare_neurological_conditions
2024-02-03,19390,rare_neurological_conditions
2024-02-10,19400,rare_neurological_conditions
2024-02-17,19400,rare_neurological_conditions
2024-02-24,19400,rare_neurological_conditions
2024-03-02,19400,rare_neurological_conditions
2024-03-09,19410,rare_neurological_conditions
2024-03-16,19410,rare_neurological_conditions
2024-03-23,19410,rare_neurological_conditions
2024-03-30,19410,rare_neurological_conditions
2024-04-06,19420,rare_neurological_conditions
2024-04-13,19420,rare_neurological_conditions
2024-04-20,19420,rare_neurological_conditions
2024-04-27,19420,rare_neurological_conditions
2021-12-11,240,haematological_disease
2021-12-18,640,haematological_disease
2021-12-25,1410,haematological_disease
2022-01-01,2210,haematological_disease
2022-01-08,2690,haematological_disease
2022-01-15,3100,haematological_disease
2022-01-22,3480,haematological_disease
2022-01-29,3840,haematological_disease
2022-02-05,4150,haematological_disease
2022-02-12,4410,haematological_disease
2022-02-19,4660,haematological_disease
2022-02-26,4900,haematological_disease
2022-03-05,5290,haematological_disease
2022-03-12,5900,haematological_disease
2022-03-19,6570,haematological_disease
2022-03-26,7190,haematological_disease
2022-04-02,7720,haematological_disease
2022-04-09,8210,haematological_disease
2022-04-16,8550,haematological_disease
2022-04-23,8760,haematological_disease
2022-04-30,8920,haematological_disease
2022-05-07,9040,haematological_disease
2022-05-14,9130,haematological_disease
2022-05-21,9230,haematological_disease
2022-05-28,9340,haematological_disease
2022-06-04,9500,haematological_disease
2022-06-11,9710,haematological_disease
2022-06-18,9960,haematological_disease
2022-06-25,10280,haematological_disease
2022-07-02,10720,haematological_disease
2022-07-09,11120,haematological_disease
2022-07-16,11410,haematological_disease
2022-07-23,11620,haematological_disease
2022-07-30,11790,haematological_disease
2022-08-06,11910,haematological_disease
2022-08-13,12000,haematological_disease
2022-08-20,12100,haematological_disease
2022-08-27,12180,haematological_disease
2022-09-03,12270,haematological_disease
2022-09-10,12350,haematological_disease
2022-09-17,12490,haematological_disease
2022-09-24,12700,haematological_disease
2022-10-01,12960,haematological_disease
2022-10-08,13170,haematological_disease
2022-10-15,13360,haematological_disease
2022-10-22,13500,haematological_disease
2022-10-29,13620,haematological_disease
2022-11-05,13690,haematological_disease
2022-11-12,13770,haematological_disease
2022-11-19,13860,haematological_disease
2022-11-26,13950,haematological_disease
2022-12-03,14060,haematological_disease
2022-12-10,14190,haematological_disease
2022-12-17,14400,haematological_disease
2022-12-24,14580,haematological_disease
2022-12-31,14720,haematological_disease
2023-01-07,14790,haematological_disease
2023-01-14,14850,haematological_disease
2023-01-21,14910,haematological_disease
2023-01-28,14980,haematological_disease
2023-02-04,15050,haematological_disease
2023-02-11,15150,haematological_disease
2023-02-18,15240,haematological_disease
2023-02-25,15330,haematological_disease
2023-03-04,15440,haematological_disease
2023-03-11,15580,haematological_disease
2023-03-18,15690,haematological_disease
2023-03-25,15780,haematological_disease
2023-04-01,15850,haematological_disease
2023-04-08,15900,haematological_disease
2023-04-15,15960,haematological_disease
2023-04-22,16000,haematological_disease
2023-04-29,16060,haematological_disease
2023-05-06,16110,haematological_disease
2023-05-13,16140,haematological_disease
2023-05-20,16180,haematological_disease
2023-05-27,16200,haematological_disease
2023-06-03,16220,haematological_disease
2023-06-10,16240,haematological_disease
2023-06-17,16250,haematological_disease
2023-06-24,16260,haematological_disease
2023-07-01,16270,haematological_disease
2023-07-08,16270,haematological_disease
2023-07-15,16280,haematological_disease
2023-07-22,16290,haematological_disease
2023-07-29,16300,haematological_disease
2023-08-05,16320,haematological_disease
2023-08-12,16350,haematological_disease
2023-08-19,16370,haematological_disease
2023-08-26,16390,haematological_disease
2023-09-02,16430,haematological_disease
2023-09-09,16460,haematological_disease
2023-09-16,16490,haematological_disease
2023-09-23,16530,haematological_disease
2023-09-30,16580,haematological_disease
2023-10-07,16610,haematological_disease
2023-10-14,16650,haematological_disease
2023-10-21,16680,haematological_disease
2023-10-28,16700,haematological_disease
2023-11-04,16710,haematological_disease
2023-11-11,16720,haematological_disease
2023-11-18,16740,haematological_disease
2023-11-25,16750,haematological_disease
2023-12-02,16770,haematological_disease
2023-12-09,16790,haematological_disease
2023-12-16,16830,haematological_disease
2023-12-23,16860,haematological_disease
2023-12-30,16890,haematological_disease
2024-01-06,16910,haematological_disease
2024-01-13,16920,haematological_disease
2024-01-20,16940,haematological_disease
2024-01-27,16960,haematological_disease
2024-02-03,16980,haematological_disease
2024-02-10,16990,haematological_disease
2024-02-17,17000,haematological_disease
2024-02-24,17000,haematological_disease
2024-03-02,17010,haematological_disease
2024-03-09,17020,haematological_disease
2024-03-16,17020,haematological_disease
2024-03-23,17030,haematological_disease
2024-03-30,17040,haematological_disease
2024-04-06,17050,haematological_disease
2024-04-13,17070,haematological_disease
2024-04-20,17090,haematological_disease
2024-04-27,17100,haematological_disease
2021-12-11,120,renal_disease
2021-12-18,390,renal_disease
2021-12-25,970,renal_disease
2022-01-01,1490,renal_disease
2022-01-08,1830,renal_disease
2022-01-15,2130,renal_disease
2022-01-22,2420,renal_disease
2022-01-29,2690,renal_disease
2022-02-05,2910,renal_disease
2022-02-12,3100,renal_disease
2022-02-19,3270,renal_disease
2022-02-26,3430,renal_disease
2022-03-05,3710,renal_disease
2022-03-12,4090,renal_disease
2022-03-19,4540,renal_disease
2022-03-26,5000,renal_disease
2022-04-02,5410,renal_disease
2022-04-09,5670,renal_disease
2022-04-16,5880,renal_disease
2022-04-23,6020,renal_disease
2022-04-30,6130,renal_disease
2022-05-07,6230,renal_disease
2022-05-14,6280,renal_disease
2022-05-21,6330,renal_disease
2022-05-28,6390,renal_disease
2022-06-04,6500,renal_disease
2022-06-11,6660,renal_disease
2022-06-18,6850,renal_disease
2022-06-25,7130,renal_disease
2022-07-02,7480,renal_disease
2022-07-09,7780,renal_disease
2022-07-16,8010,renal_disease
2022-07-23,8180,renal_disease
2022-07-30,8320,renal_disease
2022-08-06,8410,renal_disease
2022-08-13,8510,renal_disease
2022-08-20,8560,renal_disease
2022-08-27,8640,renal_disease
2022-09-03,8700,renal_disease
2022-09-10,8790,renal_disease
2022-09-17,8900,renal_disease
2022-09-24,9050,renal_disease
2022-10-01,9220,renal_disease
2022-10-08,9410,renal_disease
2022-10-15,9550,renal_disease
2022-10-22,9660,renal_disease
2022-10-29,9710,renal_disease
2022-11-05,9770,renal_disease
2022-11-12,9830,renal_disease
2022-11-19,9880,renal_disease
2022-11-26,9940,renal_disease
2022-12-03,10010,renal_disease
2022-12-10,10130,renal_disease
2022-12-17,10270,renal_disease
2022-12-24,10400,renal_disease
2022-12-31,10500,renal_disease
2023-01-07,10560,renal_disease
2023-01-14,10590,renal_disease
2023-01-21,10620,renal_disease
2023-01-28,10680,renal_disease
2023-02-04,10730,renal_disease
2023-02-11,10790,renal_disease
2023-02-18,10870,renal_disease
2023-02-25,10930,renal_disease
2023-03-04,11010,renal_disease
2023-03-11,11100,renal_disease
2023-03-18,11180,renal_disease
2023-03-25,11240,renal_disease
2023-04-01,11290,renal_disease
2023-04-08,11330,renal_disease
2023-04-15,11370,renal_disease
2023-04-22,11400,renal_disease
2023-04-29,11430,renal_disease
2023-05-06,11450,renal_disease
2023-05-13,11470,renal_disease
2023-05-20,11500,renal_disease
2023-05-27,11520,renal_disease
2023-06-03,11540,renal_disease
2023-06-10,11550,renal_disease
2023-06-17,11560,renal_disease
2023-06-24,11560,renal_disease
2023-07-01,11560,renal_disease
2023-07-08,11570,renal_disease
2023-07-15,11570,renal_disease
2023-07-22,11580,renal_disease
2023-07-29,11590,renal_disease
2023-08-05,11610,renal_disease
2023-08-12,11620,renal_disease
2023-08-19,11630,renal_disease
2023-08-26,11650,renal_disease
2023-09-02,11670,renal_disease
2023-09-09,11680,renal_disease
2023-09-16,11690,renal_disease
2023-09-23,11720,renal_disease
2023-09-30,11750,renal_disease
2023-10-07,11770,renal_disease
2023-10-14,11790,renal_disease
2023-10-21,11800,renal_disease
2023-10-28,11810,renal_disease
2023-11-04,11820,renal_disease
2023-11-11,11820,renal_disease
2023-11-18,11830,renal_disease
2023-11-25,11830,renal_disease
2023-12-02,11840,renal_disease
2023-12-09,11850,renal_disease
2023-12-16,11860,renal_disease
2023-12-23,11870,renal_disease
2023-12-30,11890,renal_disease
2024-01-06,11900,renal_disease
2024-01-13,11900,renal_disease
2024-01-20,11910,renal_disease
2024-01-27,11920,renal_disease
2024-02-03,11930,renal_disease
2024-02-10,11940,renal_disease
2024-02-17,11940,renal_disease
2024-02-24,11950,renal_disease
2024-03-02,11950,renal_disease
2024-03-09,11960,renal_disease
2024-03-16,11960,renal_disease
2024-03-23,11960,renal_disease
2024-03-30,11970,renal_disease
2024-04-06,11980,renal_disease
