elig_start,cum_count_redacted,high_risk_cohort
2021-12-11,2320,All
2021-12-18,6740,All
2021-12-25,15940,All
2022-01-01,25120,All
2022-01-08,30450,All
2022-01-15,35000,All
2022-01-22,39820,All
2022-01-29,44260,All
2022-02-05,47630,All
2022-02-12,50530,All
2022-02-19,53130,All
2022-02-26,55900,All
2022-03-05,60400,All
2022-03-12,66940,All
2022-03-19,74550,All
2022-03-26,81690,All
2022-04-02,87800,All
2022-04-09,92530,All
2022-04-16,95980,All
2022-04-23,97920,All
2022-04-30,99400,All
2022-05-07,100630,All
2022-05-14,101620,All
2022-05-21,102420,All
2022-05-28,103320,All
2022-06-04,104930,All
2022-06-11,107030,All
2022-06-18,109800,All
2022-06-25,113370,All
2022-07-02,117820,All
2022-07-09,121950,All
2022-07-16,124660,All
2022-07-23,126670,All
2022-07-30,128310,All
2022-08-06,129570,All
2022-08-13,130570,All
2022-08-20,131380,All
2022-08-27,132180,All
2022-09-03,133030,All
2022-09-10,133990,All
2022-09-17,135330,All
2022-09-24,137150,All
2022-10-01,139410,All
2022-10-08,141330,All
2022-10-15,143070,All
2022-10-22,144290,All
2022-10-29,145140,All
2022-11-05,145830,All
2022-11-12,146400,All
2022-11-19,147070,All
2022-11-26,147840,All
2022-12-03,148740,All
2022-12-10,150040,All
2022-12-17,151770,All
2022-12-24,153420,All
2022-12-31,154670,All
2023-01-07,155210,All
2023-01-14,155610,All
2023-01-21,156100,All
2023-01-28,156810,All
2023-02-04,157580,All
2023-02-11,158520,All
2023-02-18,159480,All
2023-02-25,160400,All
2023-03-04,161450,All
2023-03-11,162740,All
2023-03-18,164030,All
2023-03-25,165020,All
2023-04-01,165760,All
2023-04-08,166400,All
2023-04-15,166950,All
2023-04-22,167430,All
2023-04-29,167980,All
2023-05-06,168420,All
2023-05-13,168740,All
2023-05-20,169080,All
2023-05-27,169330,All
2023-06-03,169610,All
2023-06-10,169780,All
2023-06-17,169900,All
2023-06-24,169980,All
2023-07-01,170030,All
2023-07-08,170100,All
2023-07-15,170180,All
2023-07-22,170300,All
2023-07-29,170450,All
2023-08-05,170650,All
2023-08-12,170840,All
2023-08-19,171040,All
2023-08-26,171260,All
2023-09-02,171540,All
2023-09-09,171780,All
2023-09-16,172050,All
2023-09-23,172450,All
2023-09-30,172850,All
2023-10-07,173250,All
2023-10-14,173530,All
2023-10-21,173730,All
2023-10-28,173910,All
2023-11-04,174040,All
