high_risk_group_nhsd_combined,high_risk_cohort_covid_therapeutics,n
"liver disease,solid organ recipients",NA,NA
primary immune deficiencies,Downs syndrome,NA
"primary immune deficiencies,HIV or AIDS immunosupression",IMID,NA
"solid cancer,haematological diseases and stem cell transplant recipients,IMID",NA,NA
NA,haematologic malignancy,NA
NA,"solid cancer,other",NA
"Down's syndrome,IMID",NA,NA
"Down's syndrome,primary immune deficiencies",NA,NA
haematological diseases and stem cell transplant recipients,rare neurological conditions,NA
"haematological diseases and stem cell transplant recipients,IMID,primary immune deficiencies",solid cancer,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",rare neurological conditions,NA
"haematological diseases and stem cell transplant recipients,rare neurological conditions",NA,NA
"haematological diseases and stem cell transplant recipients,solid organ recipients",solid cancer,NA
IMID,"renal disease,other",NA
"IMID,primary immune deficiencies",liver disease,NA
"IMID,rare neurological conditions",primary immune deficiencies,NA
"liver disease,IMID,rare neurological conditions",NA,NA
"liver disease,primary immune deficiencies","haematological diseases,stem cell transplant recipients",NA
primary immune deficiencies,rare neurological conditions,NA
primary immune deficiencies,"renal disease,haematological diseases,stem cell transplant recipients",NA
"primary immune deficiencies,solid organ recipients",solid cancer,NA
renal disease,liver disease,NA
"renal disease,solid organ recipients",IMID,NA
"solid cancer,haematological diseases and stem cell transplant recipients,solid organ recipients",NA,NA
"solid cancer,primary immune deficiencies",IMID,NA
"solid organ recipients,rare neurological conditions",NA,NA
NA,"primary immune deficiencies,IMID",NA
NA,"rare neurological conditions,IMID",NA
NA,"solid cancer,liver disease",NA
Down's syndrome,rare neurological conditions,NA
"haematological diseases and stem cell transplant recipients,IMID",solid cancer,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies","solid cancer,IMID",NA
IMID,HIV or AIDS,NA
IMID,"liver disease,primary immune deficiencies",NA
IMID,sickle cell disease,NA
"IMID,primary immune deficiencies",solid cancer,NA
"IMID,primary immune deficiencies,solid organ recipients",renal disease,NA
"IMID,rare neurological conditions",solid cancer,NA
liver disease,rare neurological conditions,NA
"liver disease,IMID,solid organ recipients",renal disease,NA
"liver disease,primary immune deficiencies",solid cancer,NA
"liver disease,solid organ recipients","haematological diseases,stem cell transplant recipients",NA
"liver disease,solid organ recipients",solid cancer,NA
primary immune deficiencies,"haematological diseases,solid cancer,stem cell transplant recipients",NA
primary immune deficiencies,"other,IMID",NA
primary immune deficiencies,"renal disease,IMID",NA
primary immune deficiencies,"solid cancer,IMID",NA
"primary immune deficiencies,rare neurological conditions","haematological diseases,stem cell transplant recipients",NA
"primary immune deficiencies,solid organ recipients",IMID,NA
rare neurological conditions,Downs syndrome,NA
rare neurological conditions,liver disease,NA
renal disease,"haematological diseases,stem cell transplant recipients",NA
"renal disease,IMID",solid organ recipients,NA
"solid cancer,haematological diseases and stem cell transplant recipients",IMID,NA
"solid cancer,liver disease",NA,NA
"solid cancer,primary immune deficiencies,HIV or AIDS immunosupression",NA,NA
"solid cancer,solid organ recipients",renal disease,NA
solid organ recipients,"renal disease,solid cancer",NA
NA,"renal disease,primary immune deficiencies",NA
NA,"renal disease,solid cancer,IMID",NA
Down's syndrome,renal disease,NA
"haematological diseases and stem cell transplant recipients,IMID,primary immune deficiencies",rare neurological conditions,NA
"haematological diseases and stem cell transplant recipients,IMID,primary immune deficiencies,solid organ recipients",NA,NA
"haematological diseases and stem cell transplant recipients,liver disease,primary immune deficiencies",solid cancer,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,solid organ recipients",IMID,NA
"haematological diseases and stem cell transplant recipients,renal disease,primary immune deficiencies",IMID,NA
"haematological diseases and stem cell transplant recipients,renal disease,primary immune deficiencies",solid cancer,NA
"IMID,primary immune deficiencies,solid organ recipients",NA,NA
"IMID,rare neurological conditions",renal disease,NA
"IMID,solid organ recipients",rare neurological conditions,NA
liver disease,solid organ recipients,NA
"liver disease,IMID",renal disease,NA
"liver disease,IMID,solid organ recipients",solid cancer,NA
"liver disease,primary immune deficiencies",HIV or AIDS,NA
"liver disease,primary immune deficiencies",IMID,NA
"liver disease,primary immune deficiencies",renal disease,NA
primary immune deficiencies,"haematological diseases,stem cell transplant recipients,other",NA
primary immune deficiencies,"renal disease,HIV or AIDS",NA
primary immune deficiencies,"solid cancer,other",NA
primary immune deficiencies,solid organ recipients,NA
"primary immune deficiencies,rare neurological conditions",IMID,NA
"primary immune deficiencies,rare neurological conditions",solid cancer,NA
"primary immune deficiencies,solid organ recipients","haematological diseases,solid cancer,stem cell transplant recipients",NA
"primary immune deficiencies,solid organ recipients",renal disease,NA
"renal disease,solid organ recipients","haematological diseases,stem cell transplant recipients",NA
"renal disease,solid organ recipients",liver disease,NA
solid cancer,liver disease,NA
solid cancer,primary immune deficiencies,NA
solid cancer,rare neurological conditions,NA
"solid cancer,haematological diseases and stem cell transplant recipients,primary immune deficiencies",renal disease,NA
"solid cancer,haematological diseases and stem cell transplant recipients,solid organ recipients",IMID,NA
"solid cancer,IMID",liver disease,NA
"solid cancer,IMID,rare neurological conditions",NA,NA
"solid cancer,liver disease","haematological diseases,stem cell transplant recipients",NA
"solid cancer,primary immune deficiencies",HIV or AIDS,NA
"solid cancer,renal disease",NA,NA
solid organ recipients,primary immune deficiencies,NA
NA,"Downs syndrome,IMID",NA
NA,"haematological diseases,stem cell transplant recipients,liver disease",NA
NA,"renal disease,other",NA
NA,"renal disease,solid organ recipients",NA
NA,"solid organ recipients,IMID",NA
Down's syndrome,"haematological diseases,stem cell transplant recipients",NA
Down's syndrome,primary immune deficiencies,NA
"Down's syndrome,haematological diseases and stem cell transplant recipients",NA,NA
"Down's syndrome,haematological diseases and stem cell transplant recipients,primary immune deficiencies",NA,NA
"Down's syndrome,solid cancer",NA,NA
"Down's syndrome,solid cancer,haematological diseases and stem cell transplant recipients,primary immune deficiencies",NA,NA
"Down's syndrome,solid organ recipients",NA,NA
haematological diseases and stem cell transplant recipients,Downs syndrome,NA
haematological diseases and stem cell transplant recipients,"renal disease,solid cancer",NA
haematological diseases and stem cell transplant recipients,solid organ recipients,NA
"haematological diseases and stem cell transplant recipients,IMID",Downs syndrome,NA
"haematological diseases and stem cell transplant recipients,IMID",liver disease,NA
"haematological diseases and stem cell transplant recipients,IMID",rare neurological conditions,NA
"haematological diseases and stem cell transplant recipients,IMID",renal disease,NA
"haematological diseases and stem cell transplant recipients,IMID,primary immune deficiencies,solid organ recipients",rare neurological conditions,NA
"haematological diseases and stem cell transplant recipients,IMID,primary immune deficiencies,solid organ recipients",solid cancer,NA
"haematological diseases and stem cell transplant recipients,IMID,rare neurological conditions",NA,NA
"haematological diseases and stem cell transplant recipients,liver disease",IMID,NA
"haematological diseases and stem cell transplant recipients,liver disease",solid cancer,NA
"haematological diseases and stem cell transplant recipients,liver disease,IMID,primary immune deficiencies",NA,NA
"haematological diseases and stem cell transplant recipients,liver disease,primary immune deficiencies",renal disease,NA
"haematological diseases and stem cell transplant recipients,liver disease,solid organ recipients",IMID,NA
"haematological diseases and stem cell transplant recipients,liver disease,solid organ recipients",solid cancer,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",Downs syndrome,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",HIV or AIDS,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",liver disease,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies","renal disease,IMID",NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies","renal disease,solid cancer",NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies","solid cancer,liver disease",NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",solid organ recipients,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,HIV or AIDS immunosupression",IMID,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,HIV or AIDS immunosupression",NA,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,HIV or AIDS immunosupression,solid organ recipients","Downs syndrome,other",NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,solid organ recipients",HIV or AIDS,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,solid organ recipients",rare neurological conditions,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,solid organ recipients",renal disease,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,solid organ recipients",solid cancer,NA
"haematological diseases and stem cell transplant recipients,rare neurological conditions",IMID,NA
"haematological diseases and stem cell transplant recipients,renal disease",solid cancer,NA
"haematological diseases and stem cell transplant recipients,renal disease",NA,NA
"haematological diseases and stem cell transplant recipients,renal disease,IMID,primary immune deficiencies",solid organ recipients,NA
"haematological diseases and stem cell transplant recipients,renal disease,primary immune deficiencies",solid organ recipients,NA
"haematological diseases and stem cell transplant recipients,solid organ recipients",renal disease,NA
HIV or AIDS immunosupression,solid cancer,NA
IMID,"renal disease,primary immune deficiencies",NA
IMID,"renal disease,solid organ recipients",NA
IMID,"solid cancer,other",NA
IMID,"solid cancer,primary immune deficiencies",NA
IMID,"solid organ recipients,other",NA
"IMID,primary immune deficiencies","haematological diseases,stem cell transplant recipients,other",NA
"IMID,primary immune deficiencies",HIV or AIDS,NA
"IMID,primary immune deficiencies","renal disease,haematological diseases,stem cell transplant recipients",NA
"IMID,primary immune deficiencies,HIV or AIDS immunosupression",solid cancer,NA
"IMID,primary immune deficiencies,HIV or AIDS immunosupression",NA,NA
"IMID,primary immune deficiencies,rare neurological conditions",solid cancer,NA
"IMID,primary immune deficiencies,solid organ recipients","haematological diseases,stem cell transplant recipients,other",NA
"IMID,primary immune deficiencies,solid organ recipients",HIV or AIDS,NA
"IMID,primary immune deficiencies,solid organ recipients","renal disease,HIV or AIDS",NA
"IMID,rare neurological conditions",Downs syndrome,NA
"IMID,rare neurological conditions","haematological diseases,stem cell transplant recipients",NA
"IMID,solid organ recipients","renal disease,haematological diseases,stem cell transplant recipients",NA
"IMID,solid organ recipients","renal disease,liver disease",NA
liver disease,"haematological diseases,solid cancer,stem cell transplant recipients",NA
liver disease,primary immune deficiencies,NA
liver disease,sickle cell disease,NA
liver disease,"solid cancer,IMID",NA
liver disease,"solid organ recipients,IMID",NA
"liver disease,IMID",primary immune deficiencies,NA
"liver disease,IMID,primary immune deficiencies",NA,NA
"liver disease,IMID,solid organ recipients","haematological diseases,stem cell transplant recipients",NA
"liver disease,IMID,solid organ recipients",rare neurological conditions,NA
"liver disease,IMID,solid organ recipients",NA,NA
"liver disease,primary immune deficiencies","HIV or AIDS,IMID",NA
"liver disease,rare neurological conditions",IMID,NA
"liver disease,solid organ recipients",IMID,NA
"liver disease,solid organ recipients",primary immune deficiencies,NA
primary immune deficiencies,"haematological diseases,solid cancer,stem cell transplant recipients,other",NA
primary immune deficiencies,"haematological diseases,stem cell transplant recipients,liver disease",NA
primary immune deficiencies,"liver disease,HIV or AIDS",NA
primary immune deficiencies,"liver disease,IMID",NA
primary immune deficiencies,"renal disease,haematological diseases,stem cell transplant recipients,IMID",NA
primary immune deficiencies,sickle cell disease,NA
primary immune deficiencies,"sickle cell disease,solid cancer",NA
primary immune deficiencies,"solid cancer,HIV or AIDS",NA
primary immune deficiencies,"solid organ recipients,IMID",NA
"primary immune deficiencies,HIV or AIDS immunosupression",Downs syndrome,NA
"primary immune deficiencies,HIV or AIDS immunosupression","haematological diseases,stem cell transplant recipients",NA
"primary immune deficiencies,HIV or AIDS immunosupression","other,IMID",NA
"primary immune deficiencies,HIV or AIDS immunosupression,rare neurological conditions",solid cancer,NA
"primary immune deficiencies,HIV or AIDS immunosupression,rare neurological conditions",NA,NA
"primary immune deficiencies,rare neurological conditions","haematological diseases,stem cell transplant recipients,IMID",NA
"primary immune deficiencies,rare neurological conditions",HIV or AIDS,NA
"primary immune deficiencies,solid organ recipients","haematological diseases,stem cell transplant recipients,other",NA
"primary immune deficiencies,solid organ recipients","liver disease,other",NA
rare neurological conditions,"haematological diseases,solid cancer,stem cell transplant recipients",NA
rare neurological conditions,sickle cell disease,NA
renal disease,Downs syndrome,NA
renal disease,primary immune deficiencies,NA
renal disease,rare neurological conditions,NA
"renal disease,IMID",liver disease,NA
"renal disease,IMID",primary immune deficiencies,NA
"renal disease,IMID",solid cancer,NA
"renal disease,IMID,solid organ recipients","haematological diseases,stem cell transplant recipients",NA
"renal disease,IMID,solid organ recipients",HIV or AIDS,NA
"renal disease,IMID,solid organ recipients",rare neurological conditions,NA
"renal disease,primary immune deficiencies","haematological diseases,stem cell transplant recipients",NA
"renal disease,primary immune deficiencies",IMID,NA
"renal disease,primary immune deficiencies",solid organ recipients,NA
"renal disease,primary immune deficiencies,solid organ recipients",IMID,NA
"renal disease,primary immune deficiencies,solid organ recipients",NA,NA
"renal disease,solid organ recipients",primary immune deficiencies,NA
"renal disease,solid organ recipients",rare neurological conditions,NA
"renal disease,solid organ recipients,rare neurological conditions",solid cancer,NA
solid cancer,haematologic malignancy,NA
solid cancer,"sickle cell disease,haematological diseases,stem cell transplant recipients",NA
"solid cancer,haematological diseases and stem cell transplant recipients","other,IMID",NA
"solid cancer,haematological diseases and stem cell transplant recipients",renal disease,NA
"solid cancer,haematological diseases and stem cell transplant recipients","solid organ recipients,IMID",NA
"solid cancer,haematological diseases and stem cell transplant recipients,IMID,primary immune deficiencies,solid organ recipients",NA,NA
"solid cancer,haematological diseases and stem cell transplant recipients,IMID,solid organ recipients",NA,NA
"solid cancer,haematological diseases and stem cell transplant recipients,liver disease",NA,NA
"solid cancer,haematological diseases and stem cell transplant recipients,primary immune deficiencies",HIV or AIDS,NA
"solid cancer,haematological diseases and stem cell transplant recipients,primary immune deficiencies","renal disease,solid organ recipients",NA
"solid cancer,haematological diseases and stem cell transplant recipients,primary immune deficiencies,rare neurological conditions",NA,NA
"solid cancer,haematological diseases and stem cell transplant recipients,renal disease,IMID,primary immune deficiencies",NA,NA
"solid cancer,haematological diseases and stem cell transplant recipients,renal disease,primary immune deficiencies",IMID,NA
"solid cancer,haematological diseases and stem cell transplant recipients,renal disease,primary immune deficiencies",NA,NA
"solid cancer,HIV or AIDS immunosupression",NA,NA
"solid cancer,IMID",renal disease,NA
"solid cancer,IMID,rare neurological conditions","haematological diseases,stem cell transplant recipients",NA
"solid cancer,IMID,solid organ recipients",renal disease,NA
"solid cancer,IMID,solid organ recipients",NA,NA
"solid cancer,liver disease",IMID,NA
"solid cancer,liver disease,primary immune deficiencies",IMID,NA
"solid cancer,primary immune deficiencies","liver disease,IMID",NA
"solid cancer,primary immune deficiencies",rare neurological conditions,NA
"solid cancer,primary immune deficiencies",solid organ recipients,NA
"solid cancer,primary immune deficiencies,solid organ recipients","haematological diseases,stem cell transplant recipients",NA
"solid cancer,primary immune deficiencies,solid organ recipients",rare neurological conditions,NA
"solid cancer,primary immune deficiencies,solid organ recipients",renal disease,NA
"solid cancer,rare neurological conditions","haematological diseases,stem cell transplant recipients",NA
"solid cancer,rare neurological conditions",IMID,NA
"solid cancer,renal disease","haematological diseases,stem cell transplant recipients",NA
solid organ recipients,"haematological diseases,solid cancer,stem cell transplant recipients",NA
solid organ recipients,HIV or AIDS,NA
solid organ recipients,rare neurological conditions,NA
solid organ recipients,"renal disease,IMID",NA
solid organ recipients,"renal disease,liver disease",NA
solid organ recipients,"solid cancer,IMID",NA
solid organ recipients,"solid cancer,liver disease,other",NA
NA,"Downs syndrome,other",NA
NA,"haematological diseases,stem cell transplant recipients,other",NA
NA,"haematological diseases,stem cell transplant recipients,primary immune deficiencies",NA
NA,"other,solid organ recipients,IMID",NA
NA,"rare neurological conditions,Downs syndrome",NA
NA,"rare neurological conditions,haematological diseases,stem cell transplant recipients",NA
NA,"rare neurological conditions,solid cancer",NA
NA,"renal disease,Downs syndrome",NA
NA,"renal disease,rare neurological conditions",NA
NA,"renal disease,solid cancer,solid organ recipients",NA
NA,"sickle cell disease,haematological diseases,stem cell transplant recipients",NA
NA,"sickle cell disease,renal disease",NA
NA,"sickle cell disease,solid cancer",NA
NA,"solid cancer,primary immune deficiencies",NA
