high_risk_group_nhsd_combined,high_risk_cohort_covid_therapeutics,n
NA,NA,6890
IMID,NA,4130
NA,IMID,3050
rare neurological conditions,NA,2410
NA,solid cancer,1960
primary immune deficiencies,NA,1560
solid cancer,NA,1360
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",NA,750
NA,"haematological diseases,stem cell transplant recipients",740
NA,renal disease,710
primary immune deficiencies,"haematological diseases,stem cell transplant recipients",470
haematological diseases and stem cell transplant recipients,NA,410
primary immune deficiencies,HIV or AIDS,390
Down's syndrome,NA,370
"solid cancer,haematological diseases and stem cell transplant recipients,primary immune deficiencies",NA,360
primary immune deficiencies,IMID,340
IMID,solid cancer,220
"IMID,rare neurological conditions",NA,220
IMID,renal disease,170
"IMID,primary immune deficiencies",NA,160
NA,rare neurological conditions,140
liver disease,NA,140
"solid cancer,haematological diseases and stem cell transplant recipients",NA,120
rare neurological conditions,IMID,110
NA,primary immune deficiencies,110
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",solid cancer,100
IMID,primary immune deficiencies,100
"solid cancer,IMID",NA,90
solid organ recipients,NA,90
solid organ recipients,renal disease,90
primary immune deficiencies,solid cancer,80
IMID,liver disease,80
IMID,"haematological diseases,stem cell transplant recipients",60
solid cancer,"haematological diseases,stem cell transplant recipients",60
"IMID,solid organ recipients",renal disease,50
IMID,rare neurological conditions,50
liver disease,IMID,50
NA,liver disease,50
"haematological diseases and stem cell transplant recipients,solid organ recipients",NA,50
solid organ recipients,solid cancer,40
NA,"solid cancer,IMID",40
NA,Downs syndrome,40
NA,solid organ recipients,40
"primary immune deficiencies,rare neurological conditions",NA,40
"liver disease,IMID",NA,40
haematological diseases and stem cell transplant recipients,solid cancer,40
"haematological diseases and stem cell transplant recipients,IMID,primary immune deficiencies",NA,40
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,solid organ recipients",NA,40
solid cancer,IMID,40
solid organ recipients,"haematological diseases,stem cell transplant recipients",30
"haematological diseases and stem cell transplant recipients,IMID",NA,30
"primary immune deficiencies,solid organ recipients",NA,30
haematological diseases and stem cell transplant recipients,IMID,30
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",IMID,30
"primary immune deficiencies,HIV or AIDS immunosupression",NA,30
NA,"renal disease,IMID",30
liver disease,solid cancer,30
rare neurological conditions,solid cancer,30
"solid cancer,solid organ recipients",NA,20
NA,HIV or AIDS,20
"solid cancer,primary immune deficiencies",NA,20
primary immune deficiencies,"HIV or AIDS,IMID",20
"primary immune deficiencies,solid organ recipients","haematological diseases,stem cell transplant recipients",20
primary immune deficiencies,renal disease,20
NA,sickle cell disease,20
"IMID,solid organ recipients",liver disease,20
"IMID,solid organ recipients",solid cancer,20
solid organ recipients,IMID,20
liver disease,renal disease,20
rare neurological conditions,renal disease,20
"solid cancer,rare neurological conditions",NA,20
rare neurological conditions,primary immune deficiencies,20
renal disease,NA,20
"solid cancer,haematological diseases and stem cell transplant recipients,IMID,primary immune deficiencies",NA,20
NA,"haematological diseases,stem cell transplant recipients,IMID",20
"IMID,solid organ recipients",NA,10
"solid cancer,haematological diseases and stem cell transplant recipients,primary immune deficiencies,solid organ recipients",NA,10
solid organ recipients,liver disease,10
"IMID,primary immune deficiencies","haematological diseases,stem cell transplant recipients",10
"renal disease,solid organ recipients",solid cancer,10
renal disease,IMID,10
"renal disease,IMID,solid organ recipients",solid cancer,10
solid cancer,renal disease,10
NA,"renal disease,solid cancer",10
Down's syndrome,IMID,10
"haematological diseases and stem cell transplant recipients,primary immune deficiencies",renal disease,10
"IMID,primary immune deficiencies,rare neurological conditions",NA,10
rare neurological conditions,"haematological diseases,stem cell transplant recipients",10
"renal disease,IMID,solid organ recipients",NA,10
"renal disease,solid organ recipients",NA,10
IMID,"renal disease,solid cancer",10
primary immune deficiencies,haematologic malignancy,10
renal disease,solid organ recipients,10
"solid cancer,primary immune deficiencies","haematological diseases,stem cell transplant recipients",10
IMID,solid organ recipients,10
"liver disease,primary immune deficiencies",NA,10
"solid cancer,haematological diseases and stem cell transplant recipients,primary immune deficiencies",IMID,10
NA,"haematological diseases,solid cancer,stem cell transplant recipients",10
NA,"liver disease,IMID",10
NA,"renal disease,haematological diseases,stem cell transplant recipients",10
liver disease,"haematological diseases,stem cell transplant recipients",10
rare neurological conditions,solid organ recipients,10
solid cancer,solid organ recipients,10
"haematological diseases and stem cell transplant recipients,liver disease,primary immune deficiencies",NA,NA
"haematological diseases and stem cell transplant recipients,primary immune deficiencies,rare neurological conditions",NA,NA
primary immune deficiencies,"haematological diseases,stem cell transplant recipients,IMID",NA
primary immune deficiencies,liver disease,NA
renal disease,solid cancer,NA
NA,"other,IMID",NA
"haematological diseases and stem cell transplant recipients,IMID,solid organ recipients",NA,NA
IMID,Downs syndrome,NA
"IMID,solid organ recipients","haematological diseases,stem cell transplant recipients",NA
"liver disease,rare neurological conditions",NA,NA
"renal disease,IMID",NA,NA
"solid cancer,haematological diseases and stem cell transplant recipients,liver disease,primary immune deficiencies",NA,NA
"solid cancer,IMID","haematological diseases,stem cell transplant recipients",NA
NA,"renal disease,liver disease",NA
haematological diseases and stem cell transplant recipients,renal disease,NA
"haematological diseases and stem cell transplant recipients,liver disease",NA,NA
IMID,"liver disease,other",NA
"IMID,primary immune deficiencies",renal disease,NA
"liver disease,IMID","haematological diseases,stem cell transplant recipients",NA
"liver disease,IMID",solid cancer,NA
