Group,Variable,Count,Count,%,Count,%,Count,%,Count,%,Count,%,Count,%
All,-,169980,47660,28 (28-28),18830,40 (39-40),17420,37 (36-37),210,0 (0-1),11150,23 (23-24),50,0 (0-0)
Age band,12-29,11050,2500,23 (22-23),1010,40 (38-42),990,40 (38-42),10,0 (0-1),480,19 (18-21),10,0 (0-1)
Age band,30-39,16210,4590,28 (28-29),2060,45 (43-46),1680,37 (35-38),20,0 (0-1),830,18 (17-19),<8,--
Age band,40-49,23600,7150,30 (30-31),3220,45 (44-46),2530,35 (34-36),20,0 (0-0),1360,19 (18-20),10,0 (0-0)
Age band,50-59,34750,10390,30 (29-30),4430,43 (42-44),3800,37 (36-37),30,0 (0-0),2120,20 (20-21),10,0 (0-0)
Age band,60-69,36560,10340,28 (28-29),4090,40 (39-40),3850,37 (36-38),40,0 (0-1),2350,23 (22-24),10,0 (0-0)
Age band,70-79,35250,9110,26 (25-26),3110,34 (33-35),3340,37 (36-38),60,1 (0-1),2600,29 (28-29),<8,--
Age band,80+,18970,3580,19 (18-19),920,26 (24-27),1230,34 (33-36),20,1 (0-1),1410,39 (38-41),<8,--
Age band,Unknown,<8,<8,--,<8,--,<8,--,<8,--,<8,--,<8,--
Sex,Female,100980,28800,29 (28-29),12270,43 (42-43),10020,35 (34-35),120,0 (0-0),6370,22 (22-23),20,0 (0-0)
Sex,Male,75420,18860,25 (25-25),6560,35 (34-35),7400,39 (39-40),100,1 (0-1),4780,25 (25-26),30,0 (0-0)
Sex,Unknown,<8,<8,--,<8,--,<8,--,<8,--,<8,--,<8,--
Ethnicity,White,159630,44210,28 (27-28),17530,40 (39-40),16020,36 (36-37),200,0 (0-1),10420,24 (23-24),40,0 (0-0)
Ethnicity,Asian or Asian British,6270,1530,24 (23-25),530,35 (32-37),710,46 (44-49),<8,--,280,18 (16-20),<8,--
Ethnicity,Black or Black British,4190,630,15 (14-16),220,35 (31-39),250,40 (36-44),<8,--,150,24 (20-27),<8,--
Ethnicity,Mixed,1870,420,22 (21-24),160,38 (33-43),160,38 (33-43),<8,--,100,24 (20-28),<8,--
Ethnicity,Other ethnic groups,1780,460,26 (24-28),160,35 (30-39),190,41 (37-46),<8,--,110,24 (20-28),<8,--
Ethnicity,Unknown,2650,420,16 (14-17),220,52 (48-57),100,24 (20-28),<8,--,100,24 (20-28),<8,--
IMD,1 most deprived,26580,5250,20 (19-20),1890,36 (35-37),2180,42 (40-43),30,1 (0-1),1150,22 (21-23),<8,--
IMD,2,31420,7800,25 (24-25),2840,36 (35-37),2940,38 (37-39),30,0 (0-1),1970,25 (24-26),10,0 (0-0)
IMD,3,38320,10860,28 (28-29),4080,38 (37-38),4080,38 (37-38),40,0 (0-0),2640,24 (24-25),10,0 (0-0)
IMD,4,37820,10960,29 (29-29),4550,42 (41-42),3900,36 (35-36),40,0 (0-0),2460,22 (22-23),10,0 (0-0)
IMD,5 least deprived,37510,11420,30 (30-31),4850,42 (42-43),3880,34 (33-35),60,1 (0-1),2620,23 (22-24),10,0 (0-0)
IMD,Unknown,4770,1370,29 (27-30),610,45 (42-47),450,33 (30-35),<8,--,300,22 (20-24),<8,--
Rurality,Urban - conurbation,37160,8440,23 (22-23),2990,35 (34-36),3840,45 (44-47),60,1 (1-1),1540,18 (17-19),<8,--
Rurality,Urban - city and town,90490,24400,27 (27-27),9710,40 (39-40),8320,34 (34-35),100,0 (0-0),6240,26 (25-26),30,0 (0-0)
