Group,Variable,Count,Count,%,Count,%,Count,%,Count,%,Count,%,Count,%
Rurality,Rural - town and fringe,25050,7440,30 (29-30),3110,42 (41-43),2630,35 (34-36),30,0 (0-1),1670,22 (21-23),10,0 (0-0)
Rurality,Rural - village and dispersed,19100,6050,32 (31-32),2420,40 (39-41),2190,36 (35-37),20,0 (0-0),1410,23 (22-24),<8,--
Rurality,Unknown,4600,1330,29 (28-30),600,45 (42-48),440,33 (31-36),<8,--,290,22 (20-24),<8,--
Region,East Midlands,31580,9710,31 (30-31),4310,44 (43-45),4260,44 (43-45),80,1 (1-1),1040,11 (10-11),20,0 (0-0)
Region,East of England,43130,13550,31 (31-32),4610,34 (33-35),4820,36 (35-36),40,0 (0-0),4060,30 (29-31),20,0 (0-0)
Region,London,8050,2250,28 (27-29),860,38 (36-40),880,39 (37-41),10,0 (0-1),500,22 (21-24),<8,--
Region,North East,7690,1400,18 (17-19),370,26 (24-29),890,64 (61-66),30,2 (1-3),110,8 (6-9),<8,--
Region,North West,16660,4360,26 (26-27),2190,50 (49-52),1510,35 (33-36),<8,--,650,15 (14-16),<8,--
Region,South East,12950,3680,28 (28-29),1530,42 (40-43),810,22 (21-23),<8,--,1340,36 (35-38),<8,--
Region,South West,27830,6850,25 (24-25),2400,35 (34-36),2500,36 (35-38),30,0 (0-1),1920,28 (27-29),<8,--
Region,West Midlands,5690,1290,23 (22-24),250,19 (17-22),820,64 (61-66),10,1 (0-1),210,16 (14-18),<8,--
Region,Yorkshire and the Humber,22370,4420,20 (19-20),2200,50 (48-51),890,20 (19-21),10,0 (0-0),1310,30 (28-31),<8,--
Region,Unknown,450,160,36 (31-40),100,62 (55-70),60,38 (30-45),<8,--,10,6 (2-10),<8,--
Autism,Autism,980,300,31 (28-33),110,37 (31-42),110,37 (31-42),<8,--,80,27 (22-32),<8,--
Care home,Care home,6190,550,9 (8-10),150,27 (24-31),90,16 (13-19),<8,--,300,55 (50-59),<8,--
Dementia,Dementia,4130,460,11 (10-12),100,22 (18-26),130,28 (24-32),<8,--,220,48 (43-52),<8,--
Learning disability ,Learning disability ,4480,1040,23 (22-24),440,42 (39-45),320,31 (28-34),<8,--,280,27 (24-30),<8,--
Serious mental illness,Serious mental illness,2240,480,21 (20-23),120,25 (21-29),180,38 (33-42),<8,--,180,38 (33-42),<8,--
Housebound,Housebound,3960,900,23 (21-24),250,28 (25-31),280,31 (28-34),<8,--,360,40 (37-43),<8,--
CEV,CEV,91860,29280,32 (32-32),10140,35 (34-35),11910,41 (40-41),130,0 (0-1),7060,24 (24-25),40,0 (0-0)
Sickle cell disease,Sickle cell disease,1300,160,12 (11-14),80,50 (42-58),40,25 (18-32),<8,--,30,19 (13-25),<8,--
Long COVID,Long COVID,1080,540,50 (47-53),220,41 (37-45),180,33 (29-37),<8,--,140,26 (22-30),<8,--
Vaccination status,Un-vaccinated (declined),1620,170,10 (9-12),60,35 (28-42),60,35 (28-42),<8,--,50,29 (23-36),<8,--
Vaccination status,Un-vaccinated,4760,650,14 (13-15),260,40 (36-44),220,34 (30-37),10,2 (1-2),160,25 (21-28),<8,--
Vaccination status,One vaccination,3120,540,17 (16-19),210,39 (35-43),200,37 (33-41),<8,--,120,22 (19-26),<8,--
Vaccination status,Two vaccinations,13250,1990,15 (14-16),680,34 (32-36),800,40 (38-42),10,1 (0-1),500,25 (23-27),10,1 (0-1)
Vaccination status,Three or more vaccinations,153660,44300,29 (29-29),17620,40 (39-40),16150,36 (36-37),190,0 (0-0),10310,23 (23-24),40,0 (0-0)
