High risk cohort,Count,Count,%,Count,%,Count,%,Count,%,Count,%,Count,%
All,169980,47660,28 (28-28),18830,40 (39-40),17420,37 (36-37),210,0 (0-1),11150,23 (23-24),50,0 (0-0)
Immune-mediated inflammatory disorders,65820,17140,26 (26-26),4560,27 (26-27),7420,43 (43-44),40,0 (0-0),5080,30 (29-30),20,0 (0-0)
Solid cancer,30570,7800,26 (25-26),2020,26 (25-27),3390,43 (42-45),20,0 (0-0),2350,30 (29-31),10,0 (0-0)
Immune deficiencies,30470,7430,24 (24-25),2930,39 (38-41),2660,36 (35-37),40,1 (0-1),1800,24 (23-25),10,0 (0-0)
Rare neurological conditions,18760,5730,31 (30-31),2660,46 (45-48),1910,33 (32-35),10,0 (0-0),1140,20 (19-21),<8,--
Haematological diseases and stem cell transplant recipients,16260,6680,41 (40-42),1810,27 (26-28),3060,46 (45-47),30,0 (0-1),1760,26 (25-27),10,0 (0-0)
Renal disease,11560,4530,39 (38-40),20,0 (0-1),2890,64 (62-65),20,0 (0-1),1590,35 (34-36),<8,--
Solid organ transplant recipients,10950,4170,38 (37-39),250,6 (5-7),2680,64 (63-66),30,1 (0-1),1200,29 (27-30),<8,--
Liver disease,8660,1810,21 (20-22),200,11 (10-12),960,53 (51-55),10,1 (0-1),630,35 (33-37),<8,--
High risk cohort not known,6890,6890,100 (100-100),6630,96 (96-97),160,2 (2-3),70,1 (1-1),30,0 (0-1),<8,--
Down's syndrome,3620,870,24 (23-25),370,43 (39-46),250,29 (26-32),<8,--,240,28 (25-31),<8,--
Immunosuppression due to HIV or AIDS,890,570,64 (61-67),30,5 (3-7),280,49 (45-53),<8,--,250,44 (40-48),<8,--
